System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 admin
Machine Name:	 VENEZIA

Data properties:

Recording name:	 Pilot11
Recording date:	 4/26/2011
Recording time:	 3:34:52 PM
Recording resolution:	 1280 x 1024

Export date:	 10/28/2011
Export time:	 1:51:24 PM

Participant:	 P11
Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
7654	URLStart	512	0	0	http://roma.cs.ubc.ca:6030/client/PrimeClimbClientTestpage.aspx	
11621	LeftMouseClick	1	919	736		
11957	LeftMouseClick	1	894	744		
18904	LeftMouseClick	1	803	515		
21971	KeyPress	4	80	0	P	
22602	KeyPress	4	73	0	I	
23125	KeyPress	4	76	0	L	
26084	KeyPress	4	79	0	O	
26717	KeyPress	4	84	0	T	
27224	KeyPress	4	32	0	Space	
27533	KeyPress	4	49	0	D1	
27754	KeyPress	4	49	0	D1	
29571	LeftMouseClick	1	777	535		
31504	KeyPress	4	65	0	A	
31771	KeyPress	4	76	0	L	
32551	KeyPress	4	69	0	E	
32869	KeyPress	4	88	0	X	
34576	LeftMouseClick	1	805	569		
36060	KeyPress	4	75	0	K	
36362	KeyPress	4	73	0	I	
36620	KeyPress	4	67	0	C	
37156	KeyPress	4	90	0	Z	
37490	KeyPress	4	65	0	A	
37838	KeyPress	4	76	0	L	
38046	KeyPress	4	69	0	E	
38318	KeyPress	4	83	0	S	
43676	LeftMouseClick	1	865	661		
51296	LeftMouseClick	1	830	658		
60495	LeftMouseClick	1	911	54		
60679	URLEnd	1024	0	0	http://roma.cs.ubc.ca:6030/client/PrimeClimbClientTestpage.aspx	
61885	URLStart	512	0	0	http://roma.cs.ubc.ca:6030/client/PrimeClimbClientTestpage.aspx	
62492	LeftMouseClick	1	485	510		
63488	KeyPress	4	80	0	P	
63815	KeyPress	4	73	0	I	
64825	KeyPress	4	76	0	L	
65055	KeyPress	4	79	0	O	
65679	KeyPress	4	84	0	T	
66001	KeyPress	4	32	0	Space	
66516	KeyPress	4	49	0	D1	
66657	KeyPress	4	49	0	D1	
67807	LeftMouseClick	1	510	535		
69404	LeftMouseClick	1	515	508		
69625	LeftMouseClick	1	435	506		
70511	LeftMouseClick	1	776	513		
71395	KeyPress	4	80	0	P	
72405	KeyPress	4	79	0	O	
72799	KeyPress	4	76	0	L	
73318	KeyPress	4	80	0	P	
73926	KeyPress	4	84	0	T	
