Data properties:

Recording date: 4/26/2011
Recording time: 15:34:52:000 (corresponds to time 0)
Study: Pilot6
Subject: P11
Recording: Pilot11
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
1	793	433	653	475	
2	1226	1299	584	484	
3	2525	233	641	478	
4	2941	200	640	491	
5	3141	1066	573	487	
6	4207	500	517	216	
7	4707	216	349	98	
8	4923	183	178	30	
9	5107	266	192	-42	
10	5373	200	247	-33	
11	5573	166	88	-31	
12	5739	250	66	-59	
13	5989	200	286	-27	
14	6189	250	73	-71	
15	6439	466	114	-48	
16	6905	783	146	-11	
17	7688	633	33	-84	
18	8321	333	87	24	
19	8654	216	85	-63	
20	8871	500	171	-51	
21	9370	283	232	-40	
22	9653	183	508	-36	
23	9837	200	654	-38	
24	10037	200	484	283	
25	10236	150	518	303	
26	10386	233	632	297	
27	10620	133	669	302	
28	10869	333	563	296	
29	11202	150	691	368	
30	11352	400	766	629	
31	11752	716	831	619	
32	12468	400	482	391	
33	12868	200	531	381	
34	13068	233	566	373	
35	13301	167	612	378	
36	13468	233	665	373	
37	13701	733	732	381	
38	14434	333	793	377	
39	14767	250	464	290	
40	15016	216	506	283	
41	15233	1116	423	286	
42	16349	316	437	431	
43	16665	466	439	475	
44	17132	117	463	410	
45	17248	216	440	382	
46	17465	633	661	360	
47	18098	533	392	346	
48	18631	433	683	363	
49	19064	233	552	104	
50	19297	266	555	143	
51	19563	166	705	178	
52	22511	1482	760	399	
53	28091	433	771	386	
54	28523	449	677	416	
55	28973	933	752	400	
56	31022	933	748	416	
57	33221	349	755	471	
58	33570	1349	759	419	
59	38750	183	751	438	
60	39083	100	761	465	
61	39183	383	754	508	
62	39566	183	833	528	
63	39899	350	765	530	
64	40249	199	670	507	
65	40448	350	668	350	
66	40798	216	466	381	
67	41132	350	372	327	
68	41481	366	388	375	
69	41847	234	778	463	
70	42081	583	844	518	
71	42797	166	839	524	
72	42964	200	763	515	
73	43164	350	695	349	
74	43513	1082	759	392	
75	44596	267	753	496	
76	44862	267	835	531	
77	45129	417	339	107	
78	45546	150	383	132	
79	45696	366	661	354	
80	46062	350	600	171	
81	46412	400	659	395	
82	46812	5046	835	534	
83	51858	266	641	239	
84	52124	183	587	145	
85	52308	600	500	390	
86	52907	416	397	346	
87	53324	150	631	344	
88	53474	816	677	349	
89	54289	266	674	395	
90	54556	266	674	345	
91	54822	333	769	412	
92	55156	1033	763	499	
93	56188	283	366	719	
94	56471	200	395	606	
95	56671	1016	131	975	
96	57687	416	987	983	
97	58104	433	1165	975	
98	58537	267	1120	981	
99	58804	383	115	949	
100	59187	300	702	529	
101	59486	166	789	529	
102	59653	283	831	533	
103	59936	333	766	441	
104	60269	183	880	124	
105	60452	900	929	41	
106	61352	367	757	916	
107	61718	400	540	356	
108	62118	183	546	395	
109	62302	366	755	447	
110	62668	216	469	380	
111	63118	933	430	376	
112	76459	6695	767	388	
113	83154	100	724	948	
114	84903	17	767	420	
115	85053	2048	765	435	
116	87101	100	764	621	
117	90899	2032	778	452	
118	94013	1016	767	452	
119	95029	183	634	584	
120	95212	367	410	592	
121	95579	183	463	583	
122	95762	283	500	586	
123	96045	183	560	583	
124	96228	200	607	583	
125	96428	200	464	380	
126	96778	300	542	426	
127	97078	133	637	533	
128	97428	83	717	592	
129	97511	150	765	586	
130	97661	216	812	586	
131	97877	683	738	586	
132	98560	300	814	588	
133	98860	200	670	337	
134	99060	183	760	253	
135	99243	333	522	336	
136	99576	233	485	281	
137	99976	150	326	245	
138	100126	467	358	264	
139	100592	516	493	348	
140	101108	566	348	337	
141	101675	300	548	338	
142	101975	133	530	305	
143	102108	200	594	305	
144	102458	83	435	271	
145	102541	732	485	289	
