System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 08
Recording date:	 09/03/2011
Recording time:	 3:13:09 PM
Recording resolution:	 1280 x 1024

Export date:	 25/08/2011
Export time:	 6:52:13 PM

Participant:	 P57
Participant properties:

Glasses:	 none
Previous Experience with the CSP Applet:	 None
322:	 Not Taken
Hand:	 right
Sex:	 f
221:	 Complete
Previous Experience with AISpace:	 None

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
2065	LeftMouseClick	1	684	636		
2998	LeftMouseClick	1	1006	172		
4278	LeftMouseClick	1	24	21		
5716	LeftMouseClick	1	22	71		
7196	LeftMouseClick	1	605	449		
48976	LeftMouseClick	1	603	637		
87267	LogData	0	Load 1st Problem			
88883	LeftMouseClick	1	174	83		
100089	LeftMouseClick	1	626	159		
109317	LeftMouseClick	1	341	470		
110945	LeftMouseClick	1	581	499		
112662	LeftMouseClick	1	612	561		
115678	LeftMouseClick	1	788	340		
119126	RightMouseClick	2	788	340		
121048	LeftMouseClick	1	742	428		
122963	RightMouseClick	2	798	613		
124269	LeftMouseClick	1	782	607		
124596	LeftMouseClick	1	795	608		
125110	LeftMouseClick	1	796	608		
126469	LeftMouseClick	1	580	670		
126635	LeftMouseClick	1	580	670		
131652	LeftMouseClick	1	482	588		
131787	LeftMouseClick	1	482	588		
137252	LeftMouseClick	1	752	352		
137406	LeftMouseClick	1	752	352		
138505	LeftMouseClick	1	897	393		
138659	LeftMouseClick	1	897	393		
140706	LeftMouseClick	1	350	71		
143785	LeftMouseClick	1	142	91		
150484	LeftMouseClick	1	345	458		
151332	LeftMouseClick	1	608	531		
151797	LeftMouseClick	1	612	565		
159548	LeftMouseClick	1	54	56		
166170	LeftMouseClick	1	52	60		
173499	LeftMouseClick	1	47	60		
176412	LeftMouseClick	1	47	60		
178556	LeftMouseClick	1	47	60		
180127	LeftMouseClick	1	47	60		
185477	LeftMouseClick	1	47	60		
191876	LeftMouseClick	1	47	60		
194004	LeftMouseClick	1	47	60		
194527	LeftMouseClick	1	47	60		
198816	LeftMouseClick	1	58	71		
200450	LeftMouseClick	1	614	137		
200845	LeftMouseClick	1	704	144		
202885	LeftMouseClick	1	938	314		
204592	LeftMouseClick	1	646	496		
206761	LeftMouseClick	1	690	564		
207879	LeftMouseClick	1	326	468		
209278	LeftMouseClick	1	644	503		
209873	LeftMouseClick	1	602	565		
212915	LeftMouseClick	1	24	67		
213799	LeftMouseClick	1	23	64		
215675	LeftMouseClick	1	23	64		
218071	LeftMouseClick	1	23	64		
218530	LeftMouseClick	1	23	64		
219729	LeftMouseClick	1	23	64		
222770	LeftMouseClick	1	23	64		
223188	LeftMouseClick	1	23	64		
223751	LeftMouseClick	1	23	64		
225307	LeftMouseClick	1	23	64		
225561	LeftMouseClick	1	23	64		
225964	LeftMouseClick	1	23	64		
226574	LeftMouseClick	1	23	64		
226777	LeftMouseClick	1	23	64		
227123	LeftMouseClick	1	23	64		
227302	LeftMouseClick	1	23	64		
227456	LeftMouseClick	1	23	64		
227635	LeftMouseClick	1	23	64		
228097	LeftMouseClick	1	23	64		
231604	LeftMouseClick	1	349	78		
233449	LeftMouseClick	1	12	39		
234378	LeftMouseClick	1	105	6		
237973	LeftMouseClick	1	335	475		
239025	LeftMouseClick	1	692	537		
240216	LeftMouseClick	1	607	565		
242731	LeftMouseClick	1	160	74		
264226	LeftMouseClick	1	368	84		
267072	LeftMouseClick	1	19	34		
268299	LeftMouseClick	1	28	15		
270902	LeftMouseClick	1	39	108		
271751	LeftMouseClick	1	81	109		
274969	LeftMouseClick	1	347	458		
276504	LeftMouseClick	1	609	531		
276966	LeftMouseClick	1	610	561		
278668	LeftMouseClick	1	179	84		
293717	LeftMouseClick	1	334	452		
294759	LeftMouseClick	1	620	501		
296712	LeftMouseClick	1	674	521		
296974	LeftMouseClick	1	671	538		
297689	LeftMouseClick	1	609	568		
300548	LeftMouseClick	1	157	66		
315965	LeftMouseClick	1	381	81		
316421	LogData	0	Distracted Start	 		
317157	LeftMouseClick	1	16	33		
318265	LeftMouseClick	1	46	74		
323277	LeftMouseClick	1	635	449		
323456	LeftMouseClick	1	635	449		
324954	LeftMouseClick	1	604	637		
326463	LeftMouseClick	1	17	39		
327215	LeftMouseClick	1	44	78		
328954	LeftMouseClick	1	601	471		
329371	LeftMouseClick	1	602	482		
329946	LeftMouseClick	1	590	632		
330167	LogData	0	Distracted End	 
330167	LogData	0	Load 2nd Problem			
334875	LeftMouseClick	1	590	302		
337123	LeftMouseClick	1	662	567		
341904	LeftMouseClick	1	278	70		
343402	LeftMouseClick	1	366	77		
344589	LeftMouseClick	1	359	72		
345064	LeftMouseClick	1	359	72		
345246	LeftMouseClick	1	359	72		
345468	LeftMouseClick	1	359	72		
354211	RightMouseClick	2	551	318		
359683	LeftMouseClick	1	591	348		
365192	RightMouseClick	2	417	402		
366050	RightMouseClick	2	429	396		
366970	LeftMouseClick	1	463	423		
370586	RightMouseClick	2	704	358		
371329	LeftMouseClick	1	744	384		
378413	RightMouseClick	2	842	426		
379370	LeftMouseClick	1	881	455		
393816	RightMouseClick	2	876	599		
394891	LeftMouseClick	1	912	636		
400760	RightMouseClick	2	824	706		
401541	LeftMouseClick	1	852	732		
408235	RightMouseClick	2	700	786		
409149	LeftMouseClick	1	751	809		
416281	LeftMouseClick	1	505	533		
418387	LeftMouseClick	1	769	677		
435877	LeftMouseClick	1	617	787		
439130	RightMouseClick	2	540	494		
439817	RightMouseClick	2	536	490		
442642	LeftMouseClick	1	607	513		
444165	RightMouseClick	2	501	613		
444453	RightMouseClick	2	494	613		
445038	RightMouseClick	2	432	632		
445318	RightMouseClick	2	406	680		
446295	LeftMouseClick	1	432	714		
448194	RightMouseClick	2	381	577		
448852	LeftMouseClick	1	403	606		
467890	LeftMouseClick	1	691	625		
469731	LeftMouseClick	1	826	874		
473680	RightMouseClick	2	545	491		
473951	RightMouseClick	2	537	487		
474928	LeftMouseClick	1	554	512		
476149	RightMouseClick	2	512	582		
476461	RightMouseClick	2	494	582		
477139	LeftMouseClick	1	526	611		
479023	RightMouseClick	2	724	356		
479732	LeftMouseClick	1	768	389		
483312	RightMouseClick	2	470	639		
483849	LeftMouseClick	1	493	667		
490100	RightMouseClick	2	511	333		
490759	LeftMouseClick	1	578	368		
491904	RightMouseClick	2	428	399		
492894	LeftMouseClick	1	464	434		
516704	LeftMouseClick	1	746	785		
517315	LeftMouseClick	1	746	785		
519064	LeftMouseClick	1	497	786		
519498	LeftMouseClick	1	497	786		
520171	LeftMouseClick	1	522	727		
520337	LeftMouseClick	1	522	727		
521440	LeftMouseClick	1	740	606		
530918	LeftMouseClick	1	603	294		
534891	LeftMouseClick	1	658	526		
537869	LeftMouseClick	1	692	537		
538621	LeftMouseClick	1	609	570		
545100	LeftMouseClick	1	415	396		
545570	LeftMouseClick	1	415	396		
551033	LeftMouseClick	1	872	437		
551375	LeftMouseClick	1	872	437		
555946	LeftMouseClick	1	624	663		
556169	LeftMouseClick	1	624	663		
566046	LeftMouseClick	1	501	544		
567649	LeftMouseClick	1	775	672		
590559	LeftMouseClick	1	679	785		
591844	LeftMouseClick	1	478	592		
592136	LeftMouseClick	1	483	598		
596013	LeftMouseClick	1	807	577		
596369	LeftMouseClick	1	807	569		
596628	LeftMouseClick	1	807	560		
605805	LeftMouseClick	1	571	383		
607887	LeftMouseClick	1	141	86		
616368	LogData	0	Distracted Start	 		
617830	LogData	0	Distracted End	 		
622561	LeftMouseClick	1	351	70		
624013	LeftMouseClick	1	140	56		
645415	RightMouseClick	2	170	81		
646886	LeftMouseClick	1	170	81		
648985	LeftMouseClick	1	600	285		
650523	LeftMouseClick	1	622	499		
651584	LeftMouseClick	1	604	567		
657683	LeftMouseClick	1	127	78		
659259	LeftMouseClick	1	237	78		
663011	LeftMouseClick	1	482	604		
667457	LeftMouseClick	1	389	662		
668756	LeftMouseClick	1	366	565		
670201	LeftMouseClick	1	513	495		
670697	LeftMouseClick	1	517	494		
671044	LeftMouseClick	1	523	494		
672626	LeftMouseClick	1	354	532		
674052	LeftMouseClick	1	826	551		
677195	LeftMouseClick	1	755	785		
679391	LeftMouseClick	1	891	593		
681428	LeftMouseClick	1	633	659		
683048	LeftMouseClick	1	714	351		
691779	LeftMouseClick	1	42	573		
694697	LeftMouseClick	1	337	426		
696308	LeftMouseClick	1	618	499		
697079	LeftMouseClick	1	603	571		
699555	LeftMouseClick	1	150	79		
703047	LeftMouseClick	1	272	421		
703494	LeftMouseClick	1	326	428		
707186	LeftMouseClick	1	747	443		
708484	LeftMouseClick	1	339	55		
708980	LeftMouseClick	1	638	266		
709283	LeftMouseClick	1	626	272		
710106	LeftMouseClick	1	577	497		
712225	LeftMouseClick	1	594	576		
712816	LeftMouseClick	1	349	446		
715567	LeftMouseClick	1	661	502		
716177	LeftMouseClick	1	607	561		
720852	LeftMouseClick	1	116	75		
722345	RightMouseClick	2	140	74		
723387	LeftMouseClick	1	215	80		
723696	RightMouseClick	2	140	77		
724868	LeftMouseClick	1	142	31		
727312	LeftMouseClick	1	300	61		
727950	LeftMouseClick	1	162	62		
736621	LeftMouseClick	1	331	65		
736852	LeftMouseClick	1	348	64		
738875	LeftMouseClick	1	138	62		
744547	LeftMouseClick	1	611	275		
745529	LeftMouseClick	1	615	500		
746403	LeftMouseClick	1	588	560		
748884	LeftMouseClick	1	158	61		
750969	LeftMouseClick	1	339	425		
752413	LeftMouseClick	1	653	505		
753012	LeftMouseClick	1	618	573		
754591	LeftMouseClick	1	187	84		
757299	LeftMouseClick	1	352	93		
758707	LeftMouseClick	1	609	290		
759845	LeftMouseClick	1	582	500		
760812	LeftMouseClick	1	659	572		
761907	LeftMouseClick	1	174	75		
762745	LeftMouseClick	1	606	268		
763658	LeftMouseClick	1	618	501		
764396	LeftMouseClick	1	603	564		
769917	LeftMouseClick	1	156	84		
770746	LeftMouseClick	1	345	443		
771517	LeftMouseClick	1	612	498		
771906	LeftMouseClick	1	614	579		
773319	LeftMouseClick	1	165	68		
776510	LeftMouseClick	1	325	66		
776793	LeftMouseClick	1	343	66		
777724	LogData	0	Distracted Start	 		
813602	LogData	0	Distracted End	 		
815645	LeftMouseClick	1	341	92		
818517	LeftMouseClick	1	120	33		
822910	LeftMouseClick	1	236	50		
827650	LeftMouseClick	1	794	349		
829350	LeftMouseClick	1	107	70		
831298	LeftMouseClick	1	419	63		
831484	LeftMouseClick	1	373	66		
832374	LeftMouseClick	1	373	66		
834545	LeftMouseClick	1	933	459		
837143	LeftMouseClick	1	689	581		
837899	LeftMouseClick	1	116	80		
841281	LeftMouseClick	1	819	790		
842328	LeftMouseClick	1	606	501		
843077	LeftMouseClick	1	596	562		
844094	LeftMouseClick	1	147	83		
846661	LeftMouseClick	1	337	450		
848887	LeftMouseClick	1	613	497		
850556	LeftMouseClick	1	609	574		
852302	LeftMouseClick	1	161	88		
858494	LeftMouseClick	1	301	63		
858992	LeftMouseClick	1	301	63		
859174	LeftMouseClick	1	301	63		
859348	LeftMouseClick	1	301	63		
859507	LeftMouseClick	1	301	63		
859665	LeftMouseClick	1	301	63		
859831	LeftMouseClick	1	301	63		
860781	LeftMouseClick	1	298	64		
861011	LeftMouseClick	1	298	64		
873866	LeftMouseClick	1	160	83		
876952	LeftMouseClick	1	346	453		
877805	LeftMouseClick	1	611	503		
878241	LeftMouseClick	1	592	569		
879910	LeftMouseClick	1	157	64		
884078	LeftMouseClick	1	186	911		
884743	LeftMouseClick	1	177	911		
884913	LeftMouseClick	1	177	911		
888010	LeftMouseClick	1	289	934		
888365	LeftMouseClick	1	168	927		
888946	LeftMouseClick	1	115	931		
889227	LeftMouseClick	1	110	936		
890273	LeftMouseClick	1	281	940		
892741	LeftMouseClick	1	343	57		
901638	LeftMouseClick	1	95	66		
908387	LeftMouseClick	1	614	287		
910066	LeftMouseClick	1	615	497		
911492	LeftMouseClick	1	609	575		
913087	LeftMouseClick	1	125	71		
914451	LeftMouseClick	1	322	430		
915712	LeftMouseClick	1	614	501		
916205	LeftMouseClick	1	604	564		
917698	LeftMouseClick	1	140	83		
919728	LeftMouseClick	1	339	74		
920279	LeftMouseClick	1	610	304		
921041	LeftMouseClick	1	615	497		
922448	LeftMouseClick	1	655	571		
923043	LeftMouseClick	1	107	64		
923890	LeftMouseClick	1	597	267		
925088	LeftMouseClick	1	617	500		
925666	LeftMouseClick	1	608	567		
926794	LeftMouseClick	1	140	50		
927528	LeftMouseClick	1	353	444		
928528	LeftMouseClick	1	659	500		
929866	LeftMouseClick	1	612	564		
931970	LeftMouseClick	1	161	90		
938446	LeftMouseClick	1	366	84		
938930	LeftMouseClick	1	613	260		
940147	LeftMouseClick	1	660	565		
941011	LeftMouseClick	1	149	60		
942091	LeftMouseClick	1	638	298		
942579	LeftMouseClick	1	612	295		
943372	LeftMouseClick	1	653	500		
943888	LeftMouseClick	1	605	569		
945476	LeftMouseClick	1	165	69		
947545	LeftMouseClick	1	351	75		
948944	LeftMouseClick	1	154	92		
951127	LeftMouseClick	1	955	470		
952670	LeftMouseClick	1	620	492		
957857	LeftMouseClick	1	674	574		
958724	LeftMouseClick	1	945	490		
959578	LeftMouseClick	1	614	495		
960269	LeftMouseClick	1	606	571		
962435	LeftMouseClick	1	134	54		
971340	LeftMouseClick	1	348	422		
972847	LeftMouseClick	1	656	503		
973257	LeftMouseClick	1	618	563		
976173	LeftMouseClick	1	121	82		
981471	LeftMouseClick	1	531	134		
981926	LeftMouseClick	1	772	147		
982550	LeftMouseClick	1	691	138		
982951	LeftMouseClick	1	606	132		
988355	LeftMouseClick	1	368	64		
989443	LeftMouseClick	1	146	70		
990023	LeftMouseClick	1	606	285		
990966	LeftMouseClick	1	619	512		
991246	LeftMouseClick	1	618	504		
992002	LeftMouseClick	1	596	567		
992736	LeftMouseClick	1	346	430		
993675	LeftMouseClick	1	655	566		
994982	LeftMouseClick	1	169	92		
1000245	LeftMouseClick	1	881	215		
1000576	LeftMouseClick	1	699	165		
1001704	LeftMouseClick	1	339	427		
1002812	LeftMouseClick	1	685	560		
1011411	LeftMouseClick	1	338	71		
1013111	LeftMouseClick	1	167	61		
1014246	LeftMouseClick	1	962	479		
1015269	LeftMouseClick	1	648	497		
1016300	LeftMouseClick	1	613	571		
1018093	LeftMouseClick	1	159	82		
1020420	LeftMouseClick	1	377	74		
1021366	LeftMouseClick	1	377	74		
1023138	LeftMouseClick	1	142	67		
1031791	LeftMouseClick	1	813	803		
1032829	LeftMouseClick	1	608	508		
1033316	LeftMouseClick	1	618	569		
1034542	LeftMouseClick	1	127	77		
1038886	LeftMouseClick	1	326	431		
1039897	LeftMouseClick	1	661	568		
1042348	LeftMouseClick	1	361	101		
1042567	LeftMouseClick	1	357	79		
1043059	LeftMouseClick	1	592	289		
1044225	LeftMouseClick	1	577	489		
1044910	LeftMouseClick	1	607	563		
1045958	LeftMouseClick	1	158	66		
1052040	LeftMouseClick	1	358	72		
1055036	LeftMouseClick	1	813	789		
1059024	LeftMouseClick	1	744	447		
1060275	LeftMouseClick	1	753	448		
1061143	LeftMouseClick	1	148	48		
1062418	LeftMouseClick	1	806	782		
1064464	LeftMouseClick	1	676	578		
1067412	LeftMouseClick	1	333	466		
1068560	LeftMouseClick	1	600	503		
1068935	LeftMouseClick	1	606	571		
1070597	LeftMouseClick	1	118	64		
1072476	LeftMouseClick	1	366	89		
1073222	LeftMouseClick	1	337	428		
1074179	LeftMouseClick	1	671	577		
1075039	LeftMouseClick	1	162	79		
1076313	LeftMouseClick	1	343	450		
1077199	LeftMouseClick	1	632	503		
1077589	LeftMouseClick	1	607	573		
1078715	LeftMouseClick	1	180	81		
1084300	LeftMouseClick	1	357	84		
1086083	LeftMouseClick	1	146	52		
1086862	LeftMouseClick	1	335	450		
1088118	LeftMouseClick	1	672	499		
1088558	LeftMouseClick	1	608	573		
1089958	LeftMouseClick	1	156	82		
1091434	RightMouseClick	2	353	320		
1101904	LeftMouseClick	1	358	80		
1102833	LeftMouseClick	1	140	79		
1103878	LeftMouseClick	1	907	503		
1104558	LeftMouseClick	1	938	487		
1105573	LeftMouseClick	1	619	498		
1105982	LeftMouseClick	1	611	576		
1107617	LeftMouseClick	1	169	58		
1111598	LeftMouseClick	1	358	85		
1113021	LeftMouseClick	1	156	83		
1113874	LeftMouseClick	1	964	472		
1115620	LeftMouseClick	1	660	501		
1116037	LeftMouseClick	1	618	570		
1117112	LeftMouseClick	1	129	31		
1117350	LeftMouseClick	1	130	46		
1118118	LeftMouseClick	1	195	0		
1118506	LeftMouseClick	1	155	59		
1119755	LeftMouseClick	1	392	87		
1119985	LeftMouseClick	1	384	81		
1122020	LeftMouseClick	1	830	781		
1122874	LeftMouseClick	1	678	571		
1123629	LeftMouseClick	1	174	40		
1124100	LeftMouseClick	1	174	60		
1125467	LeftMouseClick	1	805	790		
1127754	LeftMouseClick	1	615	501		
1129238	LeftMouseClick	1	657	499		
1129615	LeftMouseClick	1	605	572		
1130624	LeftMouseClick	1	137	56		
1133088	LeftMouseClick	1	784	771		
1133279	LeftMouseClick	1	802	780		
1134074	LeftMouseClick	1	650	498		
1134652	LeftMouseClick	1	617	571		
1135606	LeftMouseClick	1	127	69		
1148473	LeftMouseClick	1	589	316		
1149127	LeftMouseClick	1	602	296		
1150250	LeftMouseClick	1	617	496		
1150700	LeftMouseClick	1	598	573		
1151714	LeftMouseClick	1	143	40		
1152146	LeftMouseClick	1	138	51		
1153486	LeftMouseClick	1	371	79		
1153716	LeftMouseClick	1	371	79		
1155369	LeftMouseClick	1	109	68		
1156367	LeftMouseClick	1	826	789		
1157603	LeftMouseClick	1	645	503		
1158076	LeftMouseClick	1	612	563		
1159467	LeftMouseClick	1	119	73		
1163989	LeftMouseClick	1	408	758		
1166016	LeftMouseClick	1	671	574		
1167785	LeftMouseClick	1	342	439		
1168577	LeftMouseClick	1	618	496		
1169048	LeftMouseClick	1	609	579		
1170514	LeftMouseClick	1	172	72		
1171735	LeftMouseClick	1	335	59		
1171955	LeftMouseClick	1	337	59		
1180553	LeftMouseClick	1	425	778		
1183452	LeftMouseClick	1	695	496		
1183931	LeftMouseClick	1	610	570		
1185038	LeftMouseClick	1	159	76		
1188151	LeftMouseClick	1	349	61		
1191186	LeftMouseClick	1	352	460		
1192190	LeftMouseClick	1	664	578		
1193342	LeftMouseClick	1	27	25		
1199987	LeftMouseClick	1	140	120		
1201483	LeftMouseClick	1	656	354		
1203008	LeftMouseClick	1	463	342		
1206520	LeftMouseClick	1	924	331		
1230467	LeftMouseClick	1	923	677		
1236176	LeftMouseClick	1	920	508		
1245677	LeftMouseClick	1	918	397		
1249494	LeftMouseClick	1	919	139		
1250708	LeftMouseClick	1	4	27		
1254836	LeftMouseClick	1	68	98		
1260596	LeftMouseClick	1	642	638		
1261815	LeftMouseClick	1	80	31		
1272410	LeftMouseClick	1	103	133		
1274389	LeftMouseClick	1	621	427		
1275021	LeftMouseClick	1	122	74		
1277661	LeftMouseClick	1	325	447		
1278743	LeftMouseClick	1	604	502		
1279418	LeftMouseClick	1	603	563		
1280774	LeftMouseClick	1	75	63		
1281773	LeftMouseClick	1	130	73		
1291004	LeftMouseClick	1	373	76		
1293091	LogData	0	End			
1335173	LeftMouseClick	1	349	448		
1336798	LeftMouseClick	1	688	576		
1337749	LeftMouseClick	1	110	73		
1345841	LeftMouseClick	1	608	293		
1346765	LeftMouseClick	1	611	494		
1347383	LeftMouseClick	1	614	582		
1348966	LeftMouseClick	1	176	74		
1373480	LeftMouseClick	1	1268	10		
1446964	LeftMouseClick	1	33	250		
1447174	LeftMouseClick	1	33	250		
1453672	LeftMouseClick	1	652	413		
1453830	LeftMouseClick	1	652	413		
1457332	LeftMouseClick	1	400	216		
1458295	LeftMouseClick	1	883	409		
1458461	LeftMouseClick	1	883	409		
1460524	LeftMouseClick	1	424	229		
1461303	LeftMouseClick	1	655	455		
1461458	LeftMouseClick	1	655	455		
1462987	LeftMouseClick	1	412	236		
1463690	LeftMouseClick	1	877	474		
1463849	LeftMouseClick	1	877	474		
1465364	LeftMouseClick	1	419	230		
1476163	LeftMouseClick	1	82	1006		
1510674	LeftMouseClick	1	321	1002		
1515407	LeftMouseClick	1	801	579		
1516058	LeftMouseClick	1	676	545		
1521578	KeyPress	4	164	0	LMenu	
1521791	KeyPress	4	9	0	Tab	
1522570	KeyPress	4	9	0	Tab	
1541723	KeyPress	4	164	0	LMenu	
1541938	KeyPress	4	9	0	Tab	
1542440	KeyPress	4	9	0	Tab	
1542912	KeyPress	4	9	0	Tab	
1543301	KeyPress	4	9	0	Tab	
1563609	LeftMouseClick	1	368	1023		
1564492	LeftMouseClick	1	553	1007		
1564873	LeftMouseClick	1	547	1007		
1566772	LeftMouseClick	1	26	5		
1566933	LeftMouseClick	1	26	5		
1578536	LeftMouseClick	1	331	1011		
1579706	LeftMouseClick	1	701	572		
1581142	LeftMouseClick	1	843	420		
1581340	LeftMouseClick	1	843	420		
1584551	LeftMouseClick	1	523	229		
1586176	LeftMouseClick	1	635	478		
1586366	LeftMouseClick	1	635	478		
1588641	LeftMouseClick	1	518	226		
1589855	LeftMouseClick	1	853	473		
1590273	LeftMouseClick	1	853	473		
1591702	LeftMouseClick	1	517	225		
1593203	LeftMouseClick	1	804	576		
1596012	LeftMouseClick	1	839	404		
1596214	LeftMouseClick	1	839	404		
1617665	RightMouseClick	2	678	290		
1620020	LeftMouseClick	1	928	412		
1640430	LeftMouseClick	1	1187	254		
1641756	LeftMouseClick	1	515	220		
1642658	LeftMouseClick	1	725	506		
1645036	LeftMouseClick	1	622	409		
1645238	LeftMouseClick	1	622	409		
1647378	RightMouseClick	2	695	288		
1653114	LeftMouseClick	1	887	404		
1657222	LeftMouseClick	1	1186	252		
1658701	LeftMouseClick	1	722	485		
1662094	LeftMouseClick	1	498	1003		
1664038	LeftMouseClick	1	578	372		
1664243	LeftMouseClick	1	582	379		
1664577	LeftMouseClick	1	582	379		
1665448	LeftMouseClick	1	590	529		
1665602	LeftMouseClick	1	590	529		
1667417	LeftMouseClick	1	299	290		
1668342	LeftMouseClick	1	579	418		
1668509	LeftMouseClick	1	579	418		
1669222	LeftMouseClick	1	568	584		
1669385	LeftMouseClick	1	568	584		
1672730	LeftMouseClick	1	589	414		
1673608	LeftMouseClick	1	587	420		
1673762	LeftMouseClick	1	587	420		
1675045	LeftMouseClick	1	577	640		
1675191	LeftMouseClick	1	577	640		
1676052	LeftMouseClick	1	794	360		
1676302	LeftMouseClick	1	794	360		
1677615	LeftMouseClick	1	615	415		
1677774	LeftMouseClick	1	615	415		
1678573	LeftMouseClick	1	335	284		
1679212	LeftMouseClick	1	804	348		
1679367	LeftMouseClick	1	804	348		
1680790	LeftMouseClick	1	314	285		
1681534	LeftMouseClick	1	555	363		
1681673	LeftMouseClick	1	555	363		
1682910	LeftMouseClick	1	314	285		
1683316	LeftMouseClick	1	314	285		
1684090	LeftMouseClick	1	314	285		
1686166	LeftMouseClick	1	314	285		
1687165	LeftMouseClick	1	314	285		
1688484	LeftMouseClick	1	314	285		
1693150	LeftMouseClick	1	335	285		
1694461	LeftMouseClick	1	342	284		
1695874	LeftMouseClick	1	1065	236		
1696631	LeftMouseClick	1	993	567		
1698114	LeftMouseClick	1	395	217		
1699988	LeftMouseClick	1	845	618		
1804266	LeftMouseClick	1	211	1007		
1807316	LeftMouseClick	1	213	1000		
1815062	LeftMouseClick	1	24	1004		
1818620	LeftMouseClick	1	41	15		
1818783	LeftMouseClick	1	41	15		
1821677	LeftMouseClick	1	624	639		
1821819	LeftMouseClick	1	624	639		
1826626	LeftMouseClick	1	828	731		
1826785	LeftMouseClick	1	828	731		
1829673	LeftMouseClick	1	1074	142		
1831116	RightMouseClick	2	781	729		
1833422	LeftMouseClick	1	1038	856		
1836597	LeftMouseClick	1	731	632		
1837548	LeftMouseClick	1	967	690		
1837810	LeftMouseClick	1	967	690		
1844454	LeftMouseClick	1	1146	594		
1845687	LeftMouseClick	1	295	730		
1851880	LeftMouseClick	1	1124	617		
1892472	LeftMouseClick	1	528	1008		
1895546	LeftMouseClick	1	944	734		
1904978	RightMouseClick	2	800	732		
1906969	LeftMouseClick	1	949	705		
1908177	RightMouseClick	2	883	1010		
1909130	LeftMouseClick	1	910	957		
1914385	LeftMouseClick	1	928	544		
1927684	LeftMouseClick	1	1180	692		
1929850	LeftMouseClick	1	595	568		
1930105	ScreenRecStopped	16384	0	0		
