System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 02
Recording date:	 14/02/2011
Recording time:	 1:19:25 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:53:31 AM

Participant:	 P52
Participant properties:

Previous Experience with AISpace:	 A lot
Hand:	 right
221:	 Complete
Glasses:	 glasses
Sex:	 m
322:	 Current
Previous Experience with the CSP Applet:	 A lot

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
2224	LeftMouseClick	1	675	636		
3190	LeftMouseClick	1	653	177		
3345	LeftMouseClick	1	653	177		
4685	LeftMouseClick	1	7	30		
5656	LeftMouseClick	1	31	73		
13417	LeftMouseClick	1	588	449		
14207	LeftMouseClick	1	582	640		
63419	LogData	0	Load 1st Problem			
66896	LeftMouseClick	1	32	78		
71773	LeftMouseClick	1	32	78		
75630	LeftMouseClick	1	32	78		
85977	LeftMouseClick	1	32	78		
97150	LeftMouseClick	1	32	78		
108246	LeftMouseClick	1	32	78		
109053	LeftMouseClick	1	32	78		
109452	LeftMouseClick	1	32	78		
109902	LeftMouseClick	1	32	78		
110281	LeftMouseClick	1	32	78		
110743	LeftMouseClick	1	32	78		
111014	LeftMouseClick	1	32	78		
112167	LeftMouseClick	1	137	82		
119219	LeftMouseClick	1	482	421		
119933	LeftMouseClick	1	491	424		
120690	LeftMouseClick	1	718	363		
121297	LeftMouseClick	1	870	479		
122157	LeftMouseClick	1	627	702		
122827	LeftMouseClick	1	420	547		
125227	LeftMouseClick	1	124	75		
129280	LeftMouseClick	1	42	114		
129983	LeftMouseClick	1	75	115		
130771	LeftMouseClick	1	131	81		
145257	LogData	0	Distracted Start	 		
148113	LogData	0	Distracted End	 		
149921	LogData	0	Distracted Start	 		
170250	LogData	0	Distracted End	 		
171964	LogData	0	Distracted Start	 		
178708	LeftMouseClick	1	315	475		
179585	LogData	0	Distracted End	 		
180637	LeftMouseClick	1	648	532		
181782	LeftMouseClick	1	648	530		
182396	LeftMouseClick	1	648	530		
182951	LeftMouseClick	1	648	530		
183401	LeftMouseClick	1	648	530		
183937	LeftMouseClick	1	610	534		
185037	LeftMouseClick	1	619	577		
187428	LeftMouseClick	1	129	68		
198457	LogData	0	Distracted Start	 		
211198	LogData	0	Distracted End	 		
212802	LogData	0	Distracted Start	 		
217633	LeftMouseClick	1	295	73		
217772	LogData	0	Distracted End	 		
219033	LeftMouseClick	1	136	73		
241208	LeftMouseClick	1	329	488		
242522	LeftMouseClick	1	614	499		
244236	LeftMouseClick	1	596	574		
245634	LeftMouseClick	1	165	72		
262064	LogData	0	Distracted Start	 		
265478	LogData	0	Distracted End	 		
274474	LeftMouseClick	1	281	73		
276653	LeftMouseClick	1	132	75		
296536	LeftMouseClick	1	377	72		
297681	LeftMouseClick	1	324	480		
300125	LeftMouseClick	1	598	536		
301440	LeftMouseClick	1	597	572		
303421	LeftMouseClick	1	334	475		
304310	LeftMouseClick	1	609	539		
304644	LeftMouseClick	1	603	565		
305894	LeftMouseClick	1	169	82		
319531	LeftMouseClick	1	265	66		
320477	LeftMouseClick	1	150	63		
342079	LeftMouseClick	1	355	71		
343801	LeftMouseClick	1	346	486		
344892	LeftMouseClick	1	580	501		
345370	LeftMouseClick	1	659	502		
346098	LeftMouseClick	1	607	570		
347525	LeftMouseClick	1	150	76		
359977	LogData	0	Distracted Start	 		
373147	LeftMouseClick	1	301	66		
373401	LogData	0	Distracted End	 		
374576	LeftMouseClick	1	119	80		
386197	LogData	0	Distracted Start	 		
394070	LogData	0	Distracted End	 		
394899	LeftMouseClick	1	379	80		
396035	LeftMouseClick	1	341	452		
397123	LeftMouseClick	1	573	497		
398495	LeftMouseClick	1	626	502		
399044	LeftMouseClick	1	659	499		
399759	LeftMouseClick	1	613	568		
400916	LeftMouseClick	1	130	67		
414741	LogData	0	Distracted Start	 		
425147	LeftMouseClick	1	286	69		
425618	LogData	0	Distracted End	 		
426491	LeftMouseClick	1	107	67		
439653	LeftMouseClick	1	357	75		
441073	LeftMouseClick	1	339	483		
444280	LogData	0	Distracted Start	 		
455826	LogData	0	Distracted End	 		
458704	LeftMouseClick	1	581	501		
459324	LeftMouseClick	1	618	504		
459800	LeftMouseClick	1	690	503		
460633	LeftMouseClick	1	609	568		
464057	LeftMouseClick	1	158	81		
475318	LogData	0	Distracted Start	 		
480871	LogData	0	Distracted End	 		
481243	LeftMouseClick	1	259	54		
481826	LeftMouseClick	1	270	72		
482452	LeftMouseClick	1	361	69		
483462	LeftMouseClick	1	358	487		
483695	LeftMouseClick	1	335	462		
484829	LeftMouseClick	1	368	71		
485462	LeftMouseClick	1	309	476		
486393	LeftMouseClick	1	617	497		
486661	LeftMouseClick	1	654	498		
486915	LeftMouseClick	1	674	494		
487148	LeftMouseClick	1	690	495		
487724	LeftMouseClick	1	607	568		
488849	LeftMouseClick	1	135	49		
500523	LogData	0	Distracted Start	 		
531424	LogData	0	Distracted End	 		
533447	LeftMouseClick	1	354	76		
535791	LeftMouseClick	1	330	477		
537042	LeftMouseClick	1	574	498		
538121	LeftMouseClick	1	697	497		
539002	LeftMouseClick	1	607	563		
540218	LeftMouseClick	1	150	62		
544393	LogData	0	Distracted Start	 		
656591	LogData	0	Distracted End	 		
657651	LogData	0	Distracted Start	 		
674606	LogData	0	Distracted End	 		
682643	LogData	0	Distracted Start	 		
687672	LogData	0	Distracted End	 		
688944	LeftMouseClick	1	341	462		
691621	LeftMouseClick	1	599	528		
691960	LeftMouseClick	1	594	567		
694345	LeftMouseClick	1	165	77		
711017	LeftMouseClick	1	353	71		
724534	LogData	0	Distracted Start	 		
759250	LeftMouseClick	1	26	26		
761374	LeftMouseClick	1	70	81		
762548	LeftMouseClick	1	622	488		
763367	LeftMouseClick	1	627	484		
763561	LeftMouseClick	1	627	484		
764514	LeftMouseClick	1	587	644		
771970	LogData	0	Distracted End	 		
772171	LogData	0	Load 2nd Problem			
777217	LeftMouseClick	1	239	60		
778102	LogData	0	Distracted Start	 		
778153	LeftMouseClick	1	375	88		
799393	LeftMouseClick	1	491	541		
802069	LeftMouseClick	1	689	785		
816537	LeftMouseClick	1	531	553		
817769	LeftMouseClick	1	595	546		
821181	LeftMouseClick	1	748	702		
821518	LogData	0	Distracted End	 		
829095	LeftMouseClick	1	519	552		
829357	LogData	0	Distracted Start	 		
844501	LeftMouseClick	1	772	672		
865527	LeftMouseClick	1	684	793		
866140	LogData	0	Distracted End	 		
869200	LeftMouseClick	1	532	537		
869434	LeftMouseClick	1	532	537		
875232	LogData	0	Distracted Start	 		
877081	LeftMouseClick	1	663	792		
879108	LogData	0	Distracted End	 		
879511	LeftMouseClick	1	125	56		
913008	LeftMouseClick	1	345	471		
914452	LeftMouseClick	1	601	499		
915689	LeftMouseClick	1	633	496		
916315	LeftMouseClick	1	582	572		
