System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 05
Recording date:	 07/03/2011
Recording time:	 1:17:52 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:53:50 AM

Participant:	 P54
Participant properties:

Hand:	 right
Sex:	 f
Previous Experience with the CSP Applet:	 A little
221:	 Complete
Glasses:	 glasses
322:	 Current
Previous Experience with AISpace:	 A little

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
3843	LeftMouseClick	1	668	638		
4960	LeftMouseClick	1	1004	171		
6042	LeftMouseClick	1	9	29		
7105	LeftMouseClick	1	52	74		
8758	LeftMouseClick	1	593	441		
54646	LeftMouseClick	1	576	437		
55622	LeftMouseClick	1	613	642		
56179	LogData	0	Load 1st Problem			
80754	LeftMouseClick	1	49	60		
81508	LeftMouseClick	1	50	63		
81930	LeftMouseClick	1	50	63		
82129	LeftMouseClick	1	50	63		
82531	LeftMouseClick	1	50	63		
83627	LeftMouseClick	1	50	63		
84213	LeftMouseClick	1	50	63		
84776	LeftMouseClick	1	50	63		
85231	LeftMouseClick	1	50	63		
85538	LeftMouseClick	1	50	63		
86004	LeftMouseClick	1	50	63		
86371	LeftMouseClick	1	50	63		
86938	LeftMouseClick	1	50	63		
89995	LeftMouseClick	1	145	76		
94114	LeftMouseClick	1	962	305		
95712	LeftMouseClick	1	661	570		
98359	LeftMouseClick	1	939	315		
99688	LeftMouseClick	1	580	536		
100723	LeftMouseClick	1	603	575		
103480	LeftMouseClick	1	142	71		
103718	LeftMouseClick	1	142	71		
103996	LeftMouseClick	1	142	71		
104479	LeftMouseClick	1	142	71		
104717	LeftMouseClick	1	142	71		
105080	LeftMouseClick	1	142	71		
105534	LeftMouseClick	1	142	71		
106145	LeftMouseClick	1	142	71		
106664	LeftMouseClick	1	142	71		
107131	LeftMouseClick	1	142	71		
107637	LeftMouseClick	1	142	71		
108100	LeftMouseClick	1	142	71		
108707	LeftMouseClick	1	142	71		
112649	LeftMouseClick	1	961	293		
113978	LeftMouseClick	1	575	538		
114385	LeftMouseClick	1	597	570		
117286	LeftMouseClick	1	143	63		
128808	LeftMouseClick	1	289	65		
131443	LeftMouseClick	1	100	72		
141252	LeftMouseClick	1	278	78		
145227	LeftMouseClick	1	163	82		
150439	LeftMouseClick	1	950	292		
151944	LeftMouseClick	1	591	539		
152688	LeftMouseClick	1	584	563		
156892	LeftMouseClick	1	156	79		
167629	LeftMouseClick	1	286	68		
170066	LeftMouseClick	1	150	73		
206048	LeftMouseClick	1	265	60		
206221	LeftMouseClick	1	265	59		
207919	LeftMouseClick	1	28	919		
210543	LeftMouseClick	1	356	71		
215851	LeftMouseClick	1	140	69		
223560	LeftMouseClick	1	318	496		
224747	LeftMouseClick	1	317	456		
226247	LeftMouseClick	1	659	530		
226791	LeftMouseClick	1	610	572		
229031	LeftMouseClick	1	150	81		
232664	LeftMouseClick	1	151	26		
233435	LeftMouseClick	1	184	52		
235169	LeftMouseClick	1	328	48		
238405	LeftMouseClick	1	308	68		
239812	LeftMouseClick	1	336	492		
241148	LeftMouseClick	1	653	528		
241700	LeftMouseClick	1	591	568		
243341	LeftMouseClick	1	125	68		
245983	LeftMouseClick	1	305	73		
247454	LeftMouseClick	1	338	478		
248330	LeftMouseClick	1	570	530		
249077	LeftMouseClick	1	603	571		
250178	LeftMouseClick	1	143	73		
251781	LeftMouseClick	1	279	63		
252893	LeftMouseClick	1	315	464		
255381	LeftMouseClick	1	688	535		
257873	LeftMouseClick	1	653	568		
260011	LeftMouseClick	1	156	61		
261420	LeftMouseClick	1	350	384		
283351	LeftMouseClick	1	2	0		
284031	LeftMouseClick	1	217	249		
284774	LeftMouseClick	1	6	24		
286363	LeftMouseClick	1	47	71		
288143	LeftMouseClick	1	551	478		
288803	LeftMouseClick	1	620	633		
289068	LogData	0	Load 2nd Problem			
294523	LeftMouseClick	1	514	539		
311373	LeftMouseClick	1	667	790		
316748	LeftMouseClick	1	160	87		
325853	LeftMouseClick	1	603	314		
327191	LeftMouseClick	1	586	542		
327695	LeftMouseClick	1	592	563		
329559	LeftMouseClick	1	169	69		
351992	LeftMouseClick	1	345	430		
353592	LeftMouseClick	1	571	529		
353957	LeftMouseClick	1	587	569		
355844	LeftMouseClick	1	162	72		
382758	LeftMouseClick	1	307	73		
385018	LeftMouseClick	1	307	73		
386381	LeftMouseClick	1	307	73		
386588	LeftMouseClick	1	307	73		
392134	LeftMouseClick	1	341	88		
394724	LeftMouseClick	1	171	67		
396703	LeftMouseClick	1	923	464		
399170	LeftMouseClick	1	952	494		
399486	LeftMouseClick	1	939	490		
400859	LeftMouseClick	1	650	496		
401448	LeftMouseClick	1	601	568		
403339	LeftMouseClick	1	154	76		
406623	LeftMouseClick	1	298	84		
410054	LeftMouseClick	1	149	79		
417377	LeftMouseClick	1	334	436		
418447	LeftMouseClick	1	659	503		
419375	LeftMouseClick	1	589	567		
421701	LeftMouseClick	1	158	80		
451611	LeftMouseClick	1	222	959		
452354	LeftMouseClick	1	258	968		
452742	LeftMouseClick	1	177	913		
455682	LeftMouseClick	1	275	77		
456757	LeftMouseClick	1	350	60		
458729	LeftMouseClick	1	126	46		
461429	LeftMouseClick	1	434	789		
462676	LeftMouseClick	1	428	778		
464061	LeftMouseClick	1	425	758		
465783	LeftMouseClick	1	675	500		
466748	LeftMouseClick	1	597	572		
468506	LeftMouseClick	1	114	78		
471680	LeftMouseClick	1	334	460		
472451	LeftMouseClick	1	678	507		
472810	LeftMouseClick	1	651	506		
479342	LeftMouseClick	1	611	502		
479724	LeftMouseClick	1	670	503		
480695	LeftMouseClick	1	601	573		
483449	LeftMouseClick	1	361	70		
486095	LeftMouseClick	1	126	79		
487670	LeftMouseClick	1	402	771		
490719	LeftMouseClick	1	674	502		
491255	LeftMouseClick	1	604	570		
492548	LeftMouseClick	1	132	75		
495559	LeftMouseClick	1	285	72		
496807	LeftMouseClick	1	419	752		
498413	LeftMouseClick	1	647	497		
498922	LeftMouseClick	1	605	575		
501312	LeftMouseClick	1	178	68		
503168	LeftMouseClick	1	288	62		
505044	LeftMouseClick	1	145	74		
506788	LeftMouseClick	1	318	63		
507120	LeftMouseClick	1	353	63		
508135	LeftMouseClick	1	358	433		
509492	LeftMouseClick	1	688	578		
511537	LeftMouseClick	1	139	89		
513107	LeftMouseClick	1	815	791		
514082	LeftMouseClick	1	619	490		
515313	LeftMouseClick	1	607	568		
516710	LeftMouseClick	1	164	83		
527257	LeftMouseClick	1	298	69		
528447	LeftMouseClick	1	923	465		
529342	LeftMouseClick	1	663	574		
530047	LeftMouseClick	1	163	82		
530954	LeftMouseClick	1	957	485		
531717	LeftMouseClick	1	922	476		
535033	LeftMouseClick	1	653	500		
536140	LeftMouseClick	1	598	566		
539196	LeftMouseClick	1	120	61		
