System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 09
Recording date:	 10/03/2011
Recording time:	 11:20:55 AM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:55:03 AM

Participant:	 P58
Participant properties:

Glasses:	 glasses
Previous Experience with the CSP Applet:	 None
322:	 Not Taken
Hand:	 right
Sex:	 f
221:	 Complete
Previous Experience with AISpace:	 None

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
11996	LeftMouseClick	1	672	637		
13126	LeftMouseClick	1	1002	172		
14444	LeftMouseClick	1	11	30		
15150	LeftMouseClick	1	25	70		
16417	LeftMouseClick	1	605	445		
53254	LeftMouseClick	1	591	633		
108906	LogData	0	Load 1st Problem			
111891	LeftMouseClick	1	32	73		
113846	LeftMouseClick	1	49	75		
114776	LeftMouseClick	1	49	75		
115704	LeftMouseClick	1	49	75		
116751	LeftMouseClick	1	49	75		
117550	LeftMouseClick	1	49	75		
118357	LeftMouseClick	1	49	75		
118952	LeftMouseClick	1	49	75		
119443	LeftMouseClick	1	49	75		
119853	LeftMouseClick	1	49	75		
120304	LeftMouseClick	1	49	75		
120687	LeftMouseClick	1	49	75		
122787	LeftMouseClick	1	112	58		
136162	LeftMouseClick	1	326	453		
138627	LeftMouseClick	1	575	494		
139473	LeftMouseClick	1	611	494		
140146	LeftMouseClick	1	661	526		
141379	LeftMouseClick	1	600	573		
143582	LeftMouseClick	1	107	68		
155267	LeftMouseClick	1	322	492		
156917	LeftMouseClick	1	648	545		
158549	LeftMouseClick	1	295	81		
160921	LeftMouseClick	1	333	468		
162302	LeftMouseClick	1	666	523		
163413	LeftMouseClick	1	608	571		
165009	LeftMouseClick	1	119	69		
174951	LeftMouseClick	1	327	489		
176192	LeftMouseClick	1	651	537		
177098	LeftMouseClick	1	276	67		
178140	LeftMouseClick	1	329	468		
179904	LeftMouseClick	1	650	492		
180462	LeftMouseClick	1	606	575		
182178	LeftMouseClick	1	136	87		
193958	LeftMouseClick	1	289	71		
194640	LeftMouseClick	1	163	81		
208559	LeftMouseClick	1	367	75		
210691	LeftMouseClick	1	948	265		
211513	LeftMouseClick	1	714	535		
212874	LeftMouseClick	1	592	576		
214996	LeftMouseClick	1	128	76		
229963	LeftMouseClick	1	268	74		
232658	LeftMouseClick	1	102	72		
247735	LeftMouseClick	1	352	66		
249634	LeftMouseClick	1	957	279		
251940	LeftMouseClick	1	614	497		
252707	LeftMouseClick	1	582	497		
253809	LeftMouseClick	1	646	500		
254347	LeftMouseClick	1	601	569		
255633	LeftMouseClick	1	164	87		
267332	LeftMouseClick	1	930	260		
269098	LeftMouseClick	1	643	528		
269815	LeftMouseClick	1	608	564		
271197	LeftMouseClick	1	155	56		
284122	LeftMouseClick	1	279	69		
285543	LeftMouseClick	1	945	257		
286840	LeftMouseClick	1	651	496		
287475	LeftMouseClick	1	599	572		
289817	LeftMouseClick	1	124	85		
300469	LeftMouseClick	1	276	73		
302342	LeftMouseClick	1	158	85		
312830	LeftMouseClick	1	346	83		
313785	LeftMouseClick	1	728	751		
314851	LeftMouseClick	1	687	535		
315839	LeftMouseClick	1	614	570		
317573	LeftMouseClick	1	152	88		
329188	LeftMouseClick	1	731	750		
330422	LeftMouseClick	1	628	500		
