System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 10
Recording date:	 10/03/2011
Recording time:	 12:39:26 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:55:14 AM

Participant:	 P59
Participant properties:

Glasses:	 glasses
Previous Experience with the CSP Applet:	 None
322:	 Not Taken
Hand:	 right
221:	 Complete
Previous Experience with AISpace:	 None
Sex:	 m

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
2654	LeftMouseClick	1	678	636		
3741	LeftMouseClick	1	1007	172		
5008	LeftMouseClick	1	20	24		
6154	LeftMouseClick	1	37	72		
7291	LeftMouseClick	1	634	444		
14114	LeftMouseClick	1	618	628		
66753	LogData	0	Load 1st Problem			
71789	LeftMouseClick	1	665	383		
73396	LogData	0	Distracted Start	 		
89751	LeftMouseClick	1	898	397		
90079	LogData	0	Distracted End	 		
92079	LeftMouseClick	1	343	469		
92249	LeftMouseClick	1	343	469		
96591	LeftMouseClick	1	581	498		
100352	LeftMouseClick	1	619	574		
103823	LeftMouseClick	1	954	304		
107905	LeftMouseClick	1	578	501		
108718	LeftMouseClick	1	581	500		
109479	LeftMouseClick	1	609	495		
110197	LeftMouseClick	1	648	495		
110877	LeftMouseClick	1	688	495		
111793	LeftMouseClick	1	617	570		
116239	LeftMouseClick	1	732	782		
117474	LeftMouseClick	1	716	765		
119373	LeftMouseClick	1	613	502		
119968	LeftMouseClick	1	652	499		
120470	LeftMouseClick	1	686	495		
129881	LogData	0	Distracted Start	 		
251464	LogData	0	Distracted End	 		
253340	LeftMouseClick	1	655	564		
256421	LeftMouseClick	1	97	110		
258379	LeftMouseClick	1	328	468		
262268	LeftMouseClick	1	689	578		
264216	LeftMouseClick	1	374	77		
265478	LeftMouseClick	1	94	109		
266883	LeftMouseClick	1	97	108		
267093	LeftMouseClick	1	97	108		
268441	LeftMouseClick	1	97	109		
270232	LeftMouseClick	1	117	80		
293791	LogData	0	Distracted Start	 		
313891	LogData	0	Distracted End	 		
318049	LeftMouseClick	1	140	25		
326053	LeftMouseClick	1	196	164		
328132	LeftMouseClick	1	776	338		
329572	LeftMouseClick	1	776	338		
329750	LeftMouseClick	1	776	338		
331026	LeftMouseClick	1	776	337		
331621	LeftMouseClick	1	781	338		
332724	LeftMouseClick	1	879	428		
332869	LeftMouseClick	1	879	428		
333370	LeftMouseClick	1	881	429		
333524	LeftMouseClick	1	881	429		
335212	LeftMouseClick	1	880	445		
341033	LeftMouseClick	1	816	582		
345748	LeftMouseClick	1	731	762		
351871	LeftMouseClick	1	679	571		
352896	LeftMouseClick	1	839	533		
353087	LeftMouseClick	1	839	533		
354943	LeftMouseClick	1	921	732		
357728	LeftMouseClick	1	997	792		
359787	LogData	0	Distracted Start	 		
360002	LeftMouseClick	1	77	29		
425840	LeftMouseClick	1	441	459		
597931	LeftMouseClick	1	22	28		
600875	LeftMouseClick	1	97	78		
605541	LeftMouseClick	1	621	478		
605707	LeftMouseClick	1	621	478		
606886	LeftMouseClick	1	608	636		
609798	LogData	0	Distracted End	 		
609798	LogData	0	Load 2nd Problem			
625476	LogData	0	Distracted Start	 		
627285	LogData	0	Distracted End	 		
630926	LeftMouseClick	1	86	108		
632068	LeftMouseClick	1	97	109		
632239	LeftMouseClick	1	97	109		
636705	LeftMouseClick	1	179	88		
