System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 11-
Recording date:	 10/03/2011
Recording time:	 2:00:51 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:55:19 AM

Participant:	 P60
Participant properties:

Glasses:	 glasses
Previous Experience with the CSP Applet:	 None
322:	 Not Taken
Hand:	 right
221:	 Complete
Previous Experience with AISpace:	 None
Sex:	 m

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
2545	LeftMouseClick	1	685	641		
3575	LeftMouseClick	1	1002	173		
4718	LeftMouseClick	1	17	21		
5352	LeftMouseClick	1	37	71		
7034	LeftMouseClick	1	639	441		
64872	LeftMouseClick	1	595	426		
65588	LeftMouseClick	1	609	630		
71877	LeftMouseClick	1	572	537		
73590	LeftMouseClick	1	740	534		
74751	LeftMouseClick	1	1010	536		
76106	LeftMouseClick	1	249	542		
77241	LeftMouseClick	1	344	535		
81531	LeftMouseClick	1	1077	530		
85570	LeftMouseClick	1	1230	545		
88606	LeftMouseClick	1	595	532		
89166	LeftMouseClick	1	599	562		
91227	LeftMouseClick	1	805	549		
93694	LeftMouseClick	1	286	542		
106067	LeftMouseClick	1	30	49		
117364	LeftMouseClick	1	304	59		
119791	LeftMouseClick	1	152	78		
128851	LeftMouseClick	1	44	936		
140578	LeftMouseClick	1	366	72		
141614	LeftMouseClick	1	16	27		
144644	LeftMouseClick	1	57	82		
145798	LeftMouseClick	1	590	441		
146788	LeftMouseClick	1	590	637		
147159	LogData	0	Load 1st Problem			
149909	LeftMouseClick	1	114	53		
154194	LogData	0	Distracted Start	 		
156294	LogData	0	Distracted End	 		
162337	LeftMouseClick	1	349	477		
165085	LeftMouseClick	1	596	536		
165981	LeftMouseClick	1	609	573		
168181	LeftMouseClick	1	176	74		
185511	LeftMouseClick	1	340	467		
186913	LeftMouseClick	1	620	499		
188522	LeftMouseClick	1	583	568		
190464	LeftMouseClick	1	151	78		
203859	LeftMouseClick	1	283	74		
205525	LeftMouseClick	1	136	72		
216800	LeftMouseClick	1	290	82		
218540	LeftMouseClick	1	339	452		
219879	LeftMouseClick	1	616	505		
220385	LeftMouseClick	1	609	576		
223713	LeftMouseClick	1	142	71		
226612	LogData	0	Distracted Start	 		
242893	LogData	0	Distracted End	 		
245320	LeftMouseClick	1	302	94		
245636	LeftMouseClick	1	299	78		
246983	LeftMouseClick	1	133	75		
258887	LeftMouseClick	1	385	70		
261779	LeftMouseClick	1	139	67		
270792	LeftMouseClick	1	969	307		
272096	LeftMouseClick	1	575	534		
272967	LeftMouseClick	1	592	573		
274931	LeftMouseClick	1	147	74		
280827	LeftMouseClick	1	959	310		
281970	LeftMouseClick	1	622	497		
282721	LeftMouseClick	1	599	559		
286597	LeftMouseClick	1	144	78		
299114	LeftMouseClick	1	290	64		
300178	LeftMouseClick	1	137	68		
301254	LogData	0	Distracted Start	 		
305274	LogData	0	Distracted End	 		
317406	LeftMouseClick	1	295	81		
318126	LeftMouseClick	1	937	293		
319053	LeftMouseClick	1	610	488		
319831	LeftMouseClick	1	606	575		
324663	LeftMouseClick	1	170	81		
336092	LeftMouseClick	1	280	65		
338089	LeftMouseClick	1	139	75		
348356	LeftMouseClick	1	362	75		
350560	LogData	0	Distracted Start	 		
351498	LeftMouseClick	1	13	31		
352515	LeftMouseClick	1	60	73		
355925	LeftMouseClick	1	609	483		
357052	LeftMouseClick	1	595	635		
357394	LogData	0	Distracted End	 		
357394	LogData	0	Load 2nd Problem			
361137	LeftMouseClick	1	145	62		
366349	LeftMouseClick	1	141	28		
368993	LeftMouseClick	1	304	68		
375927	LeftMouseClick	1	351	423		
377463	LeftMouseClick	1	351	451		
379157	LeftMouseClick	1	597	502		
379633	LeftMouseClick	1	605	559		
381175	LeftMouseClick	1	141	71		
389261	LeftMouseClick	1	266	69		
390613	LeftMouseClick	1	137	72		
395081	LeftMouseClick	1	359	449		
396171	LeftMouseClick	1	611	501		
396763	LeftMouseClick	1	605	568		
398298	LeftMouseClick	1	127	80		
406788	LeftMouseClick	1	302	80		
408432	LeftMouseClick	1	140	64		
416971	LeftMouseClick	1	53	61		
420783	LeftMouseClick	1	1266	909		
434709	LeftMouseClick	1	357	78		
437948	LeftMouseClick	1	136	60		
443377	LeftMouseClick	1	605	294		
444562	LeftMouseClick	1	618	508		
444997	LeftMouseClick	1	615	560		
446380	LeftMouseClick	1	168	94		
455420	LeftMouseClick	1	355	438		
456380	LeftMouseClick	1	614	510		
456770	LeftMouseClick	1	615	503		
457506	LeftMouseClick	1	585	572		
459059	LeftMouseClick	1	156	78		
462698	LeftMouseClick	1	296	57		
465034	LeftMouseClick	1	134	71		
469624	LeftMouseClick	1	298	70		
470835	LeftMouseClick	1	156	67		
481019	LeftMouseClick	1	358	88		
482142	LeftMouseClick	1	136	75		
483583	LogData	0	Distracted Start	 		
530009	LeftMouseClick	1	514	544		
554955	LeftMouseClick	1	779	545		
556774	LeftMouseClick	1	517	543		
576916	LeftMouseClick	1	776	680		
600165	LeftMouseClick	1	776	546		
600454	LogData	0	Distracted End	 		
603850	LeftMouseClick	1	931	475		
605056	LeftMouseClick	1	616	501		
605576	LeftMouseClick	1	597	574		
607603	LeftMouseClick	1	110	61		
622804	LeftMouseClick	1	344	437		
623941	LeftMouseClick	1	619	501		
624391	LeftMouseClick	1	607	564		
625593	LeftMouseClick	1	160	63		
628556	LeftMouseClick	1	277	72		
629946	LeftMouseClick	1	105	67		
631750	LeftMouseClick	1	287	70		
633337	LeftMouseClick	1	144	66		
