Data properties:

Recording date: 11/03/2011
Recording time: 13:06:30:000 (corresponds to time 0)
Study: Interacting with the CSP applet
Subject: P61
Recording: Rec 12
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Timestamp	FixationDuration	AoiIds	AoiNames	StimuliName	
273	383	0	Content	ScreenRec	
656	150	0	Content	ScreenRec	
806	150	0	Content	ScreenRec	
956	466	0	Content	ScreenRec	
1422	266	0	Content	ScreenRec	
1689	233	0	Content	ScreenRec	
1922	1166	0	Content	ScreenRec	
3088	300	0	Content	ScreenRec	
3388	150	0	Content	ScreenRec	
3538	167	0	Content	ScreenRec	
3704	400	0	Content	ScreenRec	
4104	233	0	Content	ScreenRec	
4337	133	0	Content	ScreenRec	
4471	999	0	Content	ScreenRec	
5470	167	0	Content	ScreenRec	
5636	166	0	Content	ScreenRec	
5803	200	0	Content	ScreenRec	
6003	183	0	Content	ScreenRec	
6186	416	0	Content	ScreenRec	
6602	167	0	Content	Scene_1	
6769	266	2	Graph	Scene_1	
7035	700	2	Graph	Scene_1	
7735	383	2	Graph	Scene_1	
8118	133	2	Graph	Scene_1	
8251	150	2	Graph	Scene_1	
22942	200	2	Graph	Scene_1	
23141	333	2	Graph	Scene_1	
23474	533	2	Graph	Scene_1	
24007	1649	2	Graph	Scene_1	
25656	183	2	Graph	Scene_1	
25839	550	2	Graph	Scene_1	
25839	550	25	Condition_2	Scene_1	
26389	916	2	Graph	Scene_1	
26389	916	21	Var_0	Scene_1	
27305	133	2	Graph	Scene_1	
27438	183	0	Top	Scene_1	
27622	216	0	Top	Scene_1	
27838	183	0	Top	Scene_1	
28021	183	0	Top	Scene_1	
28204	150	0	Top	Scene_1	
28354	216	0	Top	Scene_1	
28571	200	3	Toolbar	Scene_1	
28771	266	3	Toolbar	Scene_1	
29037	150	2	Graph	Scene_1	
29187	400	2	Graph	Scene_1	
29187	400	25	Condition_2	Scene_1	
29587	233	2	Graph	Scene_1	
29587	233	24	Condition_1	Scene_1	
29820	150	2	Graph	Scene_1	
29970	200	2	Graph	Scene_1	
29970	200	7	Condition_0	Scene_1	
30170	1899	2	Graph	Scene_1	
30170	1899	21	Var_0	Scene_1	
32069	700	2	Graph	Scene_1	
32069	700	7	Condition_0	Scene_1	
32768	1066	2	Graph	Scene_1	
32768	1066	22	Var_1	Scene_1	
33834	117	2	Graph	Scene_1	
33951	167	2	Graph	Scene_1	
34117	366	2	Graph	Scene_1	
34117	366	23	Var_2	Scene_1	
34484	183	0	Content	Scene_1	
34667	117	0	Content	Scene_1	
34784	649	2	Graph	Scene_1	
34784	649	25	Condition_2	Scene_1	
35433	300	2	Graph	Scene_1	
35733	550	2	Graph	Scene_1	
35733	550	7	Condition_0	Scene_1	
36282	117	2	Graph	Scene_1	
36282	117	22	Var_1	Scene_1	
36399	483	2	Graph	Scene_1	
36399	483	24	Condition_1	Scene_1	
36882	500	2	Graph	Scene_1	
36882	500	7	Condition_0	Scene_1	
37382	266	2	Graph	Scene_1	
37382	266	21	Var_0	Scene_1	
37648	350	2	Graph	Scene_1	
37648	350	22	Var_1	Scene_1	
37998	233	0	Content	Scene_1	
38231	167	3	Toolbar	Scene_1	
38398	366	0	Top	Scene_1	
38764	316	0	Top	Scene_1	
39081	550	0	Top	Scene_1	
39630	350	0	Top	Scene_1	
39980	233	2	Graph	Scene_1	
39980	233	25	Condition_2	Scene_1	
40213	350	2	Graph	Scene_1	
40213	350	22	Var_1	Scene_1	
40563	316	2	Graph	Scene_1	
40563	316	7	Condition_0	Scene_1	
40879	600	2	Graph	Scene_1	
40879	600	22	Var_1	Scene_1	
41479	283	2	Graph	Scene_1	
41762	216	2	Graph	Scene_1	
41979	167	2	Graph	Scene_1	
41979	167	21	Var_0	Scene_1	
54471	166	0	Content	Scene_1	
55770	83	2	Graph	Scene_1	
55853	183	2	Graph	Scene_1	
55853	183	24	Condition_1	Scene_1	
56036	716	2	Graph	Scene_1	
56036	716	22	Var_1	Scene_1	
56752	150	2	Graph	Scene_1	
56902	167	2	Graph	Scene_1	
56902	167	23	Var_2	Scene_1	
57069	183	0	Top	Scene_1	
57252	300	0	Top	Scene_1	
57552	117	2	Graph	Scene_1	
57668	316	2	Graph	Scene_1	
57668	316	25	Condition_2	Scene_1	
58235	150	2	Graph	Scene_1	
58235	150	25	Condition_2	Scene_1	
58384	333	2	Graph	Scene_1	
58384	333	24	Condition_1	Scene_1	
58718	283	2	Graph	Scene_1	
58718	283	7	Condition_0	Scene_1	
59001	600	2	Graph	Scene_1	
59001	600	25	Condition_2	Scene_1	
59600	999	2	Graph	Scene_1	
59600	999	21	Var_0	Scene_1	
60600	116	2	Graph	Scene_1	
60600	116	25	Condition_2	Scene_1	
60716	133	2	Graph	Scene_1	
60849	550	2	Graph	Scene_1	
60849	550	23	Var_2	Scene_1	
61399	533	2	Graph	Scene_1	
61399	533	25	Condition_2	Scene_1	
61932	400	2	Graph	Scene_1	
61932	400	23	Var_2	Scene_1	
62548	100	2	Graph	Scene_1	
62648	216	2	Graph	Scene_1	
62648	216	25	Condition_2	Scene_1	
62865	1449	2	Graph	Scene_1	
62865	1449	21	Var_0	Scene_1	
64313	283	2	Graph	Scene_1	
64313	283	25	Condition_2	Scene_1	
64597	333	2	Graph	Scene_1	
64597	333	21	Var_0	Scene_1	
64930	167	0	Content	Scene_1	
65096	200	3	Toolbar	Scene_1	
65296	216	3	Toolbar	Scene_1	
65513	849	2	Graph	Scene_1	
65513	849	21	Var_0	Scene_1	
66362	566	2	Graph	Scene_1	
66928	250	2	Graph	Scene_1	
67178	616	2	Graph	Scene_1	
67794	1033	2	Graph	Scene_1	
68827	166	2	Graph	Scene_1	
68993	283	2	Graph	Scene_1	
69277	483	2	Graph	Scene_1	
69277	483	21	Var_0	Scene_1	
69760	216	2	Graph	Scene_1	
69976	316	2	Graph	Scene_1	
70293	316	2	Graph	Scene_1	
70609	117	2	Graph	Scene_1	
70726	383	2	Graph	Scene_1	
70726	383	21	Var_0	Scene_1	
71109	350	2	Graph	Scene_1	
71109	350	25	Condition_2	Scene_1	
71458	400	2	Graph	Scene_1	
71458	400	23	Var_2	Scene_1	
71858	266	2	Graph	Scene_1	
71858	266	25	Condition_2	Scene_1	
72125	966	2	Graph	Scene_1	
72125	966	21	Var_0	Scene_1	
73091	450	2	Graph	Scene_1	
73091	450	23	Var_2	Scene_1	
73657	133	2	Graph	Scene_1	
73790	183	2	Graph	Scene_1	
73790	183	21	Var_0	Scene_1	
73973	400	2	Graph	Scene_1	
73973	400	7	Condition_0	Scene_1	
74373	600	2	Graph	Scene_1	
74373	600	22	Var_1	Scene_1	
74973	167	2	Graph	Scene_1	
74973	167	7	Condition_0	Scene_1	
75139	533	2	Graph	Scene_1	
75139	533	21	Var_0	Scene_1	
75672	200	2	Graph	Scene_1	
75872	216	2	Graph	Scene_1	
75872	216	21	Var_0	Scene_1	
76089	167	0	Content	Scene_1	
76255	233	3	Toolbar	Scene_1	
76488	167	3	Toolbar	Scene_1	
76655	233	3	Toolbar	Scene_1	
76888	450	3	Toolbar	Scene_1	
77338	1266	0	Content	Scene_1	
78604	466	2	Graph	Scene_1	
79070	233	2	Graph	Scene_1	
79303	283	2	Graph	Scene_1	
79586	266	2	Graph	Scene_1	
79853	183	3	Toolbar	Scene_1	
80036	283	0	Content	Scene_1	
80319	516	2	Graph	Scene_1	
80836	283	2	Graph	Scene_1	
81119	450	2	Graph	Scene_1	
81119	450	25	Condition_2	Scene_1	
81568	400	2	Graph	Scene_1	
81968	167	3	Toolbar	Scene_1	
82135	183	3	Toolbar	Scene_1	
82318	200	2	Graph	Scene_1	
82518	333	2	Graph	Scene_1	
82518	333	7	Condition_0	Scene_1	
