System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 13
Recording date:	 11/03/2011
Recording time:	 2:00:09 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:55:52 AM

Participant:	 P62
Participant properties:

Glasses:	 none
221:	 Current
322:	 Not Taken
Hand:	 right
Previous Experience with the CSP Applet:	 None
Previous Experience with AISpace:	 None
Sex:	 m

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
2248	LeftMouseClick	1	689	638		
3418	LeftMouseClick	1	1006	178		
4826	LeftMouseClick	1	21	27		
5831	LeftMouseClick	1	42	71		
6877	LeftMouseClick	1	625	446		
18391	LeftMouseClick	1	562	442		
18642	LeftMouseClick	1	562	442		
25253	LeftMouseClick	1	598	633		
26306	LogData	0	Load 1st Problem			
31643	LeftMouseClick	1	52	72		
37820	LeftMouseClick	1	801	332		
38162	LeftMouseClick	1	801	332		
45699	LeftMouseClick	1	575	395		
45942	LeftMouseClick	1	575	395		
49524	LeftMouseClick	1	433	550		
52637	LogData	0	Distracted Start	 		
56255	LogData	0	Distracted End	 		
71314	LeftMouseClick	1	606	691		
77538	LeftMouseClick	1	763	683		
79026	LeftMouseClick	1	854	501		
87984	LeftMouseClick	1	624	390		
90618	LeftMouseClick	1	787	635		
92228	LeftMouseClick	1	521	419		
92382	LeftMouseClick	1	521	419		
94575	LeftMouseClick	1	585	425		
96333	LeftMouseClick	1	567	401		
97509	LeftMouseClick	1	24	66		
99320	LeftMouseClick	1	575	663		
99467	LeftMouseClick	1	575	663		
100589	LeftMouseClick	1	475	593		
100893	LeftMouseClick	1	474	592		
102142	LeftMouseClick	1	358	71		
104655	LeftMouseClick	1	49	64		
107295	LeftMouseClick	1	42	60		
109859	LeftMouseClick	1	42	60		
110970	LeftMouseClick	1	42	60		
113323	LeftMouseClick	1	412	541		
115152	LeftMouseClick	1	341	463		
117619	LeftMouseClick	1	583	498		
120091	LeftMouseClick	1	609	566		
123483	LeftMouseClick	1	958	297		
124544	LeftMouseClick	1	611	494		
124877	LeftMouseClick	1	653	497		
125119	LeftMouseClick	1	696	497		
125665	LeftMouseClick	1	613	560		
131729	LeftMouseClick	1	718	769		
132748	LeftMouseClick	1	577	494		
133332	LeftMouseClick	1	591	572		
140545	LeftMouseClick	1	947	308		
142840	LeftMouseClick	1	659	568		
145542	LeftMouseClick	1	46	72		
147419	LeftMouseClick	1	784	338		
149245	LeftMouseClick	1	548	412		
149456	LeftMouseClick	1	548	412		
151590	LeftMouseClick	1	156	78		
159806	LeftMouseClick	1	301	77		
161537	LeftMouseClick	1	301	77		
162452	LeftMouseClick	1	301	77		
163711	LeftMouseClick	1	301	77		
168787	LeftMouseClick	1	353	68		
169881	LeftMouseClick	1	964	290		
171213	LeftMouseClick	1	692	496		
171599	LeftMouseClick	1	692	496		
172035	LeftMouseClick	1	649	496		
172363	LeftMouseClick	1	606	496		
172682	LeftMouseClick	1	590	493		
173522	LeftMouseClick	1	609	570		
183610	LeftMouseClick	1	325	471		
183860	LeftMouseClick	1	325	471		
184759	LeftMouseClick	1	579	503		
185222	LeftMouseClick	1	603	557		
185499	LeftMouseClick	1	600	571		
188806	LeftMouseClick	1	329	481		
190277	LeftMouseClick	1	611	564		
191699	LeftMouseClick	1	298	55		
192325	LeftMouseClick	1	298	55		
193224	LeftMouseClick	1	313	453		
193934	LeftMouseClick	1	680	498		
194473	LeftMouseClick	1	598	566		
196852	LeftMouseClick	1	716	788		
197693	LeftMouseClick	1	691	491		
198324	LeftMouseClick	1	606	574		
208392	LeftMouseClick	1	155	81		
221092	LeftMouseClick	1	378	91		
222918	LeftMouseClick	1	147	78		
229718	LogData	0	Distracted Start	 		
231336	LeftMouseClick	1	12	32		
233317	LeftMouseClick	1	79	66		
234575	LeftMouseClick	1	625	459		
236669	LeftMouseClick	1	614	479		
237076	LeftMouseClick	1	614	479		
237522	LeftMouseClick	1	614	479		
238778	LeftMouseClick	1	612	630		
239165	LogData	0	Distracted End	 		
239366	LogData	0	Load 2nd Problem			
244826	LeftMouseClick	1	513	345		
247330	LeftMouseClick	1	399	411		
267983	LeftMouseClick	1	418	791		
269033	LeftMouseClick	1	619	497		
270218	LeftMouseClick	1	644	498		
271769	LeftMouseClick	1	674	497		
272281	LeftMouseClick	1	685	496		
272765	LeftMouseClick	1	605	566		
273825	LeftMouseClick	1	360	452		
274592	LeftMouseClick	1	572	502		
274950	LeftMouseClick	1	590	582		
276514	LeftMouseClick	1	373	552		
277573	LeftMouseClick	1	397	673		
283476	LeftMouseClick	1	669	775		
284320	LeftMouseClick	1	555	780		
285997	LeftMouseClick	1	552	784		
293765	LeftMouseClick	1	830	693		
300469	LeftMouseClick	1	287	68		
316823	LeftMouseClick	1	798	783		
317692	LeftMouseClick	1	630	496		
318173	LeftMouseClick	1	649	497		
318443	LeftMouseClick	1	706	501		
319329	LeftMouseClick	1	625	490		
321439	LeftMouseClick	1	609	558		
325115	LeftMouseClick	1	930	479		
325977	LeftMouseClick	1	625	500		
326394	LeftMouseClick	1	558	504		
326628	LeftMouseClick	1	570	495		
327229	LeftMouseClick	1	621	569		
328793	LeftMouseClick	1	690	786		
329752	LeftMouseClick	1	839	682		
330833	LeftMouseClick	1	888	567		
331823	LeftMouseClick	1	830	693		
333061	LeftMouseClick	1	834	673		
333288	LeftMouseClick	1	838	673		
335353	LeftMouseClick	1	511	779		
336767	LeftMouseClick	1	396	683		
344104	LeftMouseClick	1	735	780		
357654	LeftMouseClick	1	730	367		
368710	LeftMouseClick	1	418	419		
369015	LeftMouseClick	1	419	413		
370008	LeftMouseClick	1	539	347		
370551	LeftMouseClick	1	539	339		
370993	LeftMouseClick	1	539	333		
374631	LeftMouseClick	1	358	497		
379791	LeftMouseClick	1	597	683		
380657	LeftMouseClick	1	782	571		
381511	LeftMouseClick	1	752	591		
382950	LeftMouseClick	1	518	484		
383194	LeftMouseClick	1	522	482		
383464	LeftMouseClick	1	524	484		
384331	LeftMouseClick	1	481	595		
384662	LeftMouseClick	1	486	600		
386842	LeftMouseClick	1	727	359		
387873	LeftMouseClick	1	703	348		
388848	LeftMouseClick	1	803	409		
390499	LeftMouseClick	1	798	549		
391564	LeftMouseClick	1	830	689		
393001	LeftMouseClick	1	704	771		
393281	LeftMouseClick	1	696	774		
395388	LeftMouseClick	1	562	696		
