System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 16-
Recording date:	 16/03/2011
Recording time:	 2:09:50 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:57:20 AM

Participant:	 P65
Participant properties:

Glasses:	 none
Previous Experience with the CSP Applet:	 None
322:	 Not Taken
Hand:	 right
221:	 Complete
Previous Experience with AISpace:	 None
Sex:	 m

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
2998	LeftMouseClick	1	679	637		
4189	LeftMouseClick	1	840	175		
4355	LeftMouseClick	1	840	175		
5782	LeftMouseClick	1	20	32		
6779	LeftMouseClick	1	72	72		
26658	KeyPress	4	40	0	Down	
27387	KeyPress	4	13	0	Return	
30329	LeftMouseClick	1	587	639		
34371	LogData	0	Load 1st Problem			
49116	LeftMouseClick	1	567	651		
49709	LeftMouseClick	1	559	655		
49919	LeftMouseClick	1	559	655		
57087	LeftMouseClick	1	777	641		
57277	LeftMouseClick	1	777	641		
58589	LeftMouseClick	1	859	468		
63307	LeftMouseClick	1	428	550		
64743	LeftMouseClick	1	504	430		
66806	LeftMouseClick	1	730	366		
67252	LeftMouseClick	1	733	358		
68541	LogData	0	Distracted Start	 		
69715	LeftMouseClick	1	993	458		
74571	LogData	0	Distracted End	 		
79614	LeftMouseClick	1	343	464		
81628	LeftMouseClick	1	667	570		
82104	LeftMouseClick	1	689	531		
82588	LeftMouseClick	1	676	530		
83619	LeftMouseClick	1	250	348		
91857	LogData	0	Distracted Start	 		
116379	LogData	0	Distracted End	 		
116580	LogData	0	Writing Start	 		
304917	LogData	0	Writing End	 		
305118	LogData	0	Distracted Start	 		
308555	LeftMouseClick	1	8	30		
310756	LeftMouseClick	1	25	66		
313534	LeftMouseClick	1	618	482		
313757	LeftMouseClick	1	618	482		
315945	LeftMouseClick	1	602	631		
316374	LogData	0	Distracted End	 		
316776	LogData	0	Load 2nd Problem			
318209	LeftMouseClick	1	632	440		
323610	LogData	0	Writing Start	 		
377896	LeftMouseClick	1	522	526		
393153	LeftMouseClick	1	770	547		
408957	LeftMouseClick	1	538	528		
436927	LeftMouseClick	1	770	553		
453054	LogData	0	Writing End	 		
462099	LogData	0	Tracking Error Start			
462257	LeftMouseClick	1	934	465		
468063	LeftMouseClick	1	654	495		
469065	LeftMouseClick	1	618	496		
469760	LeftMouseClick	1	583	497		
470927	LeftMouseClick	1	595	572		
472778	LeftMouseClick	1	898	560		
472973	LeftMouseClick	1	898	560		
474499	LeftMouseClick	1	844	668		
474690	LeftMouseClick	1	844	668		
480303	LeftMouseClick	1	867	523		
480477	LeftMouseClick	1	867	523		
481830	LeftMouseClick	1	600	679		
482004	LeftMouseClick	1	600	679		
484421	LeftMouseClick	1	505	782		
484599	LeftMouseClick	1	505	782		
485375	LeftMouseClick	1	685	784		
485549	LeftMouseClick	1	685	784		
492021	LeftMouseClick	1	926	475		
493640	LeftMouseClick	1	629	493		
494148	LeftMouseClick	1	672	503		
499481	LeftMouseClick	1	608	566		
502177	LeftMouseClick	1	820	406		
502367	LeftMouseClick	1	820	406		
503564	LeftMouseClick	1	701	345		
503822	LeftMouseClick	1	701	345		
520664	LeftMouseClick	1	637	650		
520846	LeftMouseClick	1	637	650		
526122	LeftMouseClick	1	836	679		
526321	LeftMouseClick	1	836	679		
529481	LeftMouseClick	1	503	777		
529696	LeftMouseClick	1	503	777		
539042	LeftMouseClick	1	420	401		
539208	LeftMouseClick	1	420	401		
540117	LeftMouseClick	1	534	339		
540491	LeftMouseClick	1	534	339		
542901	LogData	0	Tracking Errpr End			
547642	LeftMouseClick	1	405	788		
548428	LeftMouseClick	1	629	490		
548936	LeftMouseClick	1	651	493		
549418	LeftMouseClick	1	684	500		
550608	LeftMouseClick	1	600	565		
552164	LeftMouseClick	1	363	444		
553662	LeftMouseClick	1	656	497		
554186	LeftMouseClick	1	623	497		
554973	LeftMouseClick	1	588	501		
555565	LeftMouseClick	1	607	568		
556723	LeftMouseClick	1	360	512		
556910	LeftMouseClick	1	360	512		
557663	LeftMouseClick	1	397	660		
557853	LeftMouseClick	1	397	660		
559040	LeftMouseClick	1	541	341		
559238	LeftMouseClick	1	541	341		
561531	LeftMouseClick	1	810	554		
561709	LeftMouseClick	1	810	554		
563200	LeftMouseClick	1	709	776		
563382	LeftMouseClick	1	709	776		
566016	LogData	0	Distracted Start	 		
568629	LogData	0	Distracted End	 		
596367	LogData	0	Tracking Error Start			
597391	LeftMouseClick	1	434	781		
598434	LeftMouseClick	1	605	491		
600780	LeftMouseClick	1	599	564		
601668	LeftMouseClick	1	489	599		
