Data properties:

Recording date: 16/03/2011
Recording time: 14:09:50:000 (corresponds to time 0)
Study: Interacting with the CSP applet
Subject: P65
Recording: Rec 16-
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
1	15	167	635	497	
2	181	300	561	491	
3	598	166	98	405	
4	764	150	79	270	
5	914	250	835	793	
6	1164	250	604	403	
7	1414	200	575	455	
8	1614	416	544	427	
9	2030	133	631	419	
10	2163	216	608	313	
11	2380	383	423	293	
12	2763	266	626	572	
13	3029	316	657	685	
14	3346	166	591	341	
15	3662	183	536	269	
16	3846	400	702	262	
17	4395	400	569	271	
18	4795	233	321	168	
19	5028	200	114	116	
20	5228	316	55	84	
21	5694	600	37	68	
22	6410	266	58	87	
23	6677	433	102	96	
24	7110	200	618	488	
25	7310	183	561	460	
26	7493	250	577	427	
27	8093	100	1671	120	
28	8326	83	1766	-46	
29	8609	83	365	227	
30	8692	216	171	128	
31	8909	550	61	116	
32	9458	566	601	445	
33	10025	233	553	484	
34	10258	483	581	188	
35	10741	366	55	123	
36	11107	216	155	916	
37	11324	216	201	1014	
38	11674	183	526	417	
39	11857	200	567	439	
40	12057	150	1195	970	
41	12207	416	1201	1005	
42	12773	183	590	418	
43	12956	283	537	452	
44	13373	166	140	78	
45	13539	350	68	97	
46	13889	266	528	477	
47	14155	416	591	453	
48	14572	283	543	511	
49	15005	150	570	559	
50	15155	416	524	568	
51	15571	366	570	556	
52	15937	616	552	446	
53	16554	100	1306	1003	
54	25697	33	599	416	
55	25897	183	565	445	
56	26697	167	602	393	
57	26863	283	597	452	
58	27146	150	633	639	
59	27296	400	602	621	
60	27696	233	576	419	
61	27929	333	588	147	
62	28262	283	621	516	
63	28546	233	588	402	
64	34242	83	51	433	
65	34325	166	360	511	
66	34491	200	357	473	
67	34691	333	514	603	
68	35025	466	813	532	
69	35491	100	684	417	
70	35591	250	709	780	
71	35841	350	827	547	
72	36190	350	520	627	
73	36540	400	328	466	
74	36940	649	630	388	
75	37589	350	956	291	
76	38089	83	369	442	
77	38172	200	332	471	
78	38372	300	580	140	
79	38672	166	659	143	
80	38839	316	635	392	
81	39305	200	595	179	
82	39505	167	564	148	
83	39671	483	59	71	
84	40154	200	237	285	
85	40354	216	359	456	
86	40571	250	146	860	
87	40821	233	60	870	
88	41054	466	627	849	
89	41670	150	565	304	
90	41820	383	69	94	
91	42203	100	32	130	
92	44285	250	297	455	
93	44535	117	411	431	
94	44651	233	559	153	
95	44885	333	661	158	
96	45218	600	587	163	
97	45817	233	660	161	
98	46167	366	644	191	
99	46533	383	630	423	
100	46917	266	530	650	
101	47183	416	695	758	
102	47599	216	1543	1177	
103	48016	117	465	341	
104	48132	100	497	487	
105	74765	150	424	328	
106	74914	416	643	143	
107	75331	333	631	370	
108	75664	167	484	768	
109	75831	283	116	861	
110	76114	166	584	208	
111	76280	233	622	150	
112	76513	500	667	136	
113	77013	217	595	140	
114	77230	250	651	400	
115	77479	466	599	134	
116	85374	183	109	149	
117	85557	416	128	114	
118	85974	450	35	138	
119	86424	333	94	137	
120	86757	167	411	105	
121	86923	200	587	142	
122	87123	400	368	87	
123	87523	266	282	89	
124	87789	433	615	152	
125	88222	316	676	134	
