System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 22
Recording date:	 08/06/2011
Recording time:	 12:16:25 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:58:03 AM

Participant:	 P68
Participant properties:

Glasses:	 glasses
221:	 Current
322:	 Not Taken
Hand:	 right
Previous Experience with the CSP Applet:	 None
Previous Experience with AISpace:	 None
Sex:	 m

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
5643	LeftMouseClick	1	594	449		
6627	LeftMouseClick	1	600	638		
7455	LogData	0	Load 1st Problem			
10286	LeftMouseClick	1	1265	541		
14584	LeftMouseClick	1	28	69		
16337	LeftMouseClick	1	28	69		
17192	LeftMouseClick	1	28	69		
18370	LeftMouseClick	1	28	69		
19296	LeftMouseClick	1	1275	424		
24277	LeftMouseClick	1	33	63		
24854	LeftMouseClick	1	33	63		
25396	LeftMouseClick	1	33	63		
25875	LeftMouseClick	1	33	63		
26448	LeftMouseClick	1	33	63		
26979	LeftMouseClick	1	33	63		
27445	LeftMouseClick	1	33	63		
27931	LeftMouseClick	1	33	63		
28474	LeftMouseClick	1	33	63		
29036	LeftMouseClick	1	33	63		
32060	LeftMouseClick	1	1266	535		
35619	LeftMouseClick	1	329	449		
37128	LeftMouseClick	1	678	532		
38232	LeftMouseClick	1	596	565		
39735	LeftMouseClick	1	55	65		
40225	LeftMouseClick	1	54	65		
40543	LeftMouseClick	1	54	65		
40885	LeftMouseClick	1	54	65		
41183	LeftMouseClick	1	54	65		
41638	LeftMouseClick	1	54	65		
41928	LeftMouseClick	1	54	65		
42186	LeftMouseClick	1	54	65		
42504	LeftMouseClick	1	54	65		
42826	LeftMouseClick	1	54	65		
43137	LeftMouseClick	1	54	65		
43435	LeftMouseClick	1	54	65		
43793	LeftMouseClick	1	54	65		
45405	LeftMouseClick	1	360	458		
45881	LeftMouseClick	1	329	449		
46802	LeftMouseClick	1	713	538		
47393	LeftMouseClick	1	601	568		
48353	LeftMouseClick	1	33	74		
48651	LeftMouseClick	1	33	74		
48873	LeftMouseClick	1	33	74		
49071	LeftMouseClick	1	33	74		
49270	LeftMouseClick	1	33	74		
49452	LeftMouseClick	1	33	74		
49630	LeftMouseClick	1	33	74		
49808	LeftMouseClick	1	33	74		
50010	LeftMouseClick	1	33	74		
50213	LeftMouseClick	1	33	74		
50395	LeftMouseClick	1	33	74		
50593	LeftMouseClick	1	33	74		
50803	LeftMouseClick	1	33	74		
51065	LeftMouseClick	1	33	74		
51340	LeftMouseClick	1	33	74		
51610	LeftMouseClick	1	33	74		
51992	LeftMouseClick	1	33	74		
52214	LeftMouseClick	1	33	74		
52536	LeftMouseClick	1	33	74		
53159	LeftMouseClick	1	33	74		
56870	LeftMouseClick	1	290	71		
58208	LeftMouseClick	1	325	463		
59881	LeftMouseClick	1	671	580		
60727	LeftMouseClick	1	51	53		
60925	LeftMouseClick	1	51	53		
61115	LeftMouseClick	1	51	53		
61309	LeftMouseClick	1	51	53		
61491	LeftMouseClick	1	51	53		
61666	LeftMouseClick	1	51	53		
61844	LeftMouseClick	1	51	53		
62030	LeftMouseClick	1	51	53		
62217	LeftMouseClick	1	51	53		
62406	LeftMouseClick	1	51	53		
62605	LeftMouseClick	1	51	53		
62803	LeftMouseClick	1	51	53		
62993	LeftMouseClick	1	51	53		
63351	LeftMouseClick	1	51	53		
63589	LeftMouseClick	1	51	53		
63818	LeftMouseClick	1	51	53		
65391	LeftMouseClick	1	337	465		
66314	LeftMouseClick	1	328	445		
66564	LeftMouseClick	1	328	445		
68484	LeftMouseClick	1	652	500		
69529	LeftMouseClick	1	596	569		
70424	LeftMouseClick	1	56	71		
70583	LeftMouseClick	1	56	71		
70757	LeftMouseClick	1	56	71		
70935	LeftMouseClick	1	56	71		
71094	LeftMouseClick	1	56	71		
71259	LeftMouseClick	1	56	71		
71437	LeftMouseClick	1	56	71		
71615	LeftMouseClick	1	56	71		
71850	LeftMouseClick	1	56	71		
72076	LeftMouseClick	1	56	71		
72474	LeftMouseClick	1	56	71		
72644	LeftMouseClick	1	56	71		
72838	LeftMouseClick	1	56	71		
73037	LeftMouseClick	1	56	71		
73215	LeftMouseClick	1	56	71		
73405	LeftMouseClick	1	56	71		
73591	LeftMouseClick	1	56	71		
73793	LeftMouseClick	1	56	71		
74040	LeftMouseClick	1	56	71		
74246	LeftMouseClick	1	56	71		
74524	LeftMouseClick	1	56	71		
76117	LeftMouseClick	1	287	78		
77584	LeftMouseClick	1	41	60		
77754	LeftMouseClick	1	41	60		
77924	LeftMouseClick	1	41	60		
78107	LeftMouseClick	1	41	60		
78293	LeftMouseClick	1	41	60		
78471	LeftMouseClick	1	41	60		
78645	LeftMouseClick	1	41	60		
78835	LeftMouseClick	1	41	60		
79021	LeftMouseClick	1	41	60		
79192	LeftMouseClick	1	41	60		
79390	LeftMouseClick	1	41	60		
79564	LeftMouseClick	1	41	60		
79742	LeftMouseClick	1	41	60		
79937	LeftMouseClick	1	41	60		
80131	LeftMouseClick	1	41	60		
