System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 23
Recording date:	 10/06/2011
Recording time:	 9:14:11 AM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:58:04 AM

Participant:	 P69
Participant properties:

Glasses:	 none
221:	 Current
322:	 Not Taken
Hand:	 right
Sex:	 f
Previous Experience with the CSP Applet:	 None
Previous Experience with AISpace:	 None

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
5382	LeftMouseClick	1	595	445		
9546	LeftMouseClick	1	603	639		
10390	LogData	0	Load 1st Problem			
27649	LeftMouseClick	1	344	472		
47962	LeftMouseClick	1	580	497		
49152	LeftMouseClick	1	614	577		
51490	LeftMouseClick	1	722	773		
54584	LeftMouseClick	1	679	571		
57635	LeftMouseClick	1	596	672		
61570	LeftMouseClick	1	860	472		
71685	LeftMouseClick	1	752	693		
73249	LeftMouseClick	1	460	574		
74022	LeftMouseClick	1	482	434		
77366	LeftMouseClick	1	166	91		
101174	RightMouseClick	2	236	416		
103382	LeftMouseClick	1	302	505		
126417	LogData	0	Writing Start	 		
145512	LogData	0	Writing End	 		
145713	LogData	0	Distracted Start	 		
152600	LeftMouseClick	1	16	26		
155280	LeftMouseClick	1	55	78		
156872	LeftMouseClick	1	570	482		
164311	LeftMouseClick	1	656	374		
182502	LeftMouseClick	1	1006	761		
182898	LogData	0	Distracted End	 		
183099	LogData	0	Load 2nd Problem			
189872	LeftMouseClick	1	837	706		
190856	LeftMouseClick	1	885	572		
197144	LeftMouseClick	1	895	565		
204508	LeftMouseClick	1	719	354		
205567	LeftMouseClick	1	828	416		
208874	LeftMouseClick	1	824	417		
210621	LeftMouseClick	1	894	559		
211607	LeftMouseClick	1	841	683		
218229	LeftMouseClick	1	545	448		
219317	LeftMouseClick	1	485	623		
222457	LeftMouseClick	1	363	534		
223742	LeftMouseClick	1	405	707		
226790	LeftMouseClick	1	410	711		
231169	LeftMouseClick	1	538	473		
242727	LeftMouseClick	1	559	777		
243349	LeftMouseClick	1	668	774		
246235	LeftMouseClick	1	102	86		
259631	LeftMouseClick	1	798	774		
264942	LeftMouseClick	1	619	496		
267841	LeftMouseClick	1	616	572		
270648	LeftMouseClick	1	887	581		
273116	LeftMouseClick	1	703	351		
274603	LeftMouseClick	1	620	662		
275539	LeftMouseClick	1	538	781		
276563	LeftMouseClick	1	461	666		
277943	LeftMouseClick	1	537	712		
279608	LeftMouseClick	1	463	673		
281008	LeftMouseClick	1	748	587		
283269	LeftMouseClick	1	539	468		
284200	LeftMouseClick	1	409	413		
285268	LeftMouseClick	1	365	532		
287032	LeftMouseClick	1	402	408		
289478	LeftMouseClick	1	400	682		
292476	LeftMouseClick	1	726	785		
297407	LogData	0	Writing Start	 		
331376	LogData	0	Writing End	 		
332841	LeftMouseClick	1	804	790		
350732	LeftMouseClick	1	628	446		
369396	LeftMouseClick	1	1117	735		
372522	LeftMouseClick	1	354	468		
373967	LeftMouseClick	1	610	500		
375353	LeftMouseClick	1	613	567		
377424	LeftMouseClick	1	136	76		
387229	LeftMouseClick	1	344	443		
391848	LeftMouseClick	1	747	442		
392881	RightMouseClick	2	244	411		
395574	LeftMouseClick	1	344	508		
397646	LeftMouseClick	1	121	56		
405172	RightMouseClick	2	168	422		
406781	LeftMouseClick	1	240	520		
419110	LeftMouseClick	1	113	68		
450704	LeftMouseClick	1	596	301		
456529	LeftMouseClick	1	649	498		
457417	LeftMouseClick	1	608	565		
460004	LeftMouseClick	1	132	69		
477460	RightMouseClick	2	208	503		
484465	LeftMouseClick	1	260	595		
489041	LeftMouseClick	1	1271	905		
494059	LeftMouseClick	1	119	76		
506378	LeftMouseClick	1	244	65		
508142	RightMouseClick	2	206	343		
527116	LeftMouseClick	1	176	428		
531170	LogData	0	End	 		
563530	LeftMouseClick	1	1267	2		
564203	ScreenRecStopped	16384	0	0		
