System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 24
Recording date:	 13/06/2011
Recording time:	 6:10:51 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:58:06 AM

Participant:	 P70
Participant properties:

Glasses:	 none
221:	 Current
322:	 Not Taken
Hand:	 right
Sex:	 f
Previous Experience with the CSP Applet:	 None
Previous Experience with AISpace:	 None

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
12182	LeftMouseClick	1	603	441		
13665	LeftMouseClick	1	609	645		
14223	LogData	0	Load 1st Problem			
18603	LeftMouseClick	1	792	627		
21505	LeftMouseClick	1	857	485		
24052	LeftMouseClick	1	768	348		
27268	LeftMouseClick	1	548	402		
30750	LeftMouseClick	1	424	557		
33407	LeftMouseClick	1	575	671		
40833	LeftMouseClick	1	147	89		
47956	LeftMouseClick	1	951	298		
51864	LeftMouseClick	1	582	532		
52389	LeftMouseClick	1	597	560		
57482	LeftMouseClick	1	904	378		
59274	LeftMouseClick	1	909	375		
60340	LeftMouseClick	1	821	328		
61930	LeftMouseClick	1	786	344		
63768	LeftMouseClick	1	808	583		
66029	LeftMouseClick	1	809	585		
67128	LeftMouseClick	1	606	696		
67946	LeftMouseClick	1	446	569		
70476	LeftMouseClick	1	496	425		
72462	LeftMouseClick	1	764	343		
78627	LeftMouseClick	1	278	69		
80199	LeftMouseClick	1	726	356		
81365	LeftMouseClick	1	836	325		
83095	LeftMouseClick	1	805	600		
85598	LeftMouseClick	1	464	582		
87721	LeftMouseClick	1	507	419		
91938	LeftMouseClick	1	948	310		
95248	LeftMouseClick	1	600	528		
95782	LeftMouseClick	1	608	561		
97734	LeftMouseClick	1	830	330		
99500	LeftMouseClick	1	582	397		
101746	LeftMouseClick	1	605	695		
103139	LeftMouseClick	1	784	644		
104381	LeftMouseClick	1	783	641		
