System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 25
Recording date:	 15/06/2011
Recording time:	 9:23:30 AM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:58:08 AM

Participant:	 P71
Participant properties:

Glasses:	 glasses
221:	 Current
322:	 Not Taken
Hand:	 right
Previous Experience with the CSP Applet:	 None
Previous Experience with AISpace:	 None
Sex:	 m

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
6540	LeftMouseClick	1	599	447		
27489	LeftMouseClick	1	636	442		
27715	LeftMouseClick	1	636	442		
29234	LeftMouseClick	1	601	623		
29712	LeftMouseClick	1	594	637		
29899	LeftMouseClick	1	594	637		
30971	LeftMouseClick	1	597	594		
31521	LeftMouseClick	1	597	594		
31683	LeftMouseClick	1	597	594		
58275	LogData	0	Load 1st Problem			
66464	LeftMouseClick	1	616	397		
68109	LeftMouseClick	1	785	638		
69075	LeftMouseClick	1	812	519		
69365	LeftMouseClick	1	831	532		
70512	LeftMouseClick	1	990	798		
72768	LeftMouseClick	1	544	276		
74032	LeftMouseClick	1	488	423		
76571	LeftMouseClick	1	727	365		
81419	LeftMouseClick	1	549	414		
82626	LeftMouseClick	1	742	355		
82868	LeftMouseClick	1	742	355		
83146	RightMouseClick	2	742	355		
85152	LeftMouseClick	1	705	396		
88753	LeftMouseClick	1	436	556		
99634	LeftMouseClick	1	623	705		
102531	LeftMouseClick	1	782	636		
103322	LeftMouseClick	1	857	480		
104620	LeftMouseClick	1	872	464		
105254	LogData	0	Distracted Start	 		
108068	LogData	0	Distracted End	 		
109475	LogData	0	Distracted Start	 		
114098	LogData	0	Distracted End	 		
117216	LeftMouseClick	1	50	53		
121312	LeftMouseClick	1	345	469		
125820	LeftMouseClick	1	694	535		
127007	LeftMouseClick	1	597	570		
128889	LeftMouseClick	1	531	413		
130524	LeftMouseClick	1	472	576		
133882	LeftMouseClick	1	339	69		
163339	LeftMouseClick	1	309	469		
164255	LeftMouseClick	1	654	530		
164533	LeftMouseClick	1	599	562		
165194	LeftMouseClick	1	718	753		
166206	LeftMouseClick	1	709	767		
167017	LeftMouseClick	1	697	543		
167411	LeftMouseClick	1	619	558		
169166	LeftMouseClick	1	445	572		
169536	LeftMouseClick	1	661	736		
170871	LeftMouseClick	1	571	668		
179999	LeftMouseClick	1	354	95		
180494	LeftMouseClick	1	220	526		
180811	LeftMouseClick	1	320	486		
181642	LeftMouseClick	1	567	498		
182307	LeftMouseClick	1	580	500		
