System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 26
Recording date:	 15/06/2011
Recording time:	 10:13:34 AM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:58:13 AM

Participant:	 P72
Participant properties:

Glasses:	 none
221:	 Current
322:	 Not Taken
Hand:	 right
Previous Experience with the CSP Applet:	 None
Previous Experience with AISpace:	 None
Sex:	 m

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
3880	LeftMouseClick	1	587	438		
7937	LeftMouseClick	1	603	639		
8780	LogData	0	Load 1st Problem			
12700	LogData	0	Load 1st Problem			
17012	LeftMouseClick	1	61	62		
19114	LeftMouseClick	1	61	62		
19144	LeftMouseClick	1	61	62		
20475	LeftMouseClick	1	61	62		
21429	LeftMouseClick	1	61	62		
22864	LeftMouseClick	1	61	62		
23518	LeftMouseClick	1	61	62		
24228	LeftMouseClick	1	61	62		
25319	LeftMouseClick	1	61	62		
26557	LeftMouseClick	1	61	62		
27759	LeftMouseClick	1	61	62		
28358	LeftMouseClick	1	61	62		
30648	LeftMouseClick	1	61	62		
32521	LeftMouseClick	1	345	456		
35378	LeftMouseClick	1	669	533		
36949	LeftMouseClick	1	654	539		
38739	LeftMouseClick	1	603	570		
41538	LeftMouseClick	1	322	459		
43320	LeftMouseClick	1	613	497		
44459	LeftMouseClick	1	605	566		
47480	LeftMouseClick	1	62	78		
48482	LeftMouseClick	1	62	78		
50264	LeftMouseClick	1	62	78		
55311	LeftMouseClick	1	62	78		
58418	LeftMouseClick	1	62	78		
60121	LeftMouseClick	1	62	78		
64019	LeftMouseClick	1	62	78		
64630	LeftMouseClick	1	62	78		
65428	LeftMouseClick	1	62	78		
68523	LeftMouseClick	1	62	78		
69651	LeftMouseClick	1	300	74		
76425	LeftMouseClick	1	30	65		
78243	LeftMouseClick	1	30	65		
79082	LeftMouseClick	1	30	65		
79568	LeftMouseClick	1	30	65		
81446	LeftMouseClick	1	30	65		
82205	LeftMouseClick	1	30	65		
83003	LeftMouseClick	1	30	65		
84061	LeftMouseClick	1	30	65		
84620	LeftMouseClick	1	30	65		
85218	LeftMouseClick	1	30	65		
85968	LeftMouseClick	1	30	65		
87683	LeftMouseClick	1	30	65		
89545	LeftMouseClick	1	30	65		
94424	LeftMouseClick	1	279	61		
100898	LeftMouseClick	1	331	471		
102063	LeftMouseClick	1	626	499		
103030	LeftMouseClick	1	599	572		
107088	LeftMouseClick	1	98	69		
113044	LeftMouseClick	1	248	71		
114672	LeftMouseClick	1	299	62		
120606	LeftMouseClick	1	123	66		
127471	LeftMouseClick	1	222	57		
135432	LogData	0	Distracted Start	 		
150507	LogData	0	Distracted End	 		
153568	LeftMouseClick	1	331	483		
154779	LeftMouseClick	1	628	541		
156830	LeftMouseClick	1	374	87		
158664	LeftMouseClick	1	325	470		
160239	LeftMouseClick	1	656	532		
161085	LeftMouseClick	1	612	570		
162448	LeftMouseClick	1	119	76		
174537	LeftMouseClick	1	317	449		
175893	LeftMouseClick	1	643	563		
176757	LeftMouseClick	1	367	66		
177538	LeftMouseClick	1	740	759		
178946	LeftMouseClick	1	590	500		
179417	LeftMouseClick	1	593	567		
181384	LeftMouseClick	1	111	65		
193172	LeftMouseClick	1	213	66		
194233	LeftMouseClick	1	376	59		
194325	LogData	0	Distracted Start	 		
217183	LeftMouseClick	1	353	441		
217490	LeftMouseClick	1	348	456		
220797	LeftMouseClick	1	700	571		
245984	LeftMouseClick	1	12	23		
248303	LeftMouseClick	1	35	69		
250615	LeftMouseClick	1	629	480		
250749	LeftMouseClick	1	629	480		
251633	LeftMouseClick	1	616	640		
252012	LogData	0	Distracted End	 		
252213	LogData	0	Load 2nd Problem			
255389	LeftMouseClick	1	182	83		
283238	LeftMouseClick	1	613	286		
284218	LeftMouseClick	1	618	502		
284830	LeftMouseClick	1	601	573		
290221	LeftMouseClick	1	58	70		
290963	LeftMouseClick	1	58	70		
292438	LeftMouseClick	1	58	70		
295612	LeftMouseClick	1	58	70		
296874	LeftMouseClick	1	58	70		
300268	LeftMouseClick	1	58	70		
309475	LeftMouseClick	1	58	70		
310665	LeftMouseClick	1	58	70		
316892	LeftMouseClick	1	107	75		
333807	LeftMouseClick	1	349	468		
335011	LeftMouseClick	1	617	500		
335622	LeftMouseClick	1	604	568		
337439	LeftMouseClick	1	152	86		
340708	LogData	0	Writing Start	 		
358597	LogData	0	Writing End	 		
359278	LeftMouseClick	1	314	82		
363740	LeftMouseClick	1	108	77		
368044	LogData	0	Writing Start	 		
374878	LogData	0	Writing End	 		
375227	LeftMouseClick	1	281	68		
382284	LeftMouseClick	1	121	87		
404479	LeftMouseClick	1	231	72		
