System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 32
Recording date:	 22/06/2011
Recording time:	 10:22:24 AM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:59:42 AM

Participant:	 P77
Participant properties:

Glasses:	 none
Previous Experience with the CSP Applet:	 None
322:	 Not Taken
Hand:	 right
221:	 Complete
Previous Experience with AISpace:	 None
Sex:	 m

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
4852	LeftMouseClick	1	597	448		
5765	LeftMouseClick	1	593	641		
6810	LogData	0	Load 1st Problem			
15125	LeftMouseClick	1	511	418		
41744	LeftMouseClick	1	127	59		
61638	LogData	0	Distracted Start	 		
64050	LogData	0	Distracted End	 		
89206	RightMouseClick	2	335	465		
90311	LeftMouseClick	1	335	465		
90451	LeftMouseClick	1	335	465		
92014	LeftMouseClick	1	666	538		
95027	LeftMouseClick	1	604	568		
97983	LeftMouseClick	1	139	76		
112604	LeftMouseClick	1	360	82		
120177	LeftMouseClick	1	145	74		
128081	LeftMouseClick	1	341	459		
128208	LeftMouseClick	1	341	459		
129719	LeftMouseClick	1	582	496		
130630	LeftMouseClick	1	654	496		
131273	LeftMouseClick	1	701	494		
132521	LeftMouseClick	1	597	566		
135283	LeftMouseClick	1	134	69		
180611	LeftMouseClick	1	337	464		
180953	LeftMouseClick	1	337	464		
184653	LeftMouseClick	1	597	498		
185842	LeftMouseClick	1	606	569		
187380	LeftMouseClick	1	140	78		
199338	LeftMouseClick	1	333	461		
199508	LeftMouseClick	1	333	461		
200463	LeftMouseClick	1	635	543		
201827	LeftMouseClick	1	346	70		
202709	LeftMouseClick	1	347	459		
202867	LeftMouseClick	1	347	459		
203798	LeftMouseClick	1	616	501		
205409	LeftMouseClick	1	603	570		
207060	LeftMouseClick	1	151	72		
221582	LeftMouseClick	1	347	86		
223054	LeftMouseClick	1	346	467		
223216	LeftMouseClick	1	346	467		
224319	LeftMouseClick	1	655	496		
224828	LeftMouseClick	1	669	538		
225433	LeftMouseClick	1	600	570		
229405	LeftMouseClick	1	342	70		
230303	LeftMouseClick	1	332	460		
230561	LeftMouseClick	1	331	460		
231776	LeftMouseClick	1	651	494		
232451	LeftMouseClick	1	604	567		
237901	LeftMouseClick	1	474	433		
238044	LeftMouseClick	1	474	433		
239894	LeftMouseClick	1	451	572		
240035	LeftMouseClick	1	451	572		
241214	LeftMouseClick	1	602	680		
241544	LeftMouseClick	1	602	680		
243308	LeftMouseClick	1	774	649		
243478	LeftMouseClick	1	774	649		
244590	LeftMouseClick	1	870	466		
245128	LeftMouseClick	1	870	466		
247599	LeftMouseClick	1	747	353		
247769	LeftMouseClick	1	747	353		
249640	LeftMouseClick	1	517	413		
249930	LeftMouseClick	1	517	413		
256873	LeftMouseClick	1	628	703		
257051	LeftMouseClick	1	628	703		
262800	LeftMouseClick	1	379	66		
263630	LeftMouseClick	1	966	290		
263796	LeftMouseClick	1	966	290		
264967	LeftMouseClick	1	676	442		
272903	LeftMouseClick	1	703	464		
274893	LeftMouseClick	1	652	474		
276157	LeftMouseClick	1	626	544		
277378	LeftMouseClick	1	338	470		
277508	LeftMouseClick	1	338	470		
280472	LeftMouseClick	1	577	497		
281125	LeftMouseClick	1	608	572		
300105	LeftMouseClick	1	835	538		
300662	LeftMouseClick	1	835	538		
304597	LeftMouseClick	1	992	793		
305425	LeftMouseClick	1	739	783		
305564	LeftMouseClick	1	739	783		
306766	LeftMouseClick	1	639	445		
370164	LeftMouseClick	1	583	473		
370634	LeftMouseClick	1	600	471		
371101	LeftMouseClick	1	615	536		
372904	LeftMouseClick	1	123	76		
387924	LeftMouseClick	1	367	71		
402345	LogData	0	Distracted Start	 		
419631	LogData	0	Distracted End	 		
424656	LogData	0	Distracted Start	 		
428274	LogData	0	Distracted End	 		
451188	LogData	0	Distracted Start	 		
458719	LeftMouseClick	1	8	28		
461131	LeftMouseClick	1	75	72		
465524	LeftMouseClick	1	604	476		
466587	LeftMouseClick	1	607	634		
466998	LogData	0	Distracted End	 		
467199	LogData	0	Load 2nd Problem			
499108	LeftMouseClick	1	514	540		
499243	LeftMouseClick	1	514	540		
499251	LogData	0	Distracted Start	 		
538477	LeftMouseClick	1	684	791		
538647	LogData	0	Distracted End	 		
546225	LeftMouseClick	1	135	77		
582465	LogData	0	Distracted Start	 		
586284	LogData	0	Distracted End	 		
641152	LeftMouseClick	1	603	310		
641322	LeftMouseClick	1	603	310		
642399	LeftMouseClick	1	654	494		
643124	LeftMouseClick	1	605	561		
646075	LeftMouseClick	1	143	73		
674325	LeftMouseClick	1	365	74		
680065	LeftMouseClick	1	138	82		
696805	LeftMouseClick	1	204	27		
702858	LeftMouseClick	1	429	215		
754301	LeftMouseClick	1	598	302		
754459	LeftMouseClick	1	598	302		
755707	LeftMouseClick	1	613	496		
756269	LeftMouseClick	1	602	577		
757217	LeftMouseClick	1	359	451		
757407	LeftMouseClick	1	359	451		
758373	LeftMouseClick	1	630	492		
758842	LeftMouseClick	1	598	563		
759681	LeftMouseClick	1	438	752		
759847	LeftMouseClick	1	438	752		
761319	LeftMouseClick	1	654	580		
762033	LeftMouseClick	1	432	768		
762175	LeftMouseClick	1	432	768		
763424	LeftMouseClick	1	636	499		
764069	LeftMouseClick	1	596	565		
777843	LeftMouseClick	1	934	471		
778008	LeftMouseClick	1	934	470		
780184	LeftMouseClick	1	612	500		
781266	LeftMouseClick	1	595	568		
789721	LeftMouseClick	1	799	782		
791539	LeftMouseClick	1	655	502		
792156	LeftMouseClick	1	604	566		
794089	LeftMouseClick	1	133	76		
820851	LogData	0	Distracted Start	 		
828087	LogData	0	Distracted End	 		
830902	LeftMouseClick	1	364	89		
832083	LeftMouseClick	1	135	76		
901251	LogData	0	Distracted Start	 		
927582	LogData	0	Distracted End	 		
943208	LeftMouseClick	1	609	308		
943370	LeftMouseClick	1	609	308		
944173	LeftMouseClick	1	656	498		
944794	LeftMouseClick	1	609	572		
947259	LeftMouseClick	1	359	448		
947397	LeftMouseClick	1	359	448		
948426	LeftMouseClick	1	665	498		
949092	LeftMouseClick	1	600	570		
955146	LeftMouseClick	1	531	330		
956863	LeftMouseClick	1	418	406		
961517	LeftMouseClick	1	432	782		
961663	LeftMouseClick	1	432	782		
962711	LeftMouseClick	1	675	500		
963436	LeftMouseClick	1	592	570		
964324	LeftMouseClick	1	376	545		
965346	LeftMouseClick	1	399	695		
967603	LeftMouseClick	1	541	456		
975367	LeftMouseClick	1	358	451		
975533	LeftMouseClick	1	358	451		
978414	LeftMouseClick	1	662	569		
980309	LeftMouseClick	1	379	83		
987498	LeftMouseClick	1	152	79		
1015901	LeftMouseClick	1	615	307		
1016051	LeftMouseClick	1	615	307		
1017093	LeftMouseClick	1	618	493		
1017567	LeftMouseClick	1	595	577		
1019080	LeftMouseClick	1	346	451		
1019231	LeftMouseClick	1	346	451		
1020484	LeftMouseClick	1	633	497		
1020883	LeftMouseClick	1	671	500		
1021562	LeftMouseClick	1	600	574		
1023113	LeftMouseClick	1	537	330		
1023773	LeftMouseClick	1	404	406		
1025094	LeftMouseClick	1	403	409		
1027632	LeftMouseClick	1	424	767		
1027769	LeftMouseClick	1	424	767		
1030608	LeftMouseClick	1	671	498		
1032533	LeftMouseClick	1	598	574		
1043148	LeftMouseClick	1	557	409		
1045074	LeftMouseClick	1	488	613		
1046974	LeftMouseClick	1	372	521		
