System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 33
Recording date:	 22/06/2011
Recording time:	 11:24:43 AM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:58:58 AM

Participant:	 P78
Participant properties:

Glasses:	 glasses
Previous Experience with the CSP Applet:	 None
322:	 Not Taken
Hand:	 right
221:	 Complete
Previous Experience with AISpace:	 None
Sex:	 m

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
2677	LeftMouseClick	1	606	441		
3600	LeftMouseClick	1	601	631		
4209	LogData	0	Load 1st Problem			
17192	LeftMouseClick	1	163	81		
27934	LeftMouseClick	1	337	469		
29907	LeftMouseClick	1	674	533		
31359	LeftMouseClick	1	684	544		
34596	LeftMouseClick	1	616	540		
38887	LeftMouseClick	1	604	570		
41425	LeftMouseClick	1	148	74		
50101	LeftMouseClick	1	333	456		
51552	LeftMouseClick	1	579	537		
53747	LeftMouseClick	1	609	567		
56254	LeftMouseClick	1	167	79		
70070	LeftMouseClick	1	299	83		
76793	LeftMouseClick	1	164	75		
90614	LeftMouseClick	1	291	79		
93595	LeftMouseClick	1	138	82		
103288	LeftMouseClick	1	321	465		
105430	LeftMouseClick	1	588	534		
106442	LeftMouseClick	1	612	566		
109444	LeftMouseClick	1	157	82		
124330	LeftMouseClick	1	277	77		
126968	LeftMouseClick	1	165	75		
140458	LeftMouseClick	1	344	78		
148671	LeftMouseClick	1	338	478		
149939	LeftMouseClick	1	577	500		
152077	LeftMouseClick	1	599	572		
154167	LogData	0	Distracted Start	 		
154368	LogData	0	Distracted End	 		
154557	LeftMouseClick	1	143	73		
170770	LeftMouseClick	1	328	462		
172477	LeftMouseClick	1	635	533		
173539	LeftMouseClick	1	347	75		
174604	LeftMouseClick	1	342	478		
176075	LeftMouseClick	1	338	467		
178272	LeftMouseClick	1	619	501		
178931	LeftMouseClick	1	648	499		
181625	LeftMouseClick	1	612	569		
185127	LeftMouseClick	1	156	65		
204819	LogData	0	Distracted Start	 		
205020	LogData	0	Distracted End	 		
227910	LeftMouseClick	1	333	455		
229444	LeftMouseClick	1	657	498		
231613	LeftMouseClick	1	607	571		
236441	LeftMouseClick	1	123	74		
256650	LeftMouseClick	1	339	69		
257985	LeftMouseClick	1	951	298		
259468	LeftMouseClick	1	591	538		
260381	LeftMouseClick	1	603	569		
262637	LeftMouseClick	1	151	72		
275136	LeftMouseClick	1	942	293		
276653	LeftMouseClick	1	614	499		
278864	LeftMouseClick	1	606	571		
281920	LeftMouseClick	1	153	85		
294774	LeftMouseClick	1	314	75		
297700	LeftMouseClick	1	161	66		
314323	LeftMouseClick	1	296	68		
317260	LeftMouseClick	1	148	68		
334464	LogData	0	Distracted Start	 		
337077	LogData	0	Distracted End	 		
347931	LogData	0	Distracted Start	 		
353961	LogData	0	Distracted End	 		
373860	LogData	0	Distracted Start	 		
388043	LeftMouseClick	1	952	291		
390016	LeftMouseClick	1	653	496		
390783	LeftMouseClick	1	596	536		
394362	LogData	0	Distracted End	 		
394913	LeftMouseClick	1	605	575		
397341	LeftMouseClick	1	120	70		
409584	LeftMouseClick	1	289	82		
411958	LeftMouseClick	1	350	80		
414016	LeftMouseClick	1	733	782		
415352	LeftMouseClick	1	585	533		
415900	LeftMouseClick	1	600	564		
417204	LeftMouseClick	1	128	62		
429365	LeftMouseClick	1	719	784		
430413	LeftMouseClick	1	594	534		
430999	LeftMouseClick	1	594	561		
433667	LeftMouseClick	1	145	68		
447206	LeftMouseClick	1	724	776		
448668	LeftMouseClick	1	643	544		
449853	LeftMouseClick	1	287	64		
451422	LeftMouseClick	1	122	75		
459084	LogData	0	Distracted Start	 		
459285	LogData	0	Distracted End	 		
464281	LeftMouseClick	1	303	74		
465862	LeftMouseClick	1	110	67		
477551	LeftMouseClick	1	724	773		
479049	LeftMouseClick	1	614	493		
481076	LeftMouseClick	1	590	572		
482668	LeftMouseClick	1	158	65		
495426	LeftMouseClick	1	270	77		
498212	LeftMouseClick	1	148	76		
528831	LogData	0	Distracted Start	 		
535527	LeftMouseClick	1	10	26		
537485	LeftMouseClick	1	42	70		
542007	LeftMouseClick	1	605	481		
543286	LeftMouseClick	1	604	646		
543482	LogData	0	Distracted End	 		
543683	LogData	0	Load 2nd Problem			
552545	LeftMouseClick	1	138	86		
594227	LeftMouseClick	1	347	448		
604628	LeftMouseClick	1	635	496		
605638	LeftMouseClick	1	665	495		
607741	LeftMouseClick	1	610	574		
609552	LeftMouseClick	1	158	80		
632276	LeftMouseClick	1	929	477		
634502	LeftMouseClick	1	690	565		
636485	LeftMouseClick	1	282	77		
638658	LeftMouseClick	1	139	70		
674978	LeftMouseClick	1	365	60		
677361	LeftMouseClick	1	147	60		
710996	LeftMouseClick	1	923	474		
712303	LeftMouseClick	1	618	498		
713689	LeftMouseClick	1	592	575		
716157	LeftMouseClick	1	107	59		
748301	LogData	0	Distracted Start	 		
758753	LogData	0	Distracted End	 		
763436	LogData	0	Distracted Start	 		
764039	LogData	0	Distracted End	 		
765040	LeftMouseClick	1	362	449		
766429	LeftMouseClick	1	613	498		
768374	LeftMouseClick	1	604	572		
773121	LeftMouseClick	1	155	69		
779315	LogData	0	Distracted Start	 		
782732	LogData	0	Distracted End	 		
785171	LeftMouseClick	1	284	76		
787458	LeftMouseClick	1	134	73		
792983	LogData	0	Distracted Start	 		
804521	LeftMouseClick	1	358	72		
807755	LeftMouseClick	1	143	83		
822128	LogData	0	Distracted End	 		
842379	LeftMouseClick	1	420	793		
847083	LeftMouseClick	1	599	499		
848809	LeftMouseClick	1	631	498		
850795	LeftMouseClick	1	597	571		
852626	LeftMouseClick	1	155	72		
863845	LeftMouseClick	1	430	771		
865698	LeftMouseClick	1	615	495		
866718	LeftMouseClick	1	597	566		
871493	LeftMouseClick	1	147	63		
894341	LeftMouseClick	1	238	59		
895681	LeftMouseClick	1	294	66		
897075	LeftMouseClick	1	158	68		
