System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 36
Recording date:	 23/06/2011
Recording time:	 3:30:12 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:59:04 AM

Participant:	 P81
Participant properties:

Previous Experience with the CSP Applet:	 None
322:	 Not Taken
Hand:	 right
221:	 Complete
Previous Experience with AISpace:	 None
Sex:	 m
Glasses:	 contacts

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
5179	LeftMouseClick	1	593	449		
6817	LeftMouseClick	1	608	635		
7668	LogData	0	Load 1st Problem			
22010	LeftMouseClick	1	868	470		
29145	LogData	0	Distracted Start	 		
38994	LogData	0	Distracted End	 		
42261	LeftMouseClick	1	784	663		
49500	LeftMouseClick	1	587	677		
52456	LeftMouseClick	1	448	575		
56079	LogData	0	Distracted Start	 		
58893	LogData	0	Distracted End	 		
67876	LeftMouseClick	1	407	450		
75234	LeftMouseClick	1	786	344		
78792	LogData	0	Distracted Start	 		
87234	LogData	0	Distracted End	 		
105902	LeftMouseClick	1	505	413		
129846	LogData	0	Distracted Start	 		
141906	LogData	0	Distracted End	 		
145166	LeftMouseClick	1	624	713		
149159	RightMouseClick	2	443	560		
153893	LeftMouseClick	1	454	508		
155254	LeftMouseClick	1	166	18		
155843	LeftMouseClick	1	166	29		
162487	LeftMouseClick	1	110	459		
164456	LeftMouseClick	1	707	770		
167939	LeftMouseClick	1	755	440		
171493	LeftMouseClick	1	141	28		
175310	LeftMouseClick	1	222	55		
178419	LeftMouseClick	1	803	352		
179294	LeftMouseClick	1	107	917		
179404	LeftMouseClick	1	107	917		
180541	RightMouseClick	2	203	898		
188821	LeftMouseClick	1	381	516		
189894	LeftMouseClick	1	418	540		
191750	LeftMouseClick	1	520	614		
196749	LogData	0	Distracted Start	 		
198558	LogData	0	Distracted End	 		
201782	LeftMouseClick	1	668	661		
204422	LeftMouseClick	1	785	637		
205392	LogData	0	Distracted Start	 		
210216	LogData	0	Distracted End	 		
221673	LogData	0	Distracted Start	 		
223080	LogData	0	Distracted End	 		
231522	LogData	0	Distracted Start	 		
232125	LogData	0	Distracted End	 		
238758	LogData	0	Distracted Start	 		
239160	LogData	0	Distracted End	 		
245391	LogData	0	Distracted Start	 		
245793	LogData	0	Distracted End	 		
276857	RightMouseClick	2	448	435		
277968	LeftMouseClick	1	416	464		
278455	LeftMouseClick	1	416	439		
280382	LeftMouseClick	1	149	23		
281028	LeftMouseClick	1	149	23		
284069	RightMouseClick	2	336	466		
285075	LeftMouseClick	1	336	466		
287776	LeftMouseClick	1	658	528		
289286	LeftMouseClick	1	589	567		
295692	LeftMouseClick	1	635	718		
300612	LeftMouseClick	1	853	491		
304188	LeftMouseClick	1	727	362		
312593	RightMouseClick	2	319	459		
314528	LeftMouseClick	1	397	449		
320764	RightMouseClick	2	719	775		
322547	LeftMouseClick	1	722	771		
324054	LeftMouseClick	1	612	527		
324811	LeftMouseClick	1	615	566		
326841	LeftMouseClick	1	482	581		
329147	LeftMouseClick	1	863	488		
331606	LeftMouseClick	1	756	348		
336393	LeftMouseClick	1	479	431		
341893	RightMouseClick	2	321	477		
346322	LeftMouseClick	1	326	482		
