System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 38
Recording date:	 15/09/2011
Recording time:	 12:09:26 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:58:47 AM

Participant:	 P83
Participant properties:

Previous Experience with the CSP Applet:	 None
322:	 Not Taken
Hand:	 right
Sex:	 f
221:	 Complete
Previous Experience with AISpace:	 None
Glasses:	 contacts

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
4198	LeftMouseClick	1	595	447		
5677	LeftMouseClick	1	606	634		
6435	LogData	0	Load 1st Problem			
13884	LeftMouseClick	1	43	77		
16367	LeftMouseClick	1	749	351		
20105	LeftMouseClick	1	30	66		
23648	LeftMouseClick	1	498	424		
28420	LeftMouseClick	1	532	411		
33277	LeftMouseClick	1	56	73		
40631	LeftMouseClick	1	890	427		
43251	LeftMouseClick	1	56	77		
44533	LeftMouseClick	1	772	655		
46330	LeftMouseClick	1	30	68		
49339	LeftMouseClick	1	606	690		
50880	LeftMouseClick	1	481	595		
57176	LeftMouseClick	1	53	71		
60404	LeftMouseClick	1	315	460		
62279	LeftMouseClick	1	603	538		
63143	LeftMouseClick	1	610	569		
65891	LeftMouseClick	1	734	355		
67592	LeftMouseClick	1	609	692		
70583	LeftMouseClick	1	868	465		
72581	LeftMouseClick	1	537	410		
77002	LeftMouseClick	1	321	482		
80348	LeftMouseClick	1	658	567		
83240	LeftMouseClick	1	299	78		
84793	LeftMouseClick	1	689	370		
87013	LeftMouseClick	1	614	699		
95430	LeftMouseClick	1	899	400		
97974	LeftMouseClick	1	549	405		
113154	LeftMouseClick	1	329	463		
114346	LeftMouseClick	1	609	537		
114738	LeftMouseClick	1	610	567		
116221	LeftMouseClick	1	756	349		
118307	LeftMouseClick	1	762	683		
120302	LeftMouseClick	1	471	583		
121963	LeftMouseClick	1	568	661		
123633	LeftMouseClick	1	780	348		
125208	LeftMouseClick	1	879	426		
126731	LeftMouseClick	1	339	464		
127909	LeftMouseClick	1	625	533		
129204	LeftMouseClick	1	290	58		
130119	LeftMouseClick	1	290	66		
131525	LeftMouseClick	1	334	453		
132686	LeftMouseClick	1	671	573		
134767	LeftMouseClick	1	347	78		
136397	LeftMouseClick	1	399	447		
137289	LeftMouseClick	1	396	522		
139128	LeftMouseClick	1	463	580		
140096	LeftMouseClick	1	722	360		
141316	LeftMouseClick	1	784	342		
142539	LeftMouseClick	1	887	422		
143998	LeftMouseClick	1	796	627		
145174	LeftMouseClick	1	624	704		
148524	LeftMouseClick	1	960	290		
150127	LeftMouseClick	1	657	537		
150611	LeftMouseClick	1	607	573		
152769	LeftMouseClick	1	493	427		
154246	LeftMouseClick	1	767	668		
156101	LeftMouseClick	1	441	560		
158320	LeftMouseClick	1	871	315		
162689	LeftMouseClick	1	726	773		
163747	LeftMouseClick	1	583	533		
164610	LeftMouseClick	1	602	565		
165765	LeftMouseClick	1	855	487		
167504	LeftMouseClick	1	473	434		
169248	LeftMouseClick	1	462	574		
170723	LeftMouseClick	1	621	701		
172429	LeftMouseClick	1	617	697		
174134	LeftMouseClick	1	870	450		
175682	LeftMouseClick	1	798	346		
177353	LeftMouseClick	1	557	404		
184240	LeftMouseClick	1	295	79		
187752	LeftMouseClick	1	711	782		
188872	LeftMouseClick	1	683	576		
189283	LeftMouseClick	1	688	608		
190198	LeftMouseClick	1	462	576		
191879	LeftMouseClick	1	878	432		
193181	LeftMouseClick	1	818	329		
194927	LeftMouseClick	1	560	405		
196259	LeftMouseClick	1	713	360		
213971	LeftMouseClick	1	352	87		
223203	LogData	0	Distracted Start	 		
231846	LogData	0	Distracted End	 		
236268	LogData	0	Distracted Start	 		
237675	LogData	0	Distracted End	 		
242298	LogData	0	Distracted Start	 		
249531	LeftMouseClick	1	13	25		
251685	LeftMouseClick	1	21	70		
253785	LeftMouseClick	1	568	478		
255217	LeftMouseClick	1	613	642		
255765	LogData	0	Distracted End	 		
275844	LeftMouseClick	1	48	69		
277226	LeftMouseClick	1	821	712		
280941	LeftMouseClick	1	894	563		
283570	LeftMouseClick	1	843	531		
284934	LeftMouseClick	1	707	776		
286070	LeftMouseClick	1	554	778		
289589	LeftMouseClick	1	544	702		
291410	LeftMouseClick	1	817	408		
297160	LeftMouseClick	1	705	351		
302897	LeftMouseClick	1	836	697		
304971	LeftMouseClick	1	541	775		
306236	LeftMouseClick	1	567	698		
308537	LeftMouseClick	1	524	344		
310107	LeftMouseClick	1	427	400		
311284	LeftMouseClick	1	378	562		
312811	LeftMouseClick	1	401	689		
314748	LeftMouseClick	1	740	593		
316079	LeftMouseClick	1	728	777		
