System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 43
Recording date:	 19/09/2011
Recording time:	 5:13:22 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:59:15 AM

Participant:	 P88
Participant properties:

Glasses:	 none
Previous Experience with the CSP Applet:	 None
322:	 Not Taken
Hand:	 right
Sex:	 f
221:	 Complete
Previous Experience with AISpace:	 None

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
31414	LeftMouseClick	1	595	447		
32315	LeftMouseClick	1	602	635		
32964	LogData	0	Load 1st Problem			
34773	LogData	0	Distracted Start	 		
37185	LogData	0	Distracted End	 		
38391	LogData	0	Distracted Start	 		
38592	LogData	0	Distracted End	 		
39999	LogData	0	Distracted Start	 		
41455	LeftMouseClick	1	948	302		
41808	LogData	0	Distracted End	 		
42612	LogData	0	Distracted Start	 		
43363	LeftMouseClick	1	689	573		
45334	LeftMouseClick	1	785	334		
47165	LeftMouseClick	1	48	65		
50571	LeftMouseClick	1	542	415		
53766	LeftMouseClick	1	42	73		
56577	LeftMouseClick	1	382	77		
57512	LeftMouseClick	1	148	79		
68359	LeftMouseClick	1	305	488		
77586	LogData	0	Distracted End	 		
82151	LeftMouseClick	1	573	498		
84990	LeftMouseClick	1	592	573		
88317	LeftMouseClick	1	637	377		
90024	LeftMouseClick	1	901	396		
92467	LeftMouseClick	1	762	350		
93757	LeftMouseClick	1	540	407		
95861	LeftMouseClick	1	586	670		
97558	LeftMouseClick	1	725	778		
99735	LeftMouseClick	1	667	574		
102417	LeftMouseClick	1	813	577		
103447	LeftMouseClick	1	854	484		
104031	LeftMouseClick	1	867	475		
104721	LeftMouseClick	1	867	456		
118378	LeftMouseClick	1	367	65		
119367	LeftMouseClick	1	183	93		
131750	LeftMouseClick	1	311	474		
132721	LeftMouseClick	1	628	505		
133163	LeftMouseClick	1	598	570		
135021	LeftMouseClick	1	632	694		
135362	LeftMouseClick	1	629	704		
138002	LeftMouseClick	1	883	439		
142972	LeftMouseClick	1	759	352		
147985	LeftMouseClick	1	783	627		
151241	LeftMouseClick	1	357	74		
153564	LogData	0	Distracted Start	 		
196647	LeftMouseClick	1	18	31		
201443	LeftMouseClick	1	84	72		
202867	LeftMouseClick	1	572	476		
204879	LeftMouseClick	1	602	643		
205187	LogData	0	Distracted End	 		
205388	LogData	0	Load 2nd Problem			
206346	LeftMouseClick	1	176	65		
208403	LogData	0	Distracted Start	 		
211217	LogData	0	Distracted End	 		
237587	LeftMouseClick	1	589	317		
238729	LeftMouseClick	1	617	497		
239184	LeftMouseClick	1	588	577		
242186	LeftMouseClick	1	855	439		
246385	LeftMouseClick	1	403	411		
249151	LeftMouseClick	1	401	700		
254843	LeftMouseClick	1	538	712		
256022	LeftMouseClick	1	782	564		
259797	LeftMouseClick	1	707	780		
265258	LeftMouseClick	1	878	596		
265884	LeftMouseClick	1	844	677		
267296	LogData	0	Distracted Start	 		
275914	LeftMouseClick	1	531	531		
280655	LeftMouseClick	1	622	549		
290377	LeftMouseClick	1	839	627		
304682	LogData	0	Distracted End	 		
318551	LogData	0	Distracted Start	 		
320561	LogData	0	Distracted End	 		
326792	LogData	0	Distracted Start	 		
336842	LogData	0	Distracted End	 		
341578	LeftMouseClick	1	845	507		
348299	LogData	0	Distracted Start	 		
386499	LeftMouseClick	1	936	454		
387293	LogData	0	Distracted End	 		
387418	LeftMouseClick	1	614	499		
388088	LeftMouseClick	1	601	570		
390391	LeftMouseClick	1	829	710		
392234	LeftMouseClick	1	571	686		
393280	LeftMouseClick	1	466	626		
