System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 48
Recording date:	 22/09/2011
Recording time:	 2:12:12 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:59:26 AM

Participant:	 P93
Participant properties:

Glasses:	 none
Previous Experience with the CSP Applet:	 None
Hand:	 right
221:	 Complete
Previous Experience with AISpace:	 None
Sex:	 m
322:	 Current

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
7409	LeftMouseClick	1	614	441		
8227	LeftMouseClick	1	609	639		
8844	LogData	0	Load 1st Problem			
28362	LeftMouseClick	1	61	66		
31642	LeftMouseClick	1	59	61		
32348	LeftMouseClick	1	59	61		
32826	LeftMouseClick	1	59	61		
33392	LeftMouseClick	1	59	61		
33714	LeftMouseClick	1	59	61		
34016	LeftMouseClick	1	59	61		
34186	LeftMouseClick	1	59	61		
34424	LeftMouseClick	1	59	61		
34619	LeftMouseClick	1	59	61		
34969	LeftMouseClick	1	59	61		
35215	LeftMouseClick	1	59	61		
36065	LeftMouseClick	1	59	61		
39505	LeftMouseClick	1	323	475		
41338	LeftMouseClick	1	575	500		
44692	LeftMouseClick	1	612	503		
45527	LeftMouseClick	1	609	564		
48670	LeftMouseClick	1	57	81		
50200	LeftMouseClick	1	57	81		
52637	LeftMouseClick	1	57	81		
53227	LeftMouseClick	1	57	81		
59090	LeftMouseClick	1	57	81		
62335	LeftMouseClick	1	57	81		
62817	LeftMouseClick	1	57	81		
63999	LeftMouseClick	1	57	81		
67895	LeftMouseClick	1	57	81		
68597	LeftMouseClick	1	57	81		
69939	LeftMouseClick	1	57	81		
72246	LeftMouseClick	1	336	466		
74323	LeftMouseClick	1	628	499		
74831	LeftMouseClick	1	601	568		
76390	LeftMouseClick	1	62	80		
76820	LeftMouseClick	1	62	80		
77380	LeftMouseClick	1	58	80		
78518	LeftMouseClick	1	58	80		
78828	LeftMouseClick	1	58	80		
79054	LeftMouseClick	1	58	80		
79392	LeftMouseClick	1	58	80		
79718	LeftMouseClick	1	58	80		
82603	LeftMouseClick	1	58	80		
86500	LeftMouseClick	1	58	80		
86774	LeftMouseClick	1	58	80		
87320	LeftMouseClick	1	58	80		
89301	LeftMouseClick	1	58	80		
89503	LeftMouseClick	1	58	80		
89705	LeftMouseClick	1	58	80		
89996	LeftMouseClick	1	58	80		
90421	LeftMouseClick	1	58	80		
90751	LeftMouseClick	1	58	80		
91173	LeftMouseClick	1	58	80		
91612	LeftMouseClick	1	58	80		
93620	LeftMouseClick	1	299	74		
94605	LeftMouseClick	1	299	74		
99140	LeftMouseClick	1	61	77		
99810	LeftMouseClick	1	61	77		
100153	LeftMouseClick	1	61	77		
100415	LeftMouseClick	1	61	77		
100601	LeftMouseClick	1	61	77		
100903	LeftMouseClick	1	61	77		
101533	LeftMouseClick	1	61	77		
102351	LeftMouseClick	1	61	77		
103405	LeftMouseClick	1	61	77		
103735	LeftMouseClick	1	61	77		
104177	LeftMouseClick	1	61	77		
104567	LeftMouseClick	1	61	77		
106768	LeftMouseClick	1	329	461		
107852	LeftMouseClick	1	330	468		
108884	LeftMouseClick	1	620	495		
109421	LeftMouseClick	1	597	562		
111746	LeftMouseClick	1	56	76		
112127	LeftMouseClick	1	56	79		
112701	LeftMouseClick	1	56	79		
114158	LeftMouseClick	1	56	79		
114556	LeftMouseClick	1	56	79		
115158	LeftMouseClick	1	56	79		
117763	LeftMouseClick	1	56	79		
118133	LeftMouseClick	1	56	79		
118963	LeftMouseClick	1	56	79		
120145	LeftMouseClick	1	56	79		
120515	LeftMouseClick	1	56	79		
121085	LeftMouseClick	1	56	79		
121587	LeftMouseClick	1	56	79		
121809	LeftMouseClick	1	56	79		
