System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 50
Recording date:	 23/09/2011
Recording time:	 5:30:46 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 11:59:30 AM

Participant:	 P94
Participant properties:

Glasses:	 none
Previous Experience with the CSP Applet:	 None
322:	 Not Taken
Hand:	 right
221:	 Complete
Previous Experience with AISpace:	 None
Sex:	 m

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
4681	LeftMouseClick	1	586	486		
6804	LeftMouseClick	1	598	637		
7437	LogData	0	Load 2nd Problem			
8109	LeftMouseClick	1	814	772		
9497	LeftMouseClick	1	682	498		
10081	LeftMouseClick	1	596	578		
10769	LeftMouseClick	1	920	477		
11746	LeftMouseClick	1	649	497		
12245	LeftMouseClick	1	591	574		
13016	LeftMouseClick	1	586	306		
14190	LeftMouseClick	1	618	492		
14856	LeftMouseClick	1	603	563		
15457	LeftMouseClick	1	339	446		
16397	LeftMouseClick	1	582	496		
16920	LeftMouseClick	1	600	565		
17935	LeftMouseClick	1	916	534		
18202	LeftMouseClick	1	912	534		
19367	LeftMouseClick	1	848	667		
19557	LeftMouseClick	1	848	667		
20437	LeftMouseClick	1	846	440		
20671	LeftMouseClick	1	846	440		
21546	LeftMouseClick	1	690	352		
21744	LeftMouseClick	1	690	352		
22420	LeftMouseClick	1	541	329		
22614	LeftMouseClick	1	541	329		
23838	LeftMouseClick	1	402	403		
24249	LeftMouseClick	1	408	411		
24431	LeftMouseClick	1	408	411		
30099	LeftMouseClick	1	414	795		
31241	LeftMouseClick	1	609	498		
31873	LeftMouseClick	1	609	562		
32789	LeftMouseClick	1	371	531		
32991	LeftMouseClick	1	371	531		
33768	LeftMouseClick	1	395	657		
33986	LeftMouseClick	1	395	657		
35074	LeftMouseClick	1	532	772		
35559	LeftMouseClick	1	530	779		
35785	LeftMouseClick	1	530	779		
36487	LeftMouseClick	1	709	778		
36673	LeftMouseClick	1	709	778		
38201	LeftMouseClick	1	767	575		
38386	LeftMouseClick	1	767	575		
39092	LeftMouseClick	1	582	678		
39294	LeftMouseClick	1	582	678		
55476	LogData	0	Distracted Start	 		
55878	LogData	0	Distracted End	 		
83554	LeftMouseClick	1	811	779		
85274	LeftMouseClick	1	660	564		
86192	LeftMouseClick	1	360	78		
87183	LeftMouseClick	1	799	773		
88385	LeftMouseClick	1	652	502		
88963	LeftMouseClick	1	600	571		
89589	LeftMouseClick	1	936	466		
90678	LeftMouseClick	1	611	499		
91238	LeftMouseClick	1	608	560		
91861	LeftMouseClick	1	600	284		
92721	LeftMouseClick	1	573	499		
93235	LeftMouseClick	1	608	565		
95131	LeftMouseClick	1	364	454		
96585	LeftMouseClick	1	685	498		
97527	LeftMouseClick	1	595	568		
105659	LeftMouseClick	1	331	450		
107377	LeftMouseClick	1	374	78		
108119	LeftMouseClick	1	793	768		
128660	LeftMouseClick	1	678	567		
151664	LeftMouseClick	1	466	647		
151826	LeftMouseClick	1	466	647		
153538	LeftMouseClick	1	535	498		
153745	LeftMouseClick	1	535	498		
204015	LogData	0	Distracted Start	 		
204819	LogData	0	Distracted End	 		
212011	LeftMouseClick	1	797	756		
212936	LeftMouseClick	1	696	501		
213831	LeftMouseClick	1	606	570		
214692	LeftMouseClick	1	909	502		
215657	LeftMouseClick	1	650	497		
216209	LeftMouseClick	1	615	572		
216885	LeftMouseClick	1	610	282		
218025	LeftMouseClick	1	615	495		
218537	LeftMouseClick	1	589	572		
219347	LeftMouseClick	1	841	690		
219525	LeftMouseClick	1	841	690		
220214	LeftMouseClick	1	888	554		
220396	LeftMouseClick	1	888	554		
221280	LeftMouseClick	1	850	431		
221466	LeftMouseClick	1	850	431		
