Data properties:

Recording date: 23/09/2011
Recording time: 17:30:46:000 (corresponds to time 0)
Study: Interacting with the CSP applet
Subject: P94
Recording: Rec 50
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
11	499	83	716	299	
12	582	450	660	369	
13	1032	316	990	666	
14	1348	233	119	335	
15	1581	183	30	331	
16	1764	150	118	926	
17	1914	316	71	993	
18	2231	699	582	540	
19	2930	133	576	464	
20	3064	383	578	503	
21	3447	433	525	513	
22	3880	983	586	521	
23	4862	100	618	919	
24	5345	167	645	576	
25	5512	216	619	518	
26	5728	416	533	525	
27	6145	217	603	527	
28	6361	766	578	669	
29	7327	216	576	608	
30	7544	600	757	779	
31	8143	283	771	709	
32	8427	350	658	552	
33	8776	133	596	500	
34	8910	866	663	523	
35	9776	283	561	600	
36	10059	999	885	521	
37	11058	250	644	564	
38	11308	516	623	529	
39	11824	416	560	584	
40	12241	333	770	417	
41	12574	683	601	341	
42	13257	166	568	469	
43	13423	1049	596	512	
44	14472	383	576	566	
45	14856	316	436	412	
46	15172	350	331	443	
47	15522	200	430	513	
48	15722	183	489	540	
49	15905	866	551	514	
50	16771	550	596	315	
51	17321	166	870	444	
52	17487	1266	885	535	
53	18753	650	800	683	
54	19403	366	829	538	
55	19769	783	799	437	
56	20552	1166	615	305	
57	21718	416	562	315	
58	22134	166	437	367	
59	22301	200	341	420	
60	22500	883	502	369	
61	23383	133	363	398	
62	23516	1549	387	428	
63	25065	183	591	563	
64	25432	83	569	623	
65	25515	583	629	642	
66	26098	233	850	520	
67	26331	350	686	598	
68	26681	150	410	720	
69	26831	266	349	810	
70	27097	117	305	402	
71	27214	550	315	440	
72	27764	183	546	349	
73	27947	167	376	746	
74	28113	250	350	777	
75	28363	150	335	565	
76	28513	500	347	607	
77	29013	217	329	558	
78	29229	450	328	453	
79	29679	383	570	327	
80	30062	316	398	835	
81	30379	1449	578	528	
82	31828	1732	328	544	
83	33560	616	358	656	
84	34176	1399	492	793	
85	35575	799	561	791	
86	36375	283	721	771	
87	36658	283	759	769	
88	36941	500	566	793	
89	37440	266	642	633	
90	37707	316	832	519	
91	38023	916	707	590	
92	38939	400	528	673	
93	39339	766	550	401	
94	40105	350	666	162	
95	40672	633	670	208	
96	41305	133	545	485	
97	41438	416	530	575	
98	41854	616	645	366	
99	42787	133	642	514	
100	42920	100	633	597	
101	43253	83	763	433	
102	43337	200	732	519	
103	43536	200	888	524	
104	43736	483	774	463	
105	44219	400	519	430	
106	44836	83	560	459	
107	44919	433	509	425	
108	45585	133	575	487	
109	45718	283	520	564	
110	46268	683	742	519	
111	46951	316	515	578	
112	47500	83	543	402	
113	47584	616	529	502	
114	48200	383	529	624	
115	48583	333	519	561	
116	48916	217	729	583	
117	49133	533	527	560	
118	49849	433	506	543	
119	50282	383	572	572	
120	50665	200	778	581	
121	50865	700	528	557	
122	51564	383	447	575	
123	51947	500	499	592	
124	52447	1099	523	556	
125	53746	916	592	387	
126	54662	250	621	341	
127	55095	366	605	421	
128	55795	100	961	1108	
129	55895	283	653	552	
130	56178	866	508	500	
131	57044	533	562	538	
132	57577	366	496	533	
133	57943	833	528	568	
134	58776	899	600	368	
135	59676	500	500	588	
136	60175	283	461	527	
137	60458	200	498	749	
138	60658	849	421	776	
139	61508	450	495	572	
140	61957	1099	612	343	
141	63057	100	655	384	
142	63407	333	658	396	
143	63739	133	550	463	
144	63873	316	602	328	
145	64189	316	768	411	
146	64506	333	913	505	
147	64839	266	646	380	
148	65105	183	607	353	
149	65288	433	765	438	
150	65721	250	422	391	
151	65971	700	487	406	
152	66671	233	608	343	
153	66904	150	336	370	
154	67054	150	343	439	
155	67204	100	344	482	
156	67520	183	355	667	
157	67703	683	351	627	
158	68386	133	365	811	
159	68520	183	381	779	
160	68703	200	573	375	
161	68903	616	594	339	
162	69519	266	613	752	
163	69785	233	570	798	
164	70019	300	771	773	
165	70318	233	826	555	
166	70552	466	898	512	
167	71018	649	746	776	
168	71667	283	874	517	
169	72151	516	594	393	
170	72667	333	856	537	
171	73000	266	708	761	
172	73266	383	762	764	
173	73649	316	877	521	
174	73966	183	711	632	
175	74149	233	825	602	
176	74382	183	662	358	
177	74566	383	586	332	
178	74949	333	375	405	
179	75282	167	338	447	
180	75448	583	456	402	
181	76031	316	337	453	
182	76348	350	389	748	
183	76964	133	705	604	
184	77097	366	428	690	
185	77464	250	503	538	
186	77714	150	592	314	
187	78130	266	664	521	
188	78396	633	690	733	
189	79029	333	734	707	
190	79362	266	765	742	
191	79629	183	514	528	
192	79812	616	467	547	
193	80678	583	478	539	
194	81494	83	493	417	
195	81578	233	477	511	
196	82094	83	586	436	
197	82177	200	575	524	
198	82377	183	789	707	
199	82560	1016	760	761	
200	83576	300	809	758	
201	83876	150	644	503	
202	84026	183	593	566	
203	84209	450	604	516	
204	84659	483	615	596	
205	85142	200	862	522	
206	85342	200	493	93	
207	85542	616	359	110	
208	86158	366	843	610	
209	86524	716	771	784	
210	87240	233	758	693	
211	87474	1099	625	530	
212	88573	383	549	570	
213	88956	350	810	613	
214	89306	583	893	502	
215	89889	1616	582	521	
216	91504	533	568	325	
217	92037	167	598	416	
218	92204	899	553	515	
219	93103	533	580	319	
220	93636	117	321	406	
221	93753	300	319	457	
222	94053	183	608	352	
223	94236	466	895	508	
224	94702	350	582	327	
225	95052	250	280	456	
226	95302	150	340	466	
227	95452	333	445	394	
228	95785	216	595	533	
229	96001	799	652	512	
230	96801	200	609	540	
231	97001	200	555	578	
232	97200	733	353	624	
233	97933	233	325	470	
234	98167	400	355	604	
235	98566	500	330	430	
236	99066	833	369	624	
237	99899	266	325	440	
238	100382	150	438	639	
239	100765	699	595	356	
240	101464	400	769	425	
241	101864	200	916	498	
242	102064	200	675	395	
243	102264	466	916	540	
244	102913	133	831	489	
245	103047	183	901	517	
246	103230	650	738	769	
247	103879	183	403	420	
248	104063	383	326	452	
249	104446	600	654	197	
250	105045	333	737	194	
251	105378	166	331	407	
252	105545	466	316	454	
253	106011	616	758	786	
254	106627	183	479	204	
255	106811	166	281	94	
256	106977	100	349	70	
257	107077	366	349	119	
258	107444	250	728	723	
259	107693	516	756	788	
260	108210	233	836	770	
261	108443	217	662	570	
262	108660	833	650	514	
263	109492	466	566	503	
264	109959	316	655	506	
265	110275	183	805	671	
266	110458	749	828	638	
267	111208	416	756	776	
268	111624	733	823	639	
269	112357	766	630	513	
270	113123	217	587	503	
271	113340	266	631	493	
272	113606	400	826	645	
273	114006	616	897	481	
274	114622	750	767	436	
275	115372	383	629	354	
276	115755	183	783	422	
277	115938	383	921	522	
278	116521	167	895	476	
279	116688	283	584	395	
280	116971	183	412	421	
281	117154	200	365	472	
282	117354	350	474	415	
283	117704	483	735	436	
284	118187	450	598	364	
285	118636	366	866	481	
286	119003	150	740	758	
287	119152	1965	583	816	
288	121118	416	413	784	
289	121534	433	360	449	
290	121967	150	379	499	
291	122117	383	378	623	
292	122500	483	348	448	
293	122983	167	374	700	
294	123150	583	386	803	
295	123733	183	458	488	
296	123916	200	451	559	
297	124116	1149	622	656	
298	125448	100	393	716	
299	125548	699	358	813	
300	126247	266	581	528	
301	126514	616	370	818	
302	127130	333	528	576	
303	127463	883	574	534	
304	128346	266	600	572	
305	128613	350	355	825	
306	128962	683	347	788	
307	129645	866	324	636	
308	130511	433	303	436	
309	130944	516	539	292	
310	131711	116	622	252	
311	131827	1466	881	462	
312	133293	383	631	374	
313	133676	383	596	336	
314	134059	483	553	325	
315	134542	550	799	465	
316	135091	217	687	483	
317	135491	83	666	288	
318	135574	283	660	335	
319	136058	167	555	385	
320	136224	316	912	528	
321	136541	333	559	387	
322	136874	183	599	357	
323	137223	616	355	485	
324	138056	150	376	454	
325	138206	1100	391	825	
326	139306	683	368	632	
327	139988	283	349	540	
328	140271	233	413	754	
329	140505	766	352	477	
330	141271	133	509	530	
331	141404	117	487	621	
332	141521	150	497	581	
333	141670	450	347	525	
334	142120	550	492	567	
335	142670	616	577	808	
336	143286	1815	592	350	
337	145101	167	475	548	
338	145268	117	474	611	
339	145385	183	411	702	
340	145568	500	389	800	
341	146067	316	599	696	
342	146384	1116	573	801	
343	147500	899	772	768	
344	148399	250	654	612	
345	148649	266	632	645	
346	148916	266	501	546	
347	149182	350	590	317	
348	149748	166	548	406	
349	150181	100	484	542	
350	150281	317	471	579	
351	150598	100	371	617	
352	150698	1050	379	669	
353	151748	1249	332	782	
354	152996	1366	479	485	
355	154362	600	540	304	
356	154961	167	391	692	
357	155128	266	344	792	
358	155394	250	506	753	
359	155644	299	438	501	
360	155944	317	489	467	
361	156261	216	502	596	
362	156477	216	633	723	
363	156910	133	736	709	
364	157043	500	728	758	
365	157543	333	544	497	
366	157876	416	453	719	
367	158525	333	412	500	
368	158859	1116	446	540	
369	160224	200	576	388	
370	160424	416	491	406	
371	160841	283	334	598	
372	161340	100	544	477	
373	161440	316	582	551	
374	161973	83	550	514	
375	162056	367	512	563	
376	162423	233	518	605	
377	162839	183	771	509	
378	163022	217	780	446	
379	163239	333	356	572	
380	163572	500	397	624	
381	164072	733	368	472	
382	164805	150	556	367	
383	164955	616	488	410	
384	165571	233	735	365	
385	165804	117	620	295	
386	165921	466	618	207	
387	166387	233	472	611	
388	166903	599	520	565	
389	167503	350	378	429	
390	167852	233	-533	526	
391	168086	133	-134	559	
392	168219	733	551	606	
393	168952	283	658	661	
394	169235	1399	549	580	
395	170634	150	398	617	
396	170784	183	386	702	
397	170967	633	381	632	
398	171600	233	347	481	
399	171833	266	349	442	
400	172100	133	553	365	
401	172233	316	608	322	
402	172549	133	944	428	
403	172683	166	933	478	
404	172849	366	922	518	
405	173215	217	784	839	
406	173432	866	787	790	
407	174531	200	781	696	
408	174731	1249	733	735	
409	175980	316	644	1161	
410	176297	400	632	1289	
411	176696	300	748	608	
412	176996	216	814	637	
413	177463	200	820	527	
414	177662	2398	903	492	
415	180061	383	1338	48	
416	180444	200	1302	-121	
417	180644	300	1262	-89	
418	180943	416	1218	-58	
419	181360	733	1267	-63	
420	182276	583	617	532	
421	182859	217	847	887	
422	183075	466	1144	986	
423	183542	383	746	736	
424	184225	733	550	710	
425	184957	4680	568	755	
426	189838	816	651	572	
427	190654	216	521	687	
428	190870	1666	655	588	
429	192536	6379	681	629	
430	198915	2165	528	464	
431	201080	2282	547	519	
432	203595	350	603	439	
433	204444	83	746	409	
434	204960	183	721	447	
435	205294	416	642	389	
436	205710	150	598	428	
437	205860	167	581	488	
438	206226	83	604	339	
439	206310	516	584	388	
440	206826	400	417	457	
441	207226	333	354	480	
442	207559	766	779	567	
443	208325	783	909	541	
444	209108	300	682	666	
445	209407	400	643	678	
446	209807	316	447	693	
447	210390	100	688	516	
448	210490	300	647	667	
449	210790	200	761	715	
450	210990	216	743	758	
451	211206	100	781	757	
452	211306	533	725	758	
453	211839	450	812	742	
454	212289	250	644	548	
455	212539	666	624	507	
456	213205	300	551	577	
457	213505	416	599	550	
458	213921	333	799	626	
