System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 56
Recording date:	 26/09/2011
Recording time:	 1:34:28 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 5:06:14 PM

Participant:	 P100
Participant properties:

Previous Experience with the CSP Applet:	 None
322:	 Not Taken
Hand:	 right
221:	 Complete
Previous Experience with AISpace:	 None
Sex:	 m
Glasses:	 contacts

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
15735	LeftMouseClick	1	616	447		
16932	LeftMouseClick	1	603	643		
17688	LogData	0	Load 1st Problem			
21071	LeftMouseClick	1	966	288		
23546	LeftMouseClick	1	671	568		
25352	LeftMouseClick	1	172	75		
35295	LeftMouseClick	1	952	307		
38133	LeftMouseClick	1	578	501		
39629	LeftMouseClick	1	600	570		
42730	LeftMouseClick	1	308	71		
47351	LeftMouseClick	1	636	148		
51705	LeftMouseClick	1	64	61		
54592	LeftMouseClick	1	102	65		
70344	LeftMouseClick	1	966	298		
72885	LeftMouseClick	1	646	573		
73610	LeftMouseClick	1	362	63		
74607	LeftMouseClick	1	134	58		
84381	LeftMouseClick	1	957	311		
88234	LeftMouseClick	1	580	500		
90678	LeftMouseClick	1	616	534		
91468	LeftMouseClick	1	611	570		
96324	LeftMouseClick	1	437	433		
99610	LeftMouseClick	1	778	642		
101768	LeftMouseClick	1	413	536		
103787	LeftMouseClick	1	731	351		
113387	LeftMouseClick	1	961	277		
114642	LeftMouseClick	1	609	494		
117091	LeftMouseClick	1	591	576		
118637	LeftMouseClick	1	570	402		
120475	LeftMouseClick	1	777	649		
121807	LeftMouseClick	1	614	692		
122975	LeftMouseClick	1	594	679		
124724	LeftMouseClick	1	414	543		
126436	LeftMouseClick	1	865	433		
126929	LeftMouseClick	1	890	431		
128793	LeftMouseClick	1	706	353		
129191	LeftMouseClick	1	706	354		
132201	LeftMouseClick	1	348	53		
133294	LeftMouseClick	1	966	288		
135322	LeftMouseClick	1	613	499		
136409	LeftMouseClick	1	616	568		
139443	LeftMouseClick	1	163	49		
152786	LeftMouseClick	1	358	73		
154298	LeftMouseClick	1	956	308		
155661	LeftMouseClick	1	647	499		
156959	LeftMouseClick	1	597	570		
159728	LeftMouseClick	1	126	67		
174354	LeftMouseClick	1	306	70		
178991	LeftMouseClick	1	371	69		
180022	LeftMouseClick	1	980	308		
180897	LeftMouseClick	1	689	499		
181746	LeftMouseClick	1	593	561		
183764	LeftMouseClick	1	109	66		
197962	LeftMouseClick	1	298	76		
199778	LeftMouseClick	1	950	307		
200716	LeftMouseClick	1	668	498		
201791	LeftMouseClick	1	603	572		
204707	LeftMouseClick	1	179	72		
216511	LeftMouseClick	1	280	73		
217969	LeftMouseClick	1	950	306		
219161	LeftMouseClick	1	646	500		
219804	LeftMouseClick	1	613	566		
222390	LeftMouseClick	1	112	66		
235303	LeftMouseClick	1	310	76		
237833	LeftMouseClick	1	128	73		
250214	LeftMouseClick	1	388	951		
254408	LeftMouseClick	1	362	78		
258254	LeftMouseClick	1	323	460		
260001	LeftMouseClick	1	609	537		
261245	LeftMouseClick	1	656	567		
263484	LeftMouseClick	1	154	69		
272617	LeftMouseClick	1	331	484		
275869	LeftMouseClick	1	584	494		
276654	LeftMouseClick	1	612	496		
277241	LeftMouseClick	1	657	495		
280222	LeftMouseClick	1	663	572		
292482	LeftMouseClick	1	339	477		
294850	LeftMouseClick	1	660	539		
296047	LeftMouseClick	1	607	577		
302002	LeftMouseClick	1	838	340		
302314	LeftMouseClick	1	831	330		
303810	LeftMouseClick	1	618	702		
