System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 57
Recording date:	 26/09/2011
Recording time:	 2:20:19 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 5:06:16 PM

Participant:	 P101
Participant properties:

Glasses:	 glasses
Previous Experience with the CSP Applet:	 None
322:	 Not Taken
Hand:	 right
221:	 Complete
Previous Experience with AISpace:	 None
Sex:	 m

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
7562	LeftMouseClick	1	608	439		
8448	LeftMouseClick	1	594	643		
9849	LogData	0	Load 1st Problem	 		
19698	LogData	0	Distracted Start	 		
20703	LogData	0	Distracted End	 		
28944	LogData	0	Distracted Start	 		
31557	LogData	0	Distracted End	 		
33777	LeftMouseClick	1	478	426		
44583	LeftMouseClick	1	761	348		
47959	LeftMouseClick	1	440	564		
49814	LeftMouseClick	1	617	701		
52570	LeftMouseClick	1	911	374		
54117	LeftMouseClick	1	787	645		
59482	LeftMouseClick	1	340	459		
66583	LeftMouseClick	1	576	498		
67093	LeftMouseClick	1	624	502		
71384	LeftMouseClick	1	603	569		
79041	LeftMouseClick	1	585	667		
85016	LeftMouseClick	1	789	344		
88611	LeftMouseClick	1	876	445		
92476	RightMouseClick	2	342	468		
93985	LeftMouseClick	1	329	453		
94332	RightMouseClick	2	323	462		
94983	RightMouseClick	2	324	448		
97903	LeftMouseClick	1	336	457		
102502	LeftMouseClick	1	608	499		
103991	LeftMouseClick	1	593	573		
109513	LeftMouseClick	1	490	423		
112427	LeftMouseClick	1	776	342		
116373	LeftMouseClick	1	638	696		
116753	LeftMouseClick	1	623	699		
119961	LeftMouseClick	1	795	616		
122628	LeftMouseClick	1	877	444		
128958	LeftMouseClick	1	440	567		
130536	LeftMouseClick	1	501	420		
142308	LogData	0	Distracted Start	 		
151353	LogData	0	Distracted End	 		
153618	LeftMouseClick	1	295	79		
156871	LeftMouseClick	1	525	413		
158973	LeftMouseClick	1	760	350		
162294	LeftMouseClick	1	600	690		
167683	LeftMouseClick	1	754	703		
170017	LeftMouseClick	1	420	541		
173737	LeftMouseClick	1	884	426		
176674	LeftMouseClick	1	770	349		
178453	LeftMouseClick	1	474	427		
180498	LogData	0	Distracted Start	 		
188940	LogData	0	Distracted End	 		
190657	LeftMouseClick	1	290	74		
195060	LeftMouseClick	1	618	705		
201396	LeftMouseClick	1	761	346		
204650	LeftMouseClick	1	881	432		
209433	LeftMouseClick	1	485	426		
218016	LeftMouseClick	1	327	465		
220707	LeftMouseClick	1	611	500		
222233	LeftMouseClick	1	595	569		
229956	LeftMouseClick	1	606	696		
233052	LeftMouseClick	1	879	441		
235979	LeftMouseClick	1	764	344		
237418	LeftMouseClick	1	482	427		
239782	LeftMouseClick	1	510	413		
244986	LeftMouseClick	1	635	718		
247108	LeftMouseClick	1	760	689		
248034	LogData	0	Distracted Start	 		
253059	LogData	0	Distracted End	 		
254204	LeftMouseClick	1	265	73		
256360	LeftMouseClick	1	626	711		
262705	LeftMouseClick	1	901	393		
265632	LeftMouseClick	1	797	339		
266412	LeftMouseClick	1	549	413		
267261	LeftMouseClick	1	548	404		
268938	LogData	0	Distracted Start	 		
276978	LogData	0	Distracted End	 		
