System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 58
Recording date:	 26/09/2011
Recording time:	 4:19:54 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 5:06:17 PM

Participant:	 P102
Participant properties:

Glasses:	 none
Previous Experience with the CSP Applet:	 None
322:	 Not Taken
Hand:	 right
Sex:	 f
221:	 Complete
Previous Experience with AISpace:	 None

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
6668	LeftMouseClick	1	588	445		
6878	LeftMouseClick	1	588	445		
8114	LeftMouseClick	1	585	635		
8844	LogData	0	Load 1st Problem			
16970	LeftMouseClick	1	874	445		
22526	LeftMouseClick	1	803	595		
27377	LeftMouseClick	1	603	688		
29858	LeftMouseClick	1	460	576		
32159	LeftMouseClick	1	491	426		
34722	LeftMouseClick	1	693	369		
38949	RightMouseClick	2	942	302		
42661	LeftMouseClick	1	48	68		
46139	LeftMouseClick	1	332	469		
49289	LeftMouseClick	1	578	501		
50057	LeftMouseClick	1	609	497		
51092	LeftMouseClick	1	610	575		
54371	LeftMouseClick	1	691	371		
57450	LeftMouseClick	1	594	676		
60746	LeftMouseClick	1	867	462		
64612	LeftMouseClick	1	497	419		
70517	LeftMouseClick	1	334	473		
72667	LeftMouseClick	1	611	499		
73576	LeftMouseClick	1	597	567		
75713	LeftMouseClick	1	779	345		
78371	LeftMouseClick	1	789	620		
81932	LeftMouseClick	1	614	697		
84948	LeftMouseClick	1	450	567		
89785	LeftMouseClick	1	273	68		
94872	LogData	0	Distracted Start	 		
98088	LogData	0	Distracted End	 		
99966	LeftMouseClick	1	726	359		
103203	LeftMouseClick	1	785	630		
106677	LeftMouseClick	1	612	693		
109400	LeftMouseClick	1	430	550		
112822	LeftMouseClick	1	301	76		
115173	LogData	0	Distracted Start	 		
117987	LogData	0	Distracted End	 		
118852	LeftMouseClick	1	314	479		
119843	LeftMouseClick	1	616	496		
120305	LeftMouseClick	1	607	572		
122168	LeftMouseClick	1	709	362		
126172	LeftMouseClick	1	793	608		
131034	LeftMouseClick	1	607	687		
132291	LeftMouseClick	1	444	561		
134119	LeftMouseClick	1	439	555		
137720	LeftMouseClick	1	298	67		
138891	LogData	0	Distracted Start	 		
140499	LogData	0	Distracted End	 		
144816	LeftMouseClick	1	723	355		
147713	LeftMouseClick	1	791	616		
150312	LeftMouseClick	1	609	690		
151958	LeftMouseClick	1	441	560		
155402	LeftMouseClick	1	799	333		
159940	LeftMouseClick	1	353	78		
162207	LogData	0	Distracted Start	 		
182576	LeftMouseClick	1	10	30		
183999	LeftMouseClick	1	10	72		
185538	LeftMouseClick	1	612	475		
186623	LeftMouseClick	1	596	650		
186729	LogData	0	Distracted End	 		
186930	LogData	0	Load 2nd Problem			
195152	LeftMouseClick	1	370	572		
197426	LeftMouseClick	1	391	671		
201632	LeftMouseClick	1	517	778		
203371	LeftMouseClick	1	697	780		
208473	LeftMouseClick	1	829	698		
