CNT,TIME,FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV
0,0,0.67884,2.80517,0,0,1,0
15,0.24609,0.64689,2.80151,0.04883,0.19727,2,1
43,0.70557,0.39588,0.61359,0.50879,0.19678,3,1
56,0.91943,0.31058,0.66757,0.72217,0.19727,4,1
85,1.396,0.39331,1.71702,0.98535,0.41064,5,1
134,2.20068,0.46892,1.64733,1.4126,0.78809,6,1
182,2.98975,0.47502,2.43779,2.80908,0.18066,7,1
202,3.31787,0.3904,2.24508,3.05518,0.2627,8,1
218,3.58057,0.37105,2.3332,3.33643,0.24414,9,1
264,4.33643,0.51596,2.60502,3.6958,0.64063,10,1
276,4.53369,0.30976,2.3237,4.40234,0.13135,11,1
306,5.02686,0.3761,0.72201,4.79688,0.22998,12,1
328,5.38818,0.15205,1.16266,5.09229,0.2959,13,1
351,5.76563,0.27551,0.91252,5.45361,0.31201,14,1
365,5.99561,0.24074,1.01828,5.78223,0.21338,15,1
406,6.66943,0.23236,1.05697,6.01221,0.65723,16,1
447,7.34277,0.16025,1.07272,6.68604,0.65674,17,1
472,7.89941,0.36909,0.34993,7.46045,0.43896,18,1
494,8.39111,0.15159,0.95412,7.95068,0.44043,19,1
514,8.7085,0.0612,0.2796,8.57373,0.13477,20,1
529,8.93652,0.03229,0.38557,8.70996,0.22656,21,1
556,9.37988,0.01553,0.76599,9.00195,0.37793,22,1
587,9.896,-0.50016,1.06841,9.4458,0.4502,23,1
603,10.15186,-0.06569,1.11125,9.95508,0.19678,24,1
624,10.50293,0.28999,1.01789,10.271,0.23193,25,1
636,10.69434,0.21383,0.80659,10.51318,0.18115,26,1
656,11.08838,0.09127,0.26371,10.80908,0.2793,27,1
688,11.61426,0.78729,0.68272,11.20361,0.41064,28,1
705,11.89355,0.59424,0.38204,11.67969,0.21387,29,1
722,12.17285,0.49205,0.34412,11.90967,0.26318,30,1
742,12.50146,0.45294,0.32877,12.18945,0.31201,31,1
761,12.81348,0.39669,0.83922,12.56689,0.24658,32,1
776,13.05957,0.44616,0.8868,12.82959,0.22998,33,1
795,13.37207,0.52889,0.9178,13.07617,0.2959,34,1
823,13.83203,0.38025,0.67498,13.63477,0.19727,35,1
842,14.14404,0.5533,0.54069,13.89746,0.24658,36,1
857,14.39063,0.56153,0.57686,14.16064,0.22998,37,1
880,14.76855,0.38544,0.82558,14.45605,0.3125,38,1
896,15.03125,0.27546,0.85718,14.78467,0.24658,39,1
918,15.39258,0.16652,0.96098,15.09717,0.29541,40,1
929,15.57373,0.20729,1.02622,15.40918,0.16455,41,1
955,16.00049,0.50944,0.7535,15.78711,0.21338,42,1
972,16.27979,0.57738,0.35149,16.06592,0.21387,43,1
990,16.57568,0.61103,0.24961,16.2959,0.27979,44,1
1019,17.05176,0.48774,0.26664,16.59229,0.45947,45,1
1052,17.59521,0.29289,0.23482,17.11768,0.47754,46,1
1077,18.00488,0.55847,0.28899,17.80762,0.19727,47,1
1098,18.34961,0.4377,0.25506,18.021,0.32861,48,1
1115,18.62891,0.38414,0.19764,18.36621,0.2627,49,1
1148,19.17139,0.57087,0.29268,18.94092,0.23047,50,1
1161,19.38477,0.53264,0.40898,19.1875,0.19727,51,1
1184,19.7627,0.55941,0.89346,19.4502,0.3125,52,1
1212,20.22266,0.4683,0.26789,19.82813,0.39453,53,1
1237,20.6333,0.45356,0.21845,20.23926,0.39404,54,1
1274,21.24121,0.43359,0.14476,20.6499,0.59131,55,1
1307,21.7832,0.42496,0.17275,21.50391,0.2793,56,1
1326,22.09521,0.43466,0.29249,21.84863,0.24658,57,1
1342,22.3584,0.35584,0.21619,22.11182,0.24658,58,1
1367,22.76904,0.28775,0.2651,22.37451,0.39453,59,1
1403,23.36035,0.36553,0.28183,23.08105,0.2793,60,1
1440,23.96826,0.43127,0.2929,23.37646,0.5918,61,1
1485,24.70752,0.27842,0.22978,24.03418,0.67334,62,1
1501,24.97021,0.39769,0.09551,24.77295,0.19727,63,1
1525,25.36475,0.66046,0.12422,25.03613,0.32861,64,1
