timestamp	pupil size	adjusted pupil size
497159	2.860461	-1.139539
497176	2.8669155	-1.1330845
497192	2.8579605	-1.1420395
497209	2.8468845	-1.1531155
497226	2.8678395	-1.1321605
497242	2.8309005	-1.1690995
497259	2.8638175	-1.1361825
497276	2.8437675	-1.1562325
497292	2.8135975	-1.1864025
497309	2.846953	-1.153047
497325	2.778105	-1.221895
497342	2.7469325	-1.2530675
497359	2.785836	-1.214164
497375	2.8224015	-1.1775985
497392	2.840762	-1.159238
497409	2.8214655	-1.1785345
497425	2.8203005	-1.1796995
497442	2.816003	-1.183997
497459	2.8416295	-1.1583705
497475	2.820332	-1.179668
497492	2.806785	-1.193215
497509	2.817249	-1.182751
497525	2.81443	-1.18557
497542	2.8015435	-1.1984565
497559	2.7993095	-1.2006905
497575	2.807691	-1.192309
497592	2.786165	-1.213835
497609	2.7698985	-1.2301015
497625	2.8069655	-1.1930345
497642	2.7923705	-1.2076295
497925	2.7760985	-1.2239015
497958	2.7700405	-1.2299595
497975	2.7797745	-1.2202255
497992	2.77728	-1.22272
498008	2.80333	-1.19667
498025	2.799695	-1.200305
498042	2.7846285	-1.2153715
498058	2.80249	-1.19751
498075	2.82532	-1.17468
498092	2.8171055	-1.1828945
498108	2.821482	-1.178518
498125	2.8310645	-1.1689355
498142	2.8523545	-1.1476455
498158	2.8312005	-1.1687995
498175	2.83402	-1.16598
498191	2.837454	-1.162546
498208	2.801373	-1.198627
498225	2.8115675	-1.1884325
498241	2.8243745	-1.1756255
498258	2.821348	-1.178652
498275	2.7848975	-1.2151025
498291	2.789238	-1.210762
498308	2.790669	-1.209331
498325	2.7889525	-1.2110475
498341	2.7581295	-1.2418705
498358	2.778204	-1.221796
498375	2.7625045	-1.2374955
498391	2.7722485	-1.2277515
498408	2.778864	-1.221136
498425	2.7575895	-1.2424105
498441	2.7804005	-1.2195995
498458	2.7753705	-1.2246295
498475	2.7593945	-1.2406055
498491	2.7693025	-1.2306975
498508	2.775485	-1.224515
498525	2.775004	-1.224996
498541	2.78056	-1.21944
498558	2.7608125	-1.2391875
498575	2.784157	-1.215843
498591	2.761464	-1.238536
498608	2.7900875	-1.2099125
498625	2.7819515	-1.2180485
498641	2.7792775	-1.2207225
498658	2.7757595	-1.2242405
498675	2.7727875	-1.2272125
498691	2.7634475	-1.2365525
498708	2.7779855	-1.2220145
498724	2.7638795	-1.2361205
498741	2.782547	-1.217453
498758	2.741531	-1.258469
498774	2.7756465	-1.2243535
498791	2.7719055	-1.2280945
498808	2.7789665	-1.2210335
498824	2.749917	-1.250083
498841	2.7607075	-1.2392925
498858	2.756193	-1.243807
498874	2.75734	-1.24266
498891	2.765764	-1.234236
498908	2.75525	-1.24475
498924	2.7635795	-1.2364205
498941	2.795913	-1.204087
498958	2.780069	-1.219931
498974	2.745976	-1.254024
498991	2.7595495	-1.2404505
499008	2.7729055	-1.2270945
499024	2.767636	-1.232364
499041	2.7967495	-1.2032505
499058	2.7958995	-1.2041005
499074	2.7465695	-1.2534305
499091	2.759313	-1.240687
499108	2.7652885	-1.2347115
499124	2.7588725	-1.2411275
499141	2.815494	-1.184506
499158	2.767491	-1.232509
499174	2.7812155	-1.2187845
499191	2.744696	-1.255304
499208	2.767724	-1.232276
499224	2.7587535	-1.2412465
499241	2.7537285	-1.2462715
499257	2.735295	-1.264705
499274	2.7333235	-1.2666765
499291	2.7794855	-1.2205145
499307	2.745574	-1.254426
499324	2.736134	-1.263866
499341	2.713762	-1.286238
499357	2.736689	-1.263311
499374	2.7222985	-1.2777015
499391	2.728548	-1.271452
499407	2.700019	-1.299981
499424	2.7030705	-1.2969295
499441	2.6953525	-1.3046475
499457	2.677	-1.323
499474	2.714663	-1.285337
499491	2.7024455	-1.2975545
499507	2.6283625	-1.3716375
499524	2.621165	-1.378835
499557	2.75945	-1.24055
499574	2.7193955	-1.2806045
499591	2.7423555	-1.2576445
499607	2.786749	-1.213251
499624	2.8022025	-1.1977975
499641	2.7832505	-1.2167495
499657	2.8083155	-1.1916845
499674	2.7979945	-1.2020055
499691	2.777487	-1.222513
499707	2.78258	-1.21742
499724	2.796365	-1.203635
499741	2.696654	-1.303346
499757	2.730133	-1.269867
499790	2.766874	-1.233126
499807	2.8029515	-1.1970485
499824	2.769227	-1.230773
499840	2.764796	-1.235204
499857	2.7628645	-1.2371355
499874	2.817283	-1.182717
499890	2.8090395	-1.1909605
499907	2.8182095	-1.1817905
499924	2.817873	-1.182127
499940	2.757299	-1.242701
499974	2.8510015	-1.1489985
499990	2.836854	-1.163146
500007	2.8461435	-1.1538565
500024	2.8678405	-1.1321595
500040	2.8628405	-1.1371595
500057	2.8572545	-1.1427455
500074	2.8867025	-1.1132975
500090	2.870396	-1.129604
500107	2.88028	-1.11972
500124	2.854892	-1.145108
500140	2.893338	-1.106662
500157	2.9204655	-1.0795345
500390	2.912183	-1.087817
500407	2.7755465	-1.2244535
500423	2.931202	-1.068798
500440	2.936553	-1.063447
500457	2.950915	-1.049085
500473	2.9256225	-1.0743775
500490	2.9059815	-1.0940185
500507	2.9340185	-1.0659815
500523	2.948349	-1.051651
500540	2.955655	-1.044345
500557	2.944296	-1.055704
500573	2.9688995	-1.0311005
500590	2.9813695	-1.0186305
500607	2.971627	-1.028373
500623	2.941122	-1.058878
500640	2.924705	-1.075295
500657	2.92086	-1.07914
500673	2.959313	-1.040687
500690	2.978254	-1.021746
500707	2.95761	-1.04239
500723	2.850003	-1.149997
500740	2.9570875	-1.0429125
500757	2.919453	-1.080547
500773	2.9365635	-1.0634365
500790	2.918625	-1.081375
500806	2.9033845	-1.0966155
500823	2.891531	-1.108469
500840	2.871279	-1.128721
500856	2.771884	-1.228116
500873	2.8885145	-1.1114855
500890	2.8066475	-1.1933525
500906	2.895581	-1.104419
500923	2.840596	-1.159404
500940	2.8747245	-1.1252755
500956	2.8573365	-1.1426635
500973	2.855253	-1.144747
500990	2.830847	-1.169153
501006	2.8157375	-1.1842625
501023	2.824478	-1.175522
501040	2.8245685	-1.1754315
501056	2.8273295	-1.1726705
501073	2.833122	-1.166878
501090	2.8292125	-1.1707875
501106	2.8222965	-1.1777035
501123	2.8086235	-1.1913765
501139	2.805025	-1.194975
501156	2.894569	-1.105431
501173	2.906294	-1.093706
501189	2.906663	-1.093337
501206	2.8650115	-1.1349885
501223	2.8284275	-1.1715725
501239	2.8456765	-1.1543235
501256	2.8273735	-1.1726265
501273	2.8400485	-1.1599515
501289	2.8092845	-1.1907155
501306	2.8573035	-1.1426965
501323	2.84953	-1.15047
501339	2.8523775	-1.1476225
501356	2.833618	-1.166382
501373	2.834449	-1.165551
501389	2.8146845	-1.1853155
501406	2.8294095	-1.1705905
501423	2.819397	-1.180603
501439	2.80776	-1.19224
501456	2.834751	-1.165249
501473	2.8197235	-1.1802765
501489	2.85767	-1.14233
501506	2.8216605	-1.1783395
501523	2.8248465	-1.1751535
501539	2.8249155	-1.1750845
501556	2.8544545	-1.1455455
501573	2.8785345	-1.1214655
501589	2.8772375	-1.1227625
501606	2.8532975	-1.1467025
501623	2.8573695	-1.1426305
501639	2.8625315	-1.1374685
501656	2.858014	-1.141986
501672	2.8767005	-1.1232995
501689	2.8688945	-1.1311055
501706	2.835883	-1.164117
501722	2.8365455	-1.1634545
501739	2.822923	-1.177077
501756	2.807289	-1.192711
501772	2.8332445	-1.1667555
501789	2.819599	-1.180401
501806	2.8209725	-1.1790275
501822	2.823944	-1.176056
501839	2.8066545	-1.1933455
501856	2.8149795	-1.1850205
501872	2.8243515	-1.1756485
501889	2.800708	-1.199292
501906	2.8526545	-1.1473455
501922	2.8217905	-1.1782095
501939	2.828	-1.172
501956	2.801719	-1.198281
501972	2.818208	-1.181792
501989	2.8126615	-1.1873385
502006	2.833635	-1.166365
502022	2.823115	-1.176885
502039	2.8144065	-1.1855935
502056	2.8138505	-1.1861495
502072	2.8200685	-1.1799315
502089	2.820304	-1.179696
502106	2.8406565	-1.1593435
502122	2.8372815	-1.1627185
502139	2.845775	-1.154225
502156	2.8531815	-1.1468185
502172	2.837829	-1.162171
502189	2.8429375	-1.1570625
502205	2.83962	-1.16038
502222	2.836183	-1.163817
502239	2.8427245	-1.1572755
502255	2.8421325	-1.1578675
502272	2.8518295	-1.1481705
502289	2.858791	-1.141209
502305	2.822656	-1.177344
502322	2.8409405	-1.1590595
502339	2.8286605	-1.1713395
502355	2.8264585	-1.1735415
502372	2.8542135	-1.1457865
502389	2.8454185	-1.1545815
502405	2.826128	-1.173872
502422	2.83573	-1.16427
502439	2.824432	-1.175568
502455	2.8342535	-1.1657465
502472	2.836058	-1.163942
502489	2.835334	-1.164666
502505	2.8379665	-1.1620335
502522	2.8354875	-1.1645125
502539	2.855519	-1.144481
502555	2.8257985	-1.1742015
502572	2.8416525	-1.1583475
502589	2.8738705	-1.1261295
502605	2.868249	-1.131751
502622	2.8734035	-1.1265965
502639	2.847146	-1.152854
502655	2.850274	-1.149726
502672	2.84881	-1.15119
502689	2.7882115	-1.2117885
502705	2.825553	-1.174447
502738	2.8553325	-1.1446675
502755	2.851807	-1.148193
502772	2.855125	-1.144875
502788	2.820823	-1.179177
502805	2.8492905	-1.1507095
502822	2.872216	-1.127784
502838	2.8572055	-1.1427945
502855	2.859862	-1.140138
502872	2.8687475	-1.1312525
502888	2.8962225	-1.1037775
502905	2.879057	-1.120943
502922	2.9005725	-1.0994275
502938	2.9180625	-1.0819375
502955	2.87587	-1.12413
502972	2.8823105	-1.1176895
502988	2.871405	-1.128595
503005	2.9063355	-1.0936645
503022	2.884593	-1.115407
503038	2.9013455	-1.0986545
503055	2.880557	-1.119443
503072	2.870862	-1.129138
503088	2.8869155	-1.1130845
503105	2.906971	-1.093029
503122	2.917449	-1.082551
503138	2.86591	-1.13409
503155	2.8808835	-1.1191165
503172	2.8810435	-1.1189565
503188	2.894183	-1.105817
503205	2.864439	-1.135561
503222	2.852688	-1.147312
503238	2.850903	-1.149097
503255	2.8350545	-1.1649455
503288	2.892268	-1.107732
