Sc_id	aoisequence	Viz_doubleclicrate	Viz_enddistance	Viz_endpupilsize	Viz_fixationrate	Viz_leftclicrate	Viz_longestfixation	Viz_maxdistance	Viz_maxpupilsize	Viz_maxpupilvelocity	Viz_meandistance	Viz_meanfixationduration	Viz_meanpupilsize	Viz_meanpupilvelocity	Viz_mindistance	Viz_minpupilsize	Viz_minpupilvelocity	Viz_numdoubleclic	Viz_numevents	Viz_numfixations	Viz_numleftclic	Viz_numrightclic	Viz_proportionnum	Viz_proportiontime	Viz_rightclicrate	Viz_startdistance	Viz_startpupilsize	Viz_stddevdistance	Viz_stddevfixationduration	Viz_stddevpupilsize	Viz_stddevpupilvelocity	Viz_timetofirstdoubleclic	Viz_timetofirstfixation	Viz_timetofirstleftclic	Viz_timetofirstrightclic	Viz_timetolastdoubleclic	Viz_timetolastfixation	Viz_timetolastleftclic	Viz_timetolastrightclic	Viz_totaltimespent	Text_doubleclicrate	Text_enddistance	Text_endpupilsize	Text_fixationrate	Text_leftclicrate	Text_longestfixation	Text_maxdistance	Text_maxpupilsize	Text_maxpupilvelocity	Text_meandistance	Text_meanfixationduration	Text_meanpupilsize	Text_meanpupilvelocity	Text_mindistance	Text_minpupilsize	Text_minpupilvelocity	Text_numdoubleclic	Text_numevents	Text_numfixations	Text_numleftclic	Text_numrightclic	Text_proportionnum	Text_proportiontime	Text_rightclicrate	Text_startdistance	Text_startpupilsize	Text_stddevdistance	Text_stddevfixationduration	Text_stddevpupilsize	Text_stddevpupilvelocity	Text_timetofirstdoubleclic	Text_timetofirstfixation	Text_timetofirstleftclic	Text_timetofirstrightclic	Text_timetolastdoubleclic	Text_timetolastfixation	Text_timetolastleftclic	Text_timetolastrightclic	Text_totaltimespent	Refs_doubleclicrate	Refs_enddistance	Refs_endpupilsize	Refs_fixationrate	Refs_leftclicrate	Refs_longestfixation	Refs_maxdistance	Refs_maxpupilsize	Refs_maxpupilvelocity	Refs_meandistance	Refs_meanfixationduration	Refs_meanpupilsize	Refs_meanpupilvelocity	Refs_mindistance	Refs_minpupilsize	Refs_minpupilvelocity	Refs_numdoubleclic	Refs_numevents	Refs_numfixations	Refs_numleftclic	Refs_numrightclic	Refs_proportionnum	Refs_proportiontime	Refs_rightclicrate	Refs_startdistance	Refs_startpupilsize	Refs_stddevdistance	Refs_stddevfixationduration	Refs_stddevpupilsize	Refs_stddevpupilvelocity	Refs_timetofirstdoubleclic	Refs_timetofirstfixation	Refs_timetofirstleftclic	Refs_timetofirstrightclic	Refs_timetolastdoubleclic	Refs_timetolastfixation	Refs_timetolastleftclic	Refs_timetolastrightclic	Refs_totaltimespent	Bars_doubleclicrate	Bars_enddistance	Bars_endpupilsize	Bars_fixationrate	Bars_leftclicrate	Bars_longestfixation	Bars_maxdistance	Bars_maxpupilsize	Bars_maxpupilvelocity	Bars_meandistance	Bars_meanfixationduration	Bars_meanpupilsize	Bars_meanpupilvelocity	Bars_mindistance	Bars_minpupilsize	Bars_minpupilvelocity	Bars_numdoubleclic	Bars_numevents	Bars_numfixations	Bars_numleftclic	Bars_numrightclic	Bars_proportionnum	Bars_proportiontime	Bars_rightclicrate	Bars_startdistance	Bars_startpupilsize	Bars_stddevdistance	Bars_stddevfixationduration	Bars_stddevpupilsize	Bars_stddevpupilvelocity	Bars_timetofirstdoubleclic	Bars_timetofirstfixation	Bars_timetofirstleftclic	Bars_timetofirstrightclic	Bars_timetolastdoubleclic	Bars_timetolastfixation	Bars_timetolastleftclic	Bars_timetolastrightclic	Bars_totaltimespent
81_allsc	['Viz', 'Viz', 'Bars', 'Viz', 'Text', 'Text', 'Text', 'Viz', 'Viz', 'Text', 'Refs', 'Refs', 'Refs', 'Text', 'Text', 'Text', 'Text', 'Refs', 'Refs', 'Text', 'Text', 'Text', 'Text', 'Viz']	0.0	651.81	-0.235970386039	0.00352941176471	0.0	458	660.14	0.129029613961	0.008125	614.83459799	283	-0.0294502855366	0.00133031705948	586.83	-0.275970386039	0.0	0	0	6	0	0	0.25	0.171561206984	0.0	587.69	0.0790296139609	25.3507228364	nan	0.12590333883	0.00123998908186	-1	100	-1	-1	-1	1090649	-1	-1	1700	0.0	650.36	-0.115970386039	0.00509337860781	0.0	291	650.43	0.174029613961	0.01	622.548171429	196	-0.102551825433	0.00163543643264	-1	-1	-1	0	0	12	0	0	0.5	0.237763649208	0.0	-1	-1	17.9618150979	nan	0.0710974489344	0.00133498184484	-1	-1	-1	-1	-1	1004426	-1	-1	2356	0.0	650.25	-0.105970386039	0.00379939209726	0.0	283	650.25	0.0240296139609	0.0075	630.982672065	263	-0.0807903860391	0.00180834448907	-1	-1	-1	0	0	5	0	0	0.208333333333	0.132808557877	0.0	-1	-1	5.5867995683	nan	0.0510380950722	0.00142843562472	-1	-1	-1	-1	-1	933784	-1	-1	1316	0.0	602.64	0.104029613961	0.0149253731343	0.0	67	602.76	0.109029613961	0.00388888888889	594.009090909	67.0	0.0140296139609	0.00133838383838	590.31	-0.0459703860391	0.0	0	0	1	0	0	0.25	0.0687885010267	0.0	591.03	-0.0209703860391	5.12089338797	0	0.056789083458	0.00125772723825	-1	666	-1	-1	-1	666	-1	-1	67
11	['Text']	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	600.16	-0.135970386039	0.00546448087432	0.0	183	600.32	-0.0909703860391	0.004375	599.74325	183.0	-0.136345386039	0.00142881944444	599.16	-0.200970386039	0.0	0	0	1	0	0	1.0	0.184661957619	0.0	599.16	-0.135970386039	0.312248991629	0	0.0233637881483	0.00108903215478	-1	674	-1	-1	-1	674	-1	-1	183	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
27	['Refs', 'Refs']	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	630.73	-0.0709703860391	0	0.0	-1	632.44	0.0690296139609	0.01	631.783478261	-1	-0.0944486469087	0.00233393719807	630.73	-0.120970386039	0.0	0	0	0	0	0	0	0.0	0.0	632.01	-0.120970386039	0.509443624284	0	0.0409110671459	0.00235467214062	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	630.78	-0.0809703860391	0.004	0.0	275	635.92	0.00902961396087	0.0075	632.063854167	250.0	-0.0874136850082	0.00184349942726	630.78	-0.180970386039	0.0	0	0	2	0	0	1.0	0.50454086781	0.0	632.03	-0.120970386039	0.839851327434	35.3553390593	0.0433611214762	0.0014834024124	-1	399	-1	-1	-1	666	-1	-1	500	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
20	['Viz', 'Viz', 'Bars', 'Viz']	0.0	589.43	-0.0459703860391	0.00413793103448	0.0	275	591.63	0.0940296139609	0.008125	588.542385321	241.666666667	-0.0014749731951	0.00140432098765	586.83	-0.0659703860391	0.0	0	0	3	0	0	0.75	0.744353182752	0.0	587.69	0.0790296139609	1.16641655976	29.9555225849	0.0403109726477	0.00130787659246	-1	100	-1	-1	-1	741	-1	-1	725	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	592.76	0.0190296139609	0.0149253731343	0.0	67	592.76	0.0190296139609	0.00388888888889	591.065	67.0	-0.0172203860391	0.00141493055556	590.31	-0.0459703860391	0.0	0	0	1	0	0	0.25	0.0687885010267	0.0	591.03	-0.0209703860391	0.731241605568	0	0.0210017006114	0.00140758130692	-1	666	-1	-1	-1	666	-1	-1	67
18	['Text', 'Text']	0.0	604.9	0.0790296139609	0	0.0	-1	604.93	0.129029613961	0.004375	602.526938776	-1	0.0922949200833	0.00112991898148	599.19	0.0590296139609	0.0	0	0	0	0	0	0	0.0	0.0	602.75	0.129029613961	0.95313125207	0	0.013902600941	0.00100151534116	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	602.78	-0.0209703860391	0.00470588235294	0.0	217	612.99	0.174029613961	0.0075	603.102258065	212.5	0.0649671139609	0.0016192680776	602.11	-0.0259703860391	0.0	0	0	2	0	0	1.0	0.435897435897	0.0	605.25	0.0740296139609	1.73125882312	6.36396103068	0.0465890085137	0.00150545899261	-1	508	-1	-1	-1	766	-1	-1	425	0.0	602.66	-0.0259703860391	0	0.0	-1	602.66	-0.0259703860391	0.000555555555556	602.66	-1	-0.0259703860391	0.000555555555556	602.66	-0.0259703860391	0.000555555555556	0	0	0	0	0	0	0.0	0.0	602.66	-0.0259703860391	nan	0	nan	nan	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	602.64	0.104029613961	0	0.0	-1	602.76	0.109029613961	0.00222222222222	601.86	-1	0.0973629472942	0.00113425925926	600.18	0.0790296139609	0.000555555555556	0	0	0	0	0	0	0.0	0.0	600.18	0.0790296139609	1.45615933194	0	0.0160727512683	0.000942843141408	-1	-1	-1	-1	-1	-1	-1	-1	0
3	['Text', 'Refs', 'Refs']	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	627.41	-0.0809703860391	0.00343642611684	0.0	291	627.9	-0.0559703860391	0.005625	627.542894737	291.0	-0.113865122881	0.00213998538012	627.24	-0.195970386039	0.0	0	0	1	0	0	0.333333333333	0.301242236025	0.0	627.82	-0.145970386039	0.205832625454	0	0.0260879898573	0.00160766232034	-1	0	-1	-1	-1	0	-1	-1	291	0.0	627.89	-0.0159703860391	0.00358422939068	0.0	283	632.42	0.0240296139609	0.0075	627.709873418	279.0	-0.0404640569252	0.00182336182336	627.02	-0.0809703860391	0.0	0	0	2	0	0	0.666666666667	0.577639751553	0.0	627.22	-0.0509703860391	0.918851699302	5.65685424949	0.0222686818244	0.00141915242094	-1	316	-1	-1	-1	616	-1	-1	558	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
74	['Viz']	0.0	651.81	-0.235970386039	0.00218340611354	0.0	458	660.14	-0.130970386039	0.006875	651.785666667	458.0	-0.207387052706	0.00142881944444	650.85	-0.275970386039	0.0	0	0	1	0	0	1.0	0.462159434914	0.0	651.27	-0.140970386039	1.54086777544	0	0.0348657890962	0.00137883447844	-1	167	-1	-1	-1	167	-1	-1	458	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
5	['Refs', 'Text']	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	626.12	-0.160970386039	0.00480769230769	0.0	208	627.35	-0.0959703860391	0.005	623.792828283	208.0	-0.15501079008	0.00176697530864	622.71	-0.215970386039	0.0	0	0	1	0	0	0.5	0.210101010101	0.0	623.67	-0.105970386039	0.611635546417	0	0.0324247698187	0.00122471522757	-1	657	-1	-1	-1	657	-1	-1	208	0.0	628.17	-0.215970386039	0.00387596899225	0.0	258	630.14	-0.140970386039	0.00555555555556	624.925555556	258.0	-0.188720386039	0.00187847222222	622.64	-0.335970386039	0.0	0	0	1	0	0	0.5	0.260606060606	0.0	624.01	-0.150970386039	2.23562393508	0	0.0458393935387	0.00147580301458	-1	366	-1	-1	-1	366	-1	-1	258	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
72	['Text', 'Text', 'Text']	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	631.63	-0.0959703860391	0.00493421052632	0.0	250	633.34	-0.0659703860391	0.004375	630.759382716	202.666666667	-0.111402484805	0.00139574759945	627.34	-0.170970386039	0.0	0	0	3	0	0	1.0	0.613521695257	0.0	632.08	-0.105970386039	1.40443613746	41.1865673895	0.020542601023	0.000910795389744	-1	58	-1	-1	-1	533	-1	-1	608	0.0	631.6	-0.0659703860391	0	0.0	-1	633.82	-0.0559703860391	0.00625	631.691538462	-1	-0.0853293603981	0.00176816239316	630.71	-0.115970386039	0.0	0	0	0	0	0	0	0.0	0.0	631.49	-0.110970386039	0.78305252382	0	0.0182878837938	0.00147321202054	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
66	['Text', 'Text', 'Text', 'Text']	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	650.36	-0.115970386039	0.00624024960998	0.0	216	650.43	-0.0659703860391	0.005625	649.525588235	160.25	-0.107523784097	0.00160598705502	645.63	-0.185970386039	0.0	0	0	4	0	0	1.0	0.646821392533	0.0	649.4	-0.0859703860391	0.700639839866	58.2773540923	0.0204487538118	0.00137312953239	-1	175	-1	-1	-1	749	-1	-1	641	0.0	650.25	-0.105970386039	0	0.0	-1	650.25	-0.0759703860391	0.00375	649.872857143	-1	-0.0995418146106	0.00158234126984	649.44	-0.120970386039	0.0	0	0	0	0	0	0	0.0	0.0	649.44	-0.0809703860391	0.245589669397	0	0.0135062053301	0.00101009071219	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0.0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
