Sc_id	abspathanglesrate	doubleclicrate	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	keypressedrate	leftclicrate	length	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numdoubleclic	numevents	numfixations	numkeypressed	numleftclic	numrightclic	numsaccades	numsamples	numsegments	relpathanglesrate	rightclicrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration	timetofirstdoubleclic	timetofirstkeypressed	timetofirstleftclic	timetofirstrightclic	single_doubleclicrate	single_fixationrate	single_leftclicrate	single_longestfixation	single_meanfixationduration	single_numdoubleclic	single_numevents	single_numfixations	single_numleftclic	single_numrightclic	single_numtransfrom_single	single_numtransto_single	single_proportionnum	single_proportiontime	single_proptransfrom_single	single_proptransto_single	single_rightclicrate	single_stddevfixationduration	single_timetofirstdoubleclic	single_timetofirstfixation	single_timetofirstleftclic	single_timetofirstrightclic	single_timetolastdoubleclic	single_timetolastfixation	single_timetolastleftclic	single_timetolastrightclic	single_totaltimespent
101a_allsc	0.00431705560013	0.0	629.745	2.785	0.428248223451	0.0032777683988	9.02477363216	0.0	9.31807069894e-05	912206	910.452764187	150.0	719.52	3.4	0.04625	10.3140710304	1.33493017653	613.839644425	212.155183946	132.423931838	2.55511755361	0.00299819706875	1.6393613756	132.62817436	38.6603878116	2.88529827934	420.14	1.72	0.0	1.0683281573	0	85	2990	0	85	0	1805	109576	40	0.00522967575636	0.0	719.52	2.56	1.06152629973	14.0521726065	152.353878346	161.035142004	0.108304678609	0.00312275264885	1.06058821459	144.550102482	20.4082612523	1.49524521079	3938.04402077	634344	390650.598921	4770.54160301	239393.85472	69782.0	-1	-1	46425	-1	0.0	0.00511069959047	0.00114536960343	1282	195	0	44	2114	44	0	1825	1813	0.707023411371	0.453452400006	1.0	1.0	0.0	84.167226111	-1	75	15219	-1	-1	911969	-1	-1	413642
Event_72	0.00538142567442	0.0	624.455	2.875	0.469763599332	0.00384874434716	6.86722376973	0.0	9.62186086789e-05	20786	696.701058356	92.0	636.885	2.96	0.02625	7.57283759083	1.41592802618	625.745663119	184.9	123.601343996	2.6451248465	0.00292019725753	1.62527010636	127.396427228	38.4642857143	2.83687134785	619.955	2.3	0.0	1.33102452929	0	2	80	0	2	0	56	2497	1	0.00609886790611	0.0	624.24	2.72	1.03296693552	1.59107363936	112.020635531	132.502584069	0.09698629749	0.00280572251296	1.01764007809	130.023434766	17.6418554845	1.39947165608	111.858314068	14792	9764.50617572	126.771068296	7134.19992474	2154.0	-1	-1	830712	-1	0.0	0.0054105942927	4.81093043395e-05	725	184.822580645	0	1	62	1	0	57	57	0.775	0.551284518426	1.0	1.0	0.0	121.613944977	-1	208	19835	-1	-1	19629	-1	-1	11459
Event_63	0.00407819182921	0.0	625.975	2.695	0.358417801143	0.0034398034398	10.6105898123	0.0	8.9345543891e-05	22385	507.903872355	83.0	633.7	2.89	0.03375	6.77205163141	1.20118847496	625.291798313	205.597402597	105.568190508	2.5530559816	0.00301034711522	1.54607629118	94.2990035044	33.9090909091	2.57180201003	621.67	2.245	0.0	1.53497372383	0	2	77	0	2	0	44	2689	1	0.00518006351747	0.0	624.42	2.83	1.05669920658	0.794577208653	154.501427326	143.799774855	0.0867022377505	0.00303920587345	1.08515652478	85.7901649031	15.4269745362	1.09953575996	91.2903240968	15831	8023.18247858	115.955721839	4149.15615419	1492.0	-1	-1	853231	-1	0.0	0.00515384615385	4.46727719455e-05	758	194.029850746	0	1	67	1	0	62	62	0.87012987013	0.580746035291	1.0	1.0	0.0	123.104534312	-1	108	21559	-1	-1	22210	-1	-1	13000
Event_66	0.00370159341285	0.0	607.33	2.575	0.320784891745	0.00283998461675	10.0331588133	0.0	5.91663461823e-05	33803	623.239679595	84.0	626.32	2.75	0.04	7.41951999518	1.31710486458	606.43019872	239.541666667	114.142017849	2.50494931982	0.0028210178242	1.50627286993	113.641152812	35.8125	2.67279229451	581.95	2.115	0.0	1.37192270026	0	2	96	0	2	0	64	4060	1	0.00418867111716	0.0	600.935	2.75	1.0880572378	4.13067937273	203.117747374	156.656249827	0.10501326385	0.00311763084989	1.07350427172	120.97229011	18.0615130587	1.30351014895	125.124962135	22996	10843.4916957	141.589649773	7273.03377997	2292.0	-1	-1	347865	-1	0.0	0.00443661971831	2.95831730911e-05	966	225.396825397	0	1	63	1	0	52	52	0.65625	0.420081057894	1.0	1.0	0.0	184.558893449	-1	125	32709	-1	-1	33354	-1	-1	14200
Event_43	0.00460473291442	0.0	619.14	2.595	0.489880416827	0.00340402222396	8.71035747021	0.0	7.82533844589e-05	25558	739.043170336	92.0	629.1	2.96	0.04625	8.03307793843	1.36846237008	619.511460544	218.459770115	145.58562434	2.56908322281	0.00269881216491	1.61214101465	135.613273273	38.2807017544	2.8502716868	614.895	2.15	0.0	1.35545115839	0	2	87	0	2	0	57	3070	1	0.00536160835141	0.0	618.05	2.55	0.991305457045	1.05204583782	128.255631781	172.55703353	0.0951233642778	0.00285258082555	0.974206465408	159.620602499	20.9350648997	1.56655433188	117.687763827	19006	12520.3636933	137.031986245	7729.95657656	2182.0	-1	-1	538018	-1	0.0	0.00452171201372	3.91266922294e-05	625	221.155172414	0	1	58	1	0	48	48	0.666666666667	0.501878081227	1.0	1.0	0.0	127.87806716	-1	100	24465	-1	-1	25134	-1	-1	12827
Event_42	0.00431233300705	0.0	625.795	2.675	0.404257468581	0.00331906445809	9.3753403345	0.0	6.20385880017e-05	32238	480.046743241	108.0	645.2	2.955	0.03375	5.87839879164	1.31151878756	627.003551833	225.271028037	122.947662944	2.49398839356	0.00305825974982	1.48747549174	129.599399484	38.9545454545	2.87431062334	616.705	2.03	0.0	1.25582149367	0	2	107	0	2	0	66	3872	1	0.00484474615772	0.0	624.815	2.595	0.980013031694	3.59493961071	165.230631845	134.261275157	0.123416134867	0.0033938535907	0.955609945075	121.045536295	20.3344586795	1.21236547051	139.020991481	24104	13032.4522721	156.184926633	8553.56036596	2571.0	-1	-1	653126	-1	0.0	0.00485407066052	3.10192940009e-05	824	206.012658228	0	1	79	1	0	66	66	0.738317757009	0.504839009864	1.0	1.0	0.0	162.279317107	-1	34	31377	-1	-1	31572	-1	-1	16275
Event_41	0.00497402015804	0.0	599.62	2.68	0.352093499254	0.00350367886281	9.26662580447	0.0	7.50788327744e-05	39958	609.166185175	83.0	613.47	2.88	0.0288888888889	8.12221580233	1.42986976601	597.991423304	215.978571429	101.215482325	2.54495364517	0.00265063877168	1.6770078425	108.234653978	35.0860215054	2.70028095019	589.87	2.2	0.0	1.26311923487	0	3	140	0	3	0	93	4799	1	0.00579175840293	0.0	593.145	2.685	1.06499514292	2.71569974839	140.457908278	115.962926145	0.0834289382341	0.0028064052872	1.09026839526	104.22297155	15.2227346526	1.22211460556	198.751897475	30237	14068.9520432	231.427082264	10065.8228199	3263.0	-1	-1	227576	-1	0.0	0.00468841570619	5.00525551829e-05	858	213.291666667	0	2	96	2	0	84	84	0.685714285714	0.512438059963	1.0	1.0	0.0	134.290879627	-1	0	38481	-1	-1	39775	-1	-1	20476
Event_46	0.00383518718791	0.0	609.95	2.735	0.363401370127	0.00292981189758	10.3300673607	0.0	8.49220839879e-05	23551	773.561902108	100.0	642.825	2.93	0.0255555555556	10.2189388928	1.32827196268	608.823337269	244.47826087	125.859789233	2.55261904762	0.00247616455529	1.46279482382	130.497143447	36.2888888889	2.89376394853	539.76	1.94	0.0	1.40894993665	0	2	69	0	2	0	45	2829	1	0.00416149009367	0.0	610.945	2.48	1.02399243431	9.14697855432	150.44000257	163.356460105	0.100472594371	0.00259549810232	1.07042924366	169.58063459	19.4464558844	1.77060481268	90.3224934626	16869	8558.46566785	98.007253196	5872.37145512	1633.0	-1	-1	428829	-1	0.0	0.0045049272642	4.2461041994e-05	916	221.979166667	0	1	48	1	0	43	42	0.695652173913	0.452422402446	1.0	1.0	0.0	148.924297431	-1	0	22981	-1	-1	22160	-1	-1	10655
Event_45	0.00471488897832	0.0	594.97	2.67	0.320833844171	0.00324886289799	9.81411269089	0.0	8.66363439463e-05	23085	415.642773077	83.0	605.75	2.8	0.0255555555556	6.20362347875	1.47085421709	595.155764749	248.493333333	100.087152604	2.58172614712	0.00230779945701	1.60472376375	105.897274663	35.8301886792	2.63203697977	586.16	2.23	0.0	1.0683281573	0	2	75	0	2	0	53	2773	1	0.00507450009763	0.0	595.72	2.64	0.956293165223	4.23653878445	149.166909356	101.437920782	0.0805759505779	0.00223108660062	1.10754028797	87.0005015767	14.7631764472	1.074967838	108.843212064	18637	7406.44929268	117.144834754	5612.55555716	1899.0	-1	-1	83461	-1	0.0	0.00407135983418	4.33181719731e-05	749	245.618181818	0	1	55	1	0	50	49	0.733333333333	0.585185185185	1.0	1.0	0.0	158.828406232	-1	17	22058	-1	-1	22827	-1	-1	13509
Event_44	0.0040908795011	0.0	587.09	2.71	0.488240960022	0.003300330033	8.63793626707	0.0	5.28052805281e-05	37875	733.987401538	100.0	616.15	2.805	0.0222222222222	8.46652437147	1.24953275084	594.546514676	227.696	149.130051297	2.55545821197	0.00231638126998	1.67988587032	140.763737195	41.1875	2.86919249539	583.785	2.235	0.0	1.39313830722	0	2	125	0	2	0	80	4549	1	0.00545547094521	0.0	595.69	2.71	1.01174076837	6.06243783669	171.709066775	168.0376034	0.075380831943	0.00236236089463	1.05452672714	150.610611766	19.3437222015	1.54387392747	154.942061104	28462	18492.1263608	206.62596205	11261.0989756	3295.0	-1	-1	121670	-1	0.0	0.00473280613468	2.6402640264e-05	858	211.291139241	0	1	79	1	0	65	65	0.632	0.440712871287	1.0	1.0	0.0	138.748079395	-1	175	37165	-1	-1	37101	-1	-1	16692
