right_pupil_validity;right_gaze_point_on_display_area;left_gaze_origin_validity;system_time_stamp;right_gaze_origin_in_user_coordinate_system;left_gaze_point_in_user_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_pupil_validity;right_pupil_diameter;left_gaze_origin_in_trackbox_coordinate_system;right_gaze_point_in_user_coordinate_system;left_pupil_diameter;right_gaze_origin_validity;left_gaze_point_validity;right_gaze_point_validity;left_gaze_point_on_display_area;right_gaze_origin_in_trackbox_coordinate_system;device_time_stamp
1;(0.13755352795124054, 0.6365429759025574);1;1.56466617033e+15;(-17.85668182373047, 97.64763641357422, 634.5851440429688);(-232.8424530029297, 129.14559936523438, 38.959293365478516);(-78.99529266357422, 90.70268249511719, 628.6882934570312);1;2.97882080078;(0.6725460290908813, 0.22955726087093353, 0.4801815152168274);(-216.38055419921875, 131.5557403564453, 39.83646774291992);3.37985229492;1;1;1;(0.10997918248176575, 0.6441805958747864);(0.5335636734962463, 0.2119835466146469, 0.4846046268939972);491999899
1;(0.13900353014469147, 0.6359822750091553);1;1.56466617034e+15;(-17.438276290893555, 97.6382827758789, 634.513671875);(-233.43211364746094, 127.82527160644531, 38.47876739501953);(-78.57869720458984, 90.85614013671875, 628.6541748046875);1;2.97499084473;(0.6716105937957764, 0.22908362746238708, 0.4800555408000946);(-215.514892578125, 131.732666015625, 39.90090560913086);3.38262939453;1;1;1;(0.10899145901203156, 0.6483645439147949);(0.5326278209686279, 0.21198301017284393, 0.484437495470047);492011002
1;(0.14776018261909485, 0.6354550123214722);1;1.56466617035e+15;(-17.157691955566406, 97.69730377197266, 634.5631713867188);(-230.95896911621094, 128.3781280517578, 38.67997360229492);(-78.45616912841797, 90.92415618896484, 628.70068359375);1;2.98294067383;(0.671319305896759, 0.2289000302553177, 0.48013609647750854);(-210.2871856689453, 131.8990478515625, 39.96146011352539);3.3759765625;1;1;1;(0.11313412338495255, 0.6466127634048462);(0.5319935083389282, 0.21183212101459503, 0.48453807830810547);492022105
1;(0.1792738139629364, 0.6337354779243469);1;1.56466617037e+15;(-16.860422134399414, 97.80099487304688, 634.5719604492188);(-215.74029541015625, 133.0493927001953, 40.38016891479492);(-78.1737289428711, 91.07648468017578, 628.7470092773438);1;3.01164245605;(0.6706649661064148, 0.22846361994743347, 0.4802013039588928);(-191.47354125976562, 132.441650390625, 40.158958435058594);3.39109802246;1;1;1;(0.13862603902816772, 0.6318097114562988);(0.5313237309455872, 0.21152882277965546, 0.48457127809524536);492033208
1;(0.27016156911849976, 0.5753880739212036);1;1.56466617038e+15;(-16.141143798828125, 98.21128845214844, 635.0809326171875);(-168.4641876220703, 152.6158905029297, 47.501747131347656);(-77.58016967773438, 91.57770538330078, 629.4127807617188);1;3.02561950684;(0.6691303253173828, 0.2272503674030304, 0.481507807970047);(-137.2135467529297, 150.8538055419922, 46.86041259765625);3.41081237793;1;1;1;(0.21781544387340546, 0.5698040723800659);(0.5296740531921387, 0.21054378151893616, 0.48566529154777527);492044311
1;(0.3252921998500824, 0.5309959650039673);1;1.56466617039e+15;(-15.705892562866211, 98.46207427978516, 635.142822265625);(-157.7575225830078, 156.06747436523438, 48.75802230834961);(-77.4690170288086, 91.66667175292969, 629.5067138671875);1;3.00701904297;(0.6688518524169922, 0.22702465951442719, 0.481690913438797);(-104.30057525634766, 164.8621826171875, 51.95905303955078);3.42419433594;1;1;1;(0.23574958741664886, 0.5588661432266235);(0.5286902189254761, 0.20982687175273895, 0.485842764377594);492055414
1;(0.3650474548339844, 0.49018988013267517);1;1.5646661704e+15;(-15.357085227966309, 98.69158172607422, 635.2261352539062);(-129.85400390625, 172.72605895996094, 54.821258544921875);(-77.05340576171875, 92.02442932128906, 629.6849975585938);1;2.96926879883;(0.6678584814071655, 0.2260294109582901, 0.4820435643196106);(-80.5666732788086, 177.7389678955078, 56.64582443237305);3.375;1;1;1;(0.282489150762558, 0.5060756206512451);(0.5278998613357544, 0.2091827392578125, 0.4860607981681824);492066517
1;(0.4345338046550751, 0.45608997344970703);1;1.56466617041e+15;(-14.704039573669434, 99.0112075805664, 634.6185302734375);(-75.61891174316406, 189.52410888671875, 60.9352912902832);(-76.10456085205078, 92.56377410888672, 628.95751953125);1;2.94355773926;(0.6659042239189148, 0.22409041225910187, 0.4805428385734558);(-39.08333206176758, 188.4995574951172, 60.5623779296875);3.35508728027;1;1;1;(0.37333518266677856, 0.45284324884414673);(0.5264601707458496, 0.20794989168643951, 0.4849282205104828);492077620
1;(0.4734189212322235, 0.4444923996925354);1;1.56466617042e+15;(-14.388786315917969, 99.17657470703125, 634.4743041992188);(-66.59123229980469, 190.82275390625, 61.407955169677734);(-76.01720428466797, 92.63197326660156, 628.9418334960938);1;2.93896484375;(0.6657098531723022, 0.22387854754924774, 0.4805110991001129);(-15.868929862976074, 192.15928649902344, 61.89441680908203);3.36428833008;1;1;1;(0.38845691084861755, 0.44872787594795227);(0.5257567167282104, 0.2073906511068344, 0.48468005657196045);492088724
1;(0.49864956736564636, 0.444519579410553);1;1.56466617043e+15;(-14.111361503601074, 99.32911682128906, 634.4403686523438);(-48.67307662963867, 194.00526428222656, 62.5662841796875);(-75.72332000732422, 92.82998657226562, 628.9421997070312);1;2.94244384766;(0.6650421023368835, 0.22328440845012665, 0.4804995059967041);(-0.8062468767166138, 192.15074157714844, 61.89128112792969);3.37477111816;1;1;1;(0.4184705913066864, 0.43864262104034424);(0.5251328945159912, 0.2069208025932312, 0.48464784026145935);492099827
