System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 61
Recording date:	 27/09/2011
Recording time:	 1:13:39 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 5:06:20 PM

Participant:	 P105
Participant properties:

Glasses:	 glasses
Previous Experience with the CSP Applet:	 None
Hand:	 right
221:	 Complete
Previous Experience with AISpace:	 None
Sex:	 m
322:	 Current

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
8091	LeftMouseClick	1	666	443		
8985	LeftMouseClick	1	593	638		
9447	LogData	0	Load 1st Problem			
13461	LeftMouseClick	1	347	483		
15027	LeftMouseClick	1	756	442		
15337	LeftMouseClick	1	754	443		
27164	LeftMouseClick	1	340	493		
30154	LeftMouseClick	1	656	442		
31202	LeftMouseClick	1	817	436		
32495	LeftMouseClick	1	146	80		
35673	LeftMouseClick	1	178	76		
35956	LeftMouseClick	1	212	73		
38731	LeftMouseClick	1	149	30		
41584	LeftMouseClick	1	315	91		
41946	LeftMouseClick	1	296	214		
42634	LeftMouseClick	1	128	68		
43208	LeftMouseClick	1	60	67		
44153	LeftMouseClick	1	219	69		
45264	LeftMouseClick	1	55	76		
46735	LeftMouseClick	1	55	76		
47295	LeftMouseClick	1	55	76		
47933	LeftMouseClick	1	55	76		
48363	LeftMouseClick	1	55	76		
49477	LeftMouseClick	1	349	75		
50575	LeftMouseClick	1	45	104		
51379	LeftMouseClick	1	74	108		
51815	LeftMouseClick	1	127	80		
53179	LeftMouseClick	1	44	65		
58692	LogData	0	Distracted Start	 		
59697	LogData	0	Distracted End	 		
61454	LeftMouseClick	1	44	65		
62886	LeftMouseClick	1	37	68		
64251	LeftMouseClick	1	37	68		
74720	LeftMouseClick	1	37	68		
75474	LeftMouseClick	1	37	68		
76052	LeftMouseClick	1	37	68		
76570	LeftMouseClick	1	37	68		
77308	LeftMouseClick	1	37	68		
77802	LeftMouseClick	1	37	68		
78404	LeftMouseClick	1	37	68		
78882	LeftMouseClick	1	37	68		
79624	LeftMouseClick	1	37	68		
80258	LeftMouseClick	1	37	68		
83468	LeftMouseClick	1	323	446		
84886	LeftMouseClick	1	656	535		
85388	LeftMouseClick	1	615	568		
88766	LeftMouseClick	1	54	81		
90383	LeftMouseClick	1	53	81		
91376	LeftMouseClick	1	53	81		
91846	LeftMouseClick	1	53	81		
93551	LeftMouseClick	1	53	81		
94685	LeftMouseClick	1	53	81		
95272	LeftMouseClick	1	53	81		
97332	LeftMouseClick	1	53	81		
98402	LeftMouseClick	1	53	81		
98940	LeftMouseClick	1	53	81		
99617	LeftMouseClick	1	53	81		
104119	LeftMouseClick	1	276	73		
106094	LeftMouseClick	1	55	77		
107367	LeftMouseClick	1	55	77		
107953	LeftMouseClick	1	55	77		
108539	LeftMouseClick	1	55	77		
109025	LeftMouseClick	1	55	77		
109503	LeftMouseClick	1	55	77		
109945	LeftMouseClick	1	55	77		
110527	LeftMouseClick	1	55	77		
111181	LeftMouseClick	1	55	77		
111591	LeftMouseClick	1	55	77		
116451	LeftMouseClick	1	55	77		
118853	LeftMouseClick	1	337	73		
120273	LeftMouseClick	1	64	69		
120786	LeftMouseClick	1	64	69		
121364	LeftMouseClick	1	64	69		
121590	LeftMouseClick	1	64	69		
122605	LeftMouseClick	1	329	464		
123593	LeftMouseClick	1	577	498		
124188	LeftMouseClick	1	598	563		
125540	LeftMouseClick	1	48	80		
125961	LeftMouseClick	1	48	80		
126371	LeftMouseClick	1	48	80		
126881	LeftMouseClick	1	48	80		
127539	LeftMouseClick	1	48	80		
129520	LeftMouseClick	1	48	80		
130358	LeftMouseClick	1	48	80		
131085	LeftMouseClick	1	48	80		
132338	LeftMouseClick	1	48	80		
132671	LeftMouseClick	1	48	80		
133310	LeftMouseClick	1	48	80		
134776	LeftMouseClick	1	48	80		
135190	LeftMouseClick	1	48	80		
