Data properties:

Recording date: 27/09/2011
Recording time: 17:05:34:000 (corresponds to time 0)
Study: Interacting with the CSP applet
Subject: P106
Recording: Rec 62
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
19	154	550	550	453	
20	703	550	616	453	
21	1253	266	101	245	
22	1519	250	37	68	
23	1769	200	568	388	
24	1969	516	274	905	
25	2485	183	83	404	
26	2669	233	64	57	
27	2902	200	622	352	
28	3102	216	553	399	
29	3318	5913	571	458	
30	9231	649	607	646	
31	9880	716	570	446	
32	10596	400	630	415	
33	10996	167	331	427	
34	11163	366	319	466	
35	11529	233	268	120	
36	11762	166	215	96	
37	11929	633	74	97	
38	12562	1033	12	105	
39	13594	183	408	362	
40	13778	300	320	438	
41	14077	300	319	478	
42	14377	916	646	389	
43	15293	500	956	304	
44	15793	350	826	553	
45	16143	450	519	624	
46	16592	233	690	781	
47	16825	183	637	219	
48	17009	516	578	167	
49	17525	283	658	151	
50	17808	483	699	156	
51	18291	233	78	66	
52	18524	150	9	57	
53	18674	466	670	275	
54	19141	233	650	358	
55	19374	866	644	396	
56	20240	200	758	359	
57	20440	383	957	321	
58	20823	899	642	390	
59	21722	533	302	477	
60	22255	300	657	401	
61	22555	283	911	322	
62	22838	533	550	407	
63	23371	133	355	444	
64	23504	750	323	496	
65	24254	750	528	615	
66	25004	233	901	440	
67	25237	600	954	325	
68	25836	733	836	534	
69	26569	350	956	330	
70	26919	117	965	291	
71	27035	566	717	781	
72	27602	516	824	549	
73	28118	650	637	394	
74	28768	400	828	572	
75	29167	766	511	629	
76	29933	283	717	725	
77	30217	183	681	771	
78	30400	217	467	577	
79	30616	183	361	484	
80	30799	200	328	502	
81	30999	400	541	627	
82	31399	133	436	533	
83	31532	583	373	483	
84	32115	550	370	93	
85	32665	216	197	81	
86	32881	466	84	76	
87	33348	450	264	99	
88	33797	167	447	408	
89	33964	200	324	422	
90	34164	233	135	95	
91	34397	650	325	451	
92	35047	883	608	527	
93	35929	466	677	557	
94	36396	500	629	516	
95	36895	550	683	550	
96	37445	316	597	580	
97	37761	350	625	508	
98	38111	166	387	474	
99	38278	183	340	472	
100	38461	483	525	607	
101	38944	766	650	396	
102	39710	216	357	466	
103	39927	433	606	515	
104	40360	333	914	343	
105	40693	300	634	382	
106	40993	233	168	81	
107	41226	200	210	117	
108	41426	600	290	104	
109	42025	933	93	95	
110	42958	366	129	93	
111	43324	233	244	102	
112	43557	350	83	91	
113	43907	899	130	108	
114	44807	566	554	492	
115	45373	333	743	377	
116	45706	1149	657	395	
117	46855	183	614	644	
118	47038	450	882	439	
119	47488	683	836	558	
120	48171	216	931	352	
121	48387	616	969	317	
122	49004	400	334	457	
123	49403	283	696	794	
124	49687	166	591	390	
125	49853	516	653	384	
126	50369	283	353	464	
127	50653	433	532	638	
128	51086	216	375	505	
129	51302	433	320	477	
130	51735	733	524	612	
131	52468	266	353	373	
132	52734	133	409	409	
133	52868	733	331	468	
134	53600	300	582	529	
135	53900	483	644	507	
136	54383	983	588	547	
137	55366	200	635	409	
138	55566	150	920	316	
139	55716	300	965	324	
140	56016	200	776	665	
141	56216	233	697	783	
142	56449	416	633	515	
143	56865	183	389	482	
144	57049	183	511	616	
145	57232	333	192	94	
146	57565	200	274	100	
147	57765	250	151	82	
148	58015	650	94	81	
149	58664	416	427	417	
150	59081	1199	648	393	
151	60280	1482	685	531	
152	61762	833	730	438	
153	62595	616	613	555	
154	63211	1416	837	443	
155	64627	283	470	416	
156	64910	766	620	397	
157	65676	500	505	546	
158	66176	316	654	257	
159	66492	683	227	113	
160	67175	183	691	190	
161	67358	816	643	376	
162	68175	233	362	448	
163	68408	583	688	406	
164	68991	166	539	442	
165	69157	749	971	329	
166	69907	316	310	462	
167	70223	516	239	84	
168	70740	316	296	93	
169	71056	433	380	113	
170	71489	216	337	273	
171	71706	216	501	357	
172	71922	233	612	421	
173	72155	416	343	478	
174	72572	150	665	746	
175	72722	366	720	788	
176	73088	183	386	150	
177	73271	266	292	101	
178	73538	366	99	91	
179	73904	283	317	454	
180	74187	133	554	415	
181	74320	683	339	460	
182	75003	1166	630	513	
183	76169	533	615	560	
184	76702	200	661	550	
185	76902	200	702	544	
186	77102	433	617	555	
187	77535	366	340	472	
188	77902	500	269	82	
189	78401	167	324	84	
190	78568	350	360	94	
191	78917	600	112	92	
192	79517	250	548	379	
193	79767	1133	647	399	
