[BeGaze]
Converted from:	E:\SMI from 3-25-15\MT430PN56168-[631e0eca-3d36-4d8c-a365-e1f44a5da588]\MT430PN56168-eye_data.idf
Date:	09.06.2015 15:27:25
Version:	BeGaze 3.5.90
Sample Rate:	120
Subject:	MT430PN56168
Description:	Run67
Stimulus:	mt430pn56168-scrrec.avi

Table Header for Fixations:
Event Type,Trial,Number,Start,End,Duration,Location X,Location Y,Dispersion X,Dispersion Y,AOI hit,Image,Plane,Avg. Pupil Size X,Avg. Pupil Size Y

Table Header for Saccades:
Event Type,Trial,Number,Start,End,Duration,Start Loc.X,Start Loc.Y,End Loc.X,End Loc.Y,Amplitude,Peak Speed,Peak Speed At,Average Speed,Peak Accel.,Peak Decel.,Average Accel.

Table Header for Blinks:
Event Type,Trial,Number,Start,End,Duration

Table Header for User Events:
Event Type,Trial,Number,Start,Description

UserEvent,1,1,167531284088,# Message: MT430PN56168-scrrec.avi
Saccade L,1,1,167531286064,167531377718,91654,815.24,692.39,937.58,796.65,3.70,149.36,0.91,40.35,6611.11,-6006.69,2106.03
Saccade R,1,1,167531286064,167531377718,91654,815.24,692.39,937.58,796.65,3.70,149.36,0.91,40.35,6611.11,-6006.69,2106.03
Fixation L,1,1,167531377718,167531619504,241786,951.83,791.40,47,48,-,-,-1,16.42,16.42
Fixation R,1,1,167531377718,167531619504,241786,951.83,791.40,47,48,-,-,-1,16.58,16.58
Saccade L,1,2,167531619504,167531627759,8255,945.94,769.94,948.59,765.62,0.11,17.57,1.00,13.50,327.65,110.69,191.79
Saccade R,1,2,167531619504,167531627759,8255,945.94,769.94,948.59,765.62,0.11,17.57,1.00,13.50,327.65,110.69,191.79
Fixation L,1,2,167531627759,167531931233,303474,940.24,751.16,36,19,-,-,-1,16.42,16.42
Fixation R,1,2,167531627759,167531931233,303474,940.24,751.16,36,19,-,-,-1,16.83,16.83
Saccade L,1,3,167531931233,167532003323,72090,953.63,746.22,1561.77,1118.13,48.44,1353.81,1.00,671.91,55650.62,-80284.31,29092.58
Saccade R,1,3,167531931233,167532003323,72090,953.63,746.22,1561.77,1118.13,48.44,1353.81,1.00,671.91,55650.62,-80284.31,29092.58
Fixation L,1,3,167532003323,167532253306,249983,1583.81,1101.81,66,25,-,-,-1,16.10,16.10
Fixation R,1,3,167532003323,167532253306,249983,1583.81,1101.81,66,25,-,-,-1,16.53,16.53
Saccade L,1,4,167532253306,167532278316,25010,1628.03,1092.84,1588.73,1067.77,1.84,112.06,1.00,73.59,2821.88,-5774.38,2402.81
Saccade R,1,4,167532253306,167532278316,25010,1628.03,1092.84,1588.73,1067.77,1.84,112.06,1.00,73.59,2821.88,-5774.38,2402.81
Fixation L,1,4,167532278316,167532411863,133547,1598.58,1052.79,17,58,-,-,-1,15.85,15.85
Fixation R,1,4,167532278316,167532411863,133547,1598.58,1052.79,17,58,-,-,-1,16.12,16.12
Saccade L,1,5,167532411863,167532495190,83327,1590.61,1032.57,1597.99,1035.40,6.29,235.86,0.10,75.47,13500.99,-13204.45,5488.10
Saccade R,1,5,167532411863,167532495190,83327,1590.61,1032.57,1597.99,1035.40,6.29,235.86,0.10,75.47,13500.99,-13204.45,5488.10
Fixation L,1,5,167532495190,167532687047,191857,1610.52,1046.86,50,35,-,-,-1,15.98,15.98
Fixation R,1,5,167532495190,167532687047,191857,1610.52,1046.86,50,35,-,-,-1,16.16,16.16
Saccade L,1,6,167532687047,167532954041,266994,1621.17,1069.25,626.21,1030.42,33.82,475.29,0.75,126.68,18897.57,-13113.50,4949.13
Saccade R,1,6,167532687047,167532954041,266994,1621.17,1069.25,626.21,1030.42,33.82,475.29,0.75,126.68,18897.57,-13113.50,4949.13
Fixation L,1,6,167532954041,167533537935,583894,634.82,1058.25,26,51,-,-,-1,16.49,16.49
Fixation R,1,6,167532954041,167533537935,583894,634.82,1058.25,26,51,-,-,-1,15.92,15.92
Blink L,1,1,167533563021,167533654782,91761
Blink R,1,1,167533563021,167533679768,116747
Saccade L,1,7,167533654782,167533679768,24986,1018.16,919.86,929.32,477.68,19.42,1751.58,0.00,777.19,-15179.75,-83045.50,38701.32
Fixation L,1,7,167533679768,167534055131,375363,918.44,491.86,51,47,-,-,-1,15.31,15.31
Fixation R,1,7,167533679768,167534055131,375363,918.44,491.86,51,47,-,-,-1,15.38,15.38
Saccade L,1,8,167534055131,167534063501,8370,896.36,511.90,895.63,517.21,0.08,10.72,1.00,9.67,17.06,-277.47,100.87
Saccade R,1,7,167534055131,167534063501,8370,896.36,511.90,895.63,517.21,0.08,10.72,1.00,9.67,17.06,-277.47,100.87
Fixation L,1,8,167534063501,167534397112,333611,897.99,512.74,46,36,-,-,-1,15.30,15.30
Fixation R,1,8,167534063501,167534397112,333611,897.99,512.74,46,36,-,-,-1,15.17,15.17
Fixation L,1,9,167535990483,167536090565,100082,563.02,1111.01,38,42,-,-,-1,15.94,15.94
Fixation R,1,9,167535990483,167536090565,100082,563.02,1111.01,38,42,-,-,-1,14.95,14.95
Fixation L,1,10,167536415966,167536549318,133352,994.56,1093.76,56,38,-,-,-1,16.03,16.03
Fixation R,1,10,167536415966,167536549318,133352,994.56,1093.76,56,38,-,-,-1,15.40,15.40
Saccade L,1,9,167536549318,167536557699,8381,988.83,1111.99,981.32,1121.21,0.19,36.63,1.00,22.71,-477.28,-1025.86,682.83
Saccade R,1,8,167536549318,167536557699,8381,988.83,1111.99,981.32,1121.21,0.19,36.63,1.00,22.71,-477.28,-1025.86,682.83
Fixation L,1,11,167536557699,167536691180,133481,969.69,1123.92,15,11,-,-,-1,16.24,16.24
Fixation R,1,11,167536557699,167536691180,133481,969.69,1123.92,15,11,-,-,-1,16.12,16.12
Fixation L,1,12,167537850637,167537967507,116870,1696.33,1017.34,53,17,-,-,-1,16.91,16.91
Fixation R,1,12,167537850637,167537967507,116870,1696.33,1017.34,53,17,-,-,-1,17.49,17.49
Saccade L,1,10,167537967507,167538075884,108377,1695.07,1020.80,1656.42,1085.58,47.73,1539.30,0.15,440.45,77040.72,-81770.56,21274.19
Saccade R,1,9,167537967507,167538075884,108377,1695.07,1020.80,1656.42,1085.58,47.73,1539.30,0.15,440.45,77040.72,-81770.56,21274.19
Fixation L,1,13,167538075884,167538192627,116743,1631.11,1080.10,56,20,-,-,-1,16.89,16.89
Fixation R,1,13,167538075884,167538192627,116743,1631.11,1080.10,56,20,-,-,-1,17.31,17.31
Blink L,1,2,167538276128,167538384500,108372
