	right_pupil_validity	right_gaze_point_on_display_area	left_gaze_origin_validity	system_time_stamp	right_gaze_origin_in_user_coordinate_system	left_gaze_point_in_user_coordinate_system	left_gaze_origin_in_user_coordinate_system	left_pupil_validity	right_pupil_diameter	left_gaze_origin_in_trackbox_coordinate_system	right_gaze_point_in_user_coordinate_system	left_pupil_diameter	right_gaze_origin_validity	left_gaze_point_validity	right_gaze_point_validity	left_gaze_point_on_display_area	right_gaze_origin_in_trackbox_coordinate_system	device_time_stamp
0	1	(0.09835270047187805, 0.41446706652641296)	1	1565623350480000.0	(-0.26687756180763245, 71.07621765136719, 706.1962890625)	(-229.7966766357422, 195.30722045898438, 63.04014205932617)	(-64.78096008300781, 68.57241821289062, 702.9132080078125)	1.0	4.63125610352	(0.6252695322036743, 0.3185199499130249, 0.6184296607971191)	(-239.783447265625, 201.63409423828125, 65.34296417236328)	3.5876159668	1.0	1.0	1.0	(0.11508097499608994, 0.4345167577266693)	(0.4943605661392212, 0.3133697509765625, 0.6195281744003296)	1947455563.0
1	1	(0.09958770126104355, 0.4190652370452881)	1	1565623350500000.0	(-0.028368864208459854, 71.02942657470703, 705.991455078125)	(-229.7998809814453, 194.7630615234375, 62.84208297729492)	(-64.39205169677734, 68.58151245117188, 702.7088623046875)	1.0	4.6257629394499995	(0.6245189905166626, 0.3184456527233124, 0.6179555654525757)	(-239.04612731933594, 200.18309020996094, 64.81478881835938)	3.5810546875	1.0	1.0	1.0	(0.11507560312747955, 0.4362412095069885)	(0.49387872219085693, 0.3134429454803467, 0.619111180305481)	1947466666.0
2	1	(0.09646008908748627, 0.42360201478004456)	1	1565623350510000.0	(0.13223251700401306, 71.00021362304688, 705.9290771484375)	(-230.6626739501953, 195.3382568359375, 63.05143356323242)	(-64.21834564208984, 68.57836151123047, 702.674072265625)	1.0	4.61033630371	(0.6241732835769653, 0.31844690442085266, 0.6178544759750366)	(-240.91336059570312, 198.75152587890625, 64.29374694824219)	3.57569885254	1.0	1.0	1.0	(0.11363037675619125, 0.43441835045814514)	(0.4935542047023773, 0.313506543636322, 0.6189811825752258)	1947477769.0
3	1	(0.10072482377290726, 0.42848679423332214)	1	1565623350520000.0	(0.2972255349159241, 70.99411010742188, 705.9068603515625)	(-230.47793579101562, 195.3686981201172, 63.06251907348633)	(-64.0481185913086, 68.59954071044922, 702.6756591796875)	1.0	4.60621643066	(0.6238276362419128, 0.31839197874069214, 0.6178309321403503)	(-238.36727905273438, 197.21005249023438, 63.73267364501953)	3.5775909423800005	1.0	1.0	1.0	(0.11393982917070389, 0.43432193994522095)	(0.49322056770324707, 0.313518762588501, 0.6189359426498413)	1947488872.0
4	1	(0.10064702481031418, 0.42739176750183105)	1	1565623350530000.0	(0.5455822944641113, 71.03274536132812, 705.9288940429688)	(-229.8930206298828, 195.70628356933594, 63.18536376953125)	(-63.686485290527344, 68.68535614013672, 702.7451782226562)	1.0	4.60237121582	(0.6230807900428772, 0.31818249821662903, 0.6179201602935791)	(-238.41372680664062, 197.5555877685547, 63.85850524902344)	3.57473754883	1.0	1.0	1.0	(0.11491959542036057, 0.433252215385437)	(0.4927179217338562, 0.31342342495918274, 0.6189877986907959)	1947499975.0
5	1	(0.10226850211620331, 0.4265361428260803)	1	1565623350540000.0	(0.678905725479126, 71.1161880493164, 706.0202026367188)	(-230.1458740234375, 194.9850311279297, 62.9228401184082)	(-63.55221939086914, 68.77284240722656, 702.8438720703125)	1.0	4.60934448242	(0.6227896213531494, 0.31797370314598083, 0.6181087493896484)	(-237.44569396972656, 197.82557678222656, 63.95674133300781)	3.58238220215	1.0	1.0	1.0	(0.11449603736400604, 0.43553784489631653)	(0.49244770407676697, 0.3132248818874359, 0.6191864013671875)	1947511078.0
6	1	(0.1005982980132103, 0.42492061853408813)	1	1565623350550000.0	(0.7835973501205444, 71.24127197265625, 706.1555786132812)	(-231.1335906982422, 194.73480224609375, 62.83175277709961)	(-63.44737243652344, 68.88272857666016, 702.9719848632812)	1.0	4.62030029297	(0.6225525140762329, 0.31771188974380493, 0.6183653473854065)	(-238.4428253173828, 198.33535766601562, 64.14230346679688)	3.59091186523	1.0	1.0	1.0	(0.11284160614013672, 0.4363308846950531)	(0.49223512411117554, 0.31292590498924255, 0.619481086730957)	1947522181.0
7	1	(0.09974996745586395, 0.4277993142604828)	1	1565623350560000.0	(0.9056088328361511, 71.4563217163086, 706.22265625)	(-230.0024871826172, 193.6267547607422, 62.42853546142578)	(-63.24888610839844, 69.15848541259766, 703.0765991210938)	1.0	4.61511230469	(0.6221280694007874, 0.3169967532157898, 0.6185909509658813)	(-238.94927978515625, 197.42697143554688, 63.81166076660156)	3.58352661133	1.0	1.0	1.0	(0.11473629623651505, 0.4398420751094818)	(0.4919864535331726, 0.3123663067817688, 0.6196580529212952)	1947533284.0
8	1	(0.09999164938926697, 0.42652300000190735)	1	1565623350570000.0	(0.9484838843345642, 71.59481811523438, 706.3252563476562)	(-231.00013732910156, 193.43235778808594, 62.357784271240234)	(-63.186378479003906, 69.29228973388672, 703.1723022460938)	1.0	4.603103637699999	(0.6219824552536011, 0.31666144728660583, 0.6187955141067505)	(-238.8050079345703, 197.82974243164062, 63.95824432373047)	3.57376098633	1.0	1.0	1.0	(0.11306509375572205, 0.4404580891132355)	(0.49189865589141846, 0.31202182173728943, 0.6198902726173401)	1947544388.0
9	1	(0.09985007345676422, 0.4261857569217682)	1	1565623350580000.0	(0.9881812930107117, 71.72884368896484, 706.4375610351562)	(-230.0052947998047, 195.01498413085938, 62.93381118774414)	(-63.133445739746094, 69.3983383178711, 703.2737426757812)	1.0	4.5905761718800004	(0.621855616569519, 0.3164026737213135, 0.6190080642700195)	(-238.88954162597656, 197.93618774414062, 63.99700164794922)	3.5579833984400002	1.0	1.0	1.0	(0.11473149061203003, 0.43544280529022217)	(0.4918174743652344, 0.3116920292377472, 0.6201408505439758)	1947555491.0
