label	x	y	start	end	duration
saccade	9.2885322868824	14.389197528362276	1565625289600000.0	1565625289640000.0	40.0
fixation	9.464559747892269	15.065297572051778	1565625289650000.0	1565625289830000.0	180.0
saccade	7.9491473734378815	12.512308731675148	1565625290050000.0	1565625290150000.0	100.0
fixation	8.93998839534246	18.81382121489598	1565625290160000.0	1565625290300000.0	140.0
saccade	9.393725544214247	24.363502860069275	1565625290280000.0	1565625290310000.0	30.0
fixation	8.935621784379087	24.283135620256267	1565625290320000.0	1565625290440000.0	120.0
saccade	8.934601768851278	23.676838725805286	1565625290420000.0	1565625290430000.0	10.0
fixation	8.857203962711187	24.041253500259838	1565625290440000.0	1565625290570000.0	130.0
saccade	8.16975012421608	22.649800777435303	1565625290670000.0	1565625290710000.0	40.0
fixation	8.034593268082691	22.143723586430923	1565625290720000.0	1565625290850000.0	130.0
saccade	7.435527816414832	21.761074662208557	1565625290900000.0	1565625290920000.0	20.0
fixation	5.848959107932291	20.637030076039466	1565625290930000.0	1565625291130000.0	200.0
saccade	6.80641420185566	6.632882542908193	1565625291340000.0	1565625291420000.0	80.0
fixation	7.0508273732331075	6.910143751237128	1565625291430000.0	1565625291620000.0	190.0
saccade	6.8853460252285	6.748835742473602	1565625291760000.0	1565625291880000.0	120.0
fixation	5.134861916303635	5.839056440163404	1565625291890000.0	1565625292060000.0	170.0
saccade	4.899901337921619	5.4122231900691995	1565625292040000.0	1565625292050000.0	10.0
fixation	4.708372388655942	5.478994933267433	1565625292060000.0	1565625292380000.0	320.0
saccade	7.288137078285217	4.527490772306919	1565625296680000.0	1565625296990000.0	310.0
fixation	7.678943872451782	5.201819771900774	1565625297000000.0	1565625297130000.0	130.0
saccade	4.8722656443715096	5.881906300783157	1565625299580000.0	1565625299770000.0	190.0
fixation	4.3577024035833105	5.050687178630722	1565625299780000.0	1565625299890000.0	110.0
saccade	5.655697174370289	5.1132332533597955	1565625299890000.0	1565625300110000.0	220.0
fixation	6.065661230912576	3.3134993541842475	1565625300130000.0	1565625300400000.0	270.0
saccade	6.221440806984901	3.295645769685507	1565625300380000.0	1565625300390000.0	10.0
fixation	6.146024664243063	3.286369482520968	1565625300400000.0	1565625300530000.0	130.0
saccade	6.1264269053936005	3.018885850906372	1565625300500000.0	1565625300510000.0	10.0
fixation	5.778577121404501	3.1892877537757163	1565625300530000.0	1565625300660000.0	130.0
saccade	44.01980489492416	7.507459633052349	1565625300890000.0	1565625301010000.0	120.0
fixation	44.14945531349915	6.557240509069882	1565625301030000.0	1565625301160000.0	130.0
saccade	5.804875493049622	7.4904244393110275	1565625301250000.0	1565625301350000.0	100.0
fixation	6.1253258648018045	7.564216759055853	1565625301360000.0	1565625301480000.0	120.0
saccade	5.984547175467013	7.843683660030365	1565625301510000.0	1565625301540000.0	30.0
fixation	5.536041193856644	6.924722315027164	1565625301550000.0	1565625301680000.0	130.0
saccade	5.226775445044042	6.614077463746071	1565625301660000.0	1565625301670000.0	10.0
fixation	5.018946171427767	5.623074970208108	1565625301680000.0	1565625301940000.0	260.0
saccade	72.3094344139099	98.45134317874908	1565625305860000.0	1565625306840000.0	980.0
