System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 skardan
Machine Name:	 PISA

Data properties:

Recording name:	 Rec 62
Recording date:	 27/09/2011
Recording time:	 5:05:34 PM
Recording resolution:	 1280 x 1024

Export date:	 18/10/2011
Export time:	 5:06:21 PM

Participant:	 P106
Participant properties:

Glasses:	 glasses
Previous Experience with the CSP Applet:	 None
322:	 Not Taken
Hand:	 right
221:	 Complete
Previous Experience with AISpace:	 None
Sex:	 m

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ScreenRecStarted	8192	0	0		
8643	LeftMouseClick	1	569	443		
8841	LeftMouseClick	1	569	443		
9954	LeftMouseClick	1	603	641		
10738	LogData	0	Load 1st Problem			
19782	LeftMouseClick	1	52	76		
21871	LeftMouseClick	1	52	76		
22877	LeftMouseClick	1	52	76		
23707	LeftMouseClick	1	52	76		
24569	LeftMouseClick	1	52	76		
27178	LeftMouseClick	1	52	76		
28787	LeftMouseClick	1	52	76		
29441	LeftMouseClick	1	52	76		
30630	LeftMouseClick	1	52	76		
31005	LeftMouseClick	1	52	76		
31403	LeftMouseClick	1	52	76		
31741	LeftMouseClick	1	52	76		
34761	LeftMouseClick	1	328	465		
36434	LeftMouseClick	1	568	535		
40420	LeftMouseClick	1	588	566		
45029	LeftMouseClick	1	142	60		
53328	LeftMouseClick	1	335	458		
54766	LeftMouseClick	1	591	529		
56490	LeftMouseClick	1	598	568		
58696	LeftMouseClick	1	149	79		
71618	LeftMouseClick	1	344	72		
74734	LeftMouseClick	1	334	474		
75798	LeftMouseClick	1	618	499		
77144	LeftMouseClick	1	597	569		
79512	LeftMouseClick	1	164	61		
81821	LogData	0	Distracted Start	 		
85037	LogData	0	Distracted End	 		
93374	LeftMouseClick	1	380	73		
95195	LeftMouseClick	1	337	474		
96207	LeftMouseClick	1	653	500		
98967	LeftMouseClick	1	690	496		
100948	LeftMouseClick	1	694	496		
101686	LeftMouseClick	1	585	563		
102968	LeftMouseClick	1	154	69		
113239	LeftMouseClick	1	226	66		
115745	LeftMouseClick	1	370	60		
116522	LeftMouseClick	1	322	462		
121612	LeftMouseClick	1	676	491		
122087	LeftMouseClick	1	685	492		
122738	LeftMouseClick	1	592	570		
127445	LeftMouseClick	1	143	78		
140981	LeftMouseClick	1	333	67		
143528	LogData	0	Distracted Start	 		
158000	LogData	0	Distracted End	 		
159435	LeftMouseClick	1	333	67		
161417	LogData	0	Distracted Start	 		
162551	LeftMouseClick	1	50	29		
168673	LeftMouseClick	1	69	69		
170157	LeftMouseClick	1	578	481		
170960	LeftMouseClick	1	589	633		
171266	LogData	0	Distracted End	 		
171467	LogData	0	Load 2nd Problem			
171668	LogData	0	Distracted Start	 		
175161	LeftMouseClick	1	134	74		
176090	LogData	0	Distracted End	 		
202107	LeftMouseClick	1	603	277		
203649	LeftMouseClick	1	599	529		
204267	LeftMouseClick	1	586	562		
206830	LeftMouseClick	1	37	66		
209326	LeftMouseClick	1	37	66		
